lang	avg_p	avg_cf	avg_i	avg_h	avg_r
Afrikaans	200.98	5282.59	163.7496621394505	7.320910293348597	0.1011396580339347
Albanian	380.015	5247.305	177.37863353555193	7.319391321624034	0.0907417354922019
Armenian	148.88	870.42	83.63189201276172	7.44424677188271	0.0882631193796585
Bulgarian	472.84	4878.12	147.205312939634	7.508846533575424	0.0972136549834394
Czech	490.945	4341.69	229.40979254899568	7.537928494075437	0.0834232782655123
Danish	276.875	4431.405	149.50295543321053	7.388000556558644	0.0923331966716642
Dutch	275.685	5202.56	314.9456024518229	7.353632394862338	0.1010129435498516
English	141.755	5220.38	749.555615595585	7.34112015066478	0.0804051034268944
Farsi	315.68	3852.475	33.47020070421145	7.371052937760105	0.1010551851621328
French	316.105	5305.175	203.50788722830825	7.477082778689974	0.0864756681763724
Gaelic	25.235	104.055	18.020064956934135	7.29438455660422	0.0767614827734995
German	252.32	4999.675	485.58222368355086	7.374610948545333	0.0893329548468176
Greek	547.205	5702.8	267.68696073244536	7.416798333502615	0.0804963646723956
Gujarati	119.9	1208.69	119.31072785253765	7.682179868253903	0.0864760686482957
Hindi	135.735	4379.025	617.3726350705429	7.648974859427588	0.0852635384307509
Icelandic	398.025	4402.59	209.0961630966146	7.341711829688602	0.105700282015533
Italian	440.9	5107.015	179.9148949020224	7.373791330667062	0.0888406506871982
Latvian	188.745	1035.785	113.0041962205783	7.4902377238976126	0.0837546401270307
Lithuanian	661.28	4246.02	39.661808872770244	7.467689594690409	0.077838971470174
Marathi	576.67	4781.775	137.03641729193134	7.687590123920164	0.0942819264635036
Nepali	516.545	4809.55	85.94767381236859	7.654773452020994	0.0920091886990448
Norwegian	235.61	4661.89	153.50001485086418	7.366973034285129	0.1004724238814971
Polish	532.51	4618.2	144.41180323303877	7.5219821729518275	0.0717370096193228
Portuguese	393.105	4844.185	285.77831428183	7.348098323825983	0.1022345465294494
Romani	89.715	1301.74	111.2238953637797	7.3771167556571315	0.08961437257616
Romanian	261.34	5219.705	192.89584268689055	7.426096267473989	0.0781085173692054
Russian	684.56	4348.25	37.25168474590775	7.509893378380225	0.0813502568646009
Serbian	448.26	4499.08	133.28320657446963	7.473752004581362	0.0758842233609689
Slovak	480.7	4297.865	118.03646961000894	7.499403231369354	0.0820719614873557
Slovene	529.005	5251.415	87.65921570431703	7.505331967330493	0.0796444669931585
Spanish	352.79	5122.87	178.9806797229954	7.373310623468359	0.0958338340761086
Swedish	285.615	4996.085	171.21463364365007	7.400356396506026	0.0843578411335056
Ukranian	213.255	953.69	45.58146163868023	7.556446752351543	0.0722205245380338
