subword	prod	cum_freq	idiosyncrasy_index
ie</w>	168	4597	27.363095238095237
die</w>	81	70497	870.3333333333334
en</w>	253	55477	219.27667984189722
aa	622	5361	8.618971061093248
er	1327	12611	9.50339110776187
ge	1750	29342	16.76685714285714
et</w>	218	4496	20.623853211009173
an</w>	180	4395	24.416666666666668
van</w>	21	31327	1491.7619047619048
oo	727	10553	14.515818431911967
het</w>	33	25941	786.0909090909091
le</w>	132	3038	23.015151515151516
wa	227	2150	9.47136563876652
ul	118	1083	9.177966101694915
ulle</w>	1	37	37.0
in	970	9682	9.981443298969072
on	896	9902	11.051339285714286
er</w>	678	13343	19.679941002949853
st	1125	14676	13.045333333333334
om</w>	82	7061	86.10975609756098
an	821	12179	14.834348355663824
nie</w>	13	16245	1249.6153846153845
ek</w>	228	13337	58.49561403508772
is</w>	145	13228	91.22758620689655
in</w>	105	14834	141.27619047619046
hulle</w>	45	14684	326.31111111111113
di	490	6558	13.383673469387755
al</w>	111	5275	47.52252252252252
aan</w>	108	9705	89.86111111111111
aar</w>	160	5467	34.16875
ver	860	13016	15.134883720930233
en	1042	10545	10.119961612284069
wat</w>	40	12103	302.575
te</w>	519	11815	22.764932562620423
da	192	3226	16.802083333333332
ui	359	3956	11.01949860724234
el</w>	460	8840	19.217391304347824
ou</w>	90	4914	54.6
he	334	5593	16.74550898203593
hy</w>	52	10647	204.75
es</w>	465	7902	16.993548387096773
sy</w>	23	10080	438.2608695652174
we	547	7411	13.548446069469836
de</w>	583	10015	17.178387650085764
'n</w>	49	9875	201.53061224489795
be	889	9798	11.021372328458943
re	633	6739	10.64612954186414
to	209	2095	10.023923444976077
my</w>	7	9089	1298.4285714285713
ere</w>	64	825	12.890625
ges	401	6345	15.82294264339152
ing</w>	572	4211	7.361888111888112
se	421	5048	11.990498812351545
sal</w>	22	8368	380.3636363636364
vi	52	957	18.403846153846153
aar	185	2168	11.718918918918918
le	602	8087	13.433554817275747
here</w>	3	8001	2667.0
oe	612	7848	12.823529411764707
oor	475	5270	11.094736842105263
or	358	3321	9.276536312849162
li	798	7409	9.284461152882205
julle</w>	6	7470	1245.0
vir</w>	10	7261	726.1
dit</w>	56	7104	126.85714285714286
hom</w>	6	6987	1164.5
dat</w>	63	6781	107.63492063492063
op</w>	39	6483	166.23076923076923
de	514	3940	7.665369649805448
sk	612	6378	10.42156862745098
ers</w>	293	3462	11.815699658703071
met</w>	17	6278	369.29411764705884
oor</w>	35	4228	120.8
jou</w>	3	6157	2052.3333333333335
si	408	5974	14.642156862745098
der</w>	106	3942	37.18867924528302
go	123	1710	13.902439024390244
ra	320	3100	9.6875
al	326	5522	16.938650306748468
as</w>	118	5364	45.45762711864407
mo	109	1842	16.89908256880734
hei	76	1751	23.039473684210527
was</w>	9	4941	549.0
and</w>	52	3162	60.80769230769231
maar</w>	17	4879	287.0
na</w>	66	4717	71.46969696969697
ur</w>	112	2227	19.883928571428573
toe</w>	17	4708	276.94117647058823
ar	474	4582	9.666666666666666
el	534	4638	8.685393258426966
wan	50	741	14.82
vo	79	995	12.594936708860759
