subword	prod	cum_freq	idiosyncrasy_index
të</w>	501	68882	137.4890219560878
sh	3490	25200	7.2206303724928365
dh	1007	11611	11.530287984111222
në</w>	387	31103	80.36950904392765
dhe</w>	23	32779	1425.1739130434783
ër	1376	13574	9.86482558139535
it</w>	1285	14861	11.564980544747081
nd	1331	12620	9.481592787377911
je	1386	14236	10.271284271284271
ar	2358	16610	7.044105173876166
in</w>	1312	13698	10.440548780487806
th	1182	8282	7.006768189509306
do</w>	32	17175	536.71875
re	1394	10182	7.30416068866571
që</w>	13	16554	1273.3846153846155
at	906	10300	11.368653421633555
sht	938	6097	6.5
jë</w>	432	6099	14.118055555555555
ër</w>	91	4771	52.42857142857143
gj	675	8279	12.265185185185185
mb	938	8173	8.713219616204691
er	1120	7381	6.590178571428571
me</w>	318	13977	43.95283018867924
ku	1101	10618	9.643960036330608
ti	626	5050	8.06709265175719
ua	368	4228	11.48913043478261
ri	1428	12315	8.623949579831933
ll	1252	9689	7.7388178913738015
ën</w>	641	9171	14.307332293291731
ng	571	3109	5.444833625218914
ra	944	6140	6.504237288135593
për</w>	16	10786	674.125
ti</w>	247	6177	25.008097165991902
një</w>	25	10139	405.56
zo	400	2933	7.3325
kë	536	6983	13.027985074626866
ve</w>	1210	9574	7.912396694214876
et</w>	545	6703	12.29908256880734
se</w>	140	4896	34.97142857142857
ni</w>	1192	8889	7.457214765100671
pa	697	5390	7.733142037302726
ve	318	5630	17.70440251572327
po	338	3525	10.428994082840237
nga</w>	7	8069	1152.7142857142858
nu	111	514	4.63063063063063
së</w>	332	7919	23.852409638554217
për	1146	7880	6.8760907504363
ja	518	7843	15.14092664092664
më</w>	282	7810	27.69503546099291
tij</w>	4	7723	1930.75
bi	402	7718	19.199004975124378
si	855	7672	8.973099415204679
ko	855	7610	8.900584795321638
ka	776	7482	9.641752577319588
nuk</w>	3	7444	2481.3333333333335
yr	156	1737	11.134615384615385
di	537	7192	13.39292364990689
or	688	7020	10.203488372093023
gji	207	2529	12.217391304347826
ur</w>	403	6825	16.93548387096774
ur	889	6735	7.575928008998875
mi	631	6796	10.770206022187004
të	717	6739	9.398884239888424
si</w>	281	6682	23.77935943060498
te	548	6405	11.687956204379562
ro	1032	6382	6.184108527131783
sh</w>	883	6183	7.002265005662514
li	846	6172	7.295508274231678
uar</w>	499	6133	12.29058116232465
se	369	1828	4.953929539295393
ësh	209	1331	6.368421052631579
ënd	205	1260	6.146341463414634
ta</w>	160	5787	36.16875
tër	260	3348	12.876923076923077
yre</w>	5	1307	261.4
to	823	5446	6.6172539489671935
mo	561	3301	5.884135472370766
ai</w>	92	5271	57.29347826086956
ta	457	3162	6.919037199124727
ma	751	5142	6.846870838881491
tit</w>	118	2355	19.95762711864407
du	122	1957	16.040983606557376
el	651	2639	4.053763440860215
te</w>	477	4985	10.450733752620545
per	72	278	3.861111111111111
nj	478	4749	9.935146443514645
ba	551	4680	8.493647912885663
t'	85	1849	21.75294117647059
është</w>	5	4616	923.2
por</w>	3	4609	1536.3333333333333
pse</w>	2	395	197.5
perënd	9	375	41.666666666666664
ki	345	4481	12.98840579710145
ka</w>	71	4437	62.49295774647887
ja</w>	413	4374	10.590799031476998
ke</w>	61	1265	20.737704918032787
je</w>	469	4331	9.23454157782516
gjith	44	4303	97.79545454545455
ët</w>	358	4302	12.016759776536313
jer	82	1965	23.963414634146343
perëndi	33	4197	127.18181818181819
sepse</w>	2	4189	2094.5
tyre</w>	4	4185	1046.25
sa	416	4169	10.021634615384615
unë</w>	19	4168	219.3684210526316
zoti</w>	3	4130	1376.6666666666667
par	262	1994	7.6106870229007635
nd</w>	51	4108	80.54901960784314
shte</w>	29	4052	139.72413793103448
em	312	4036	12.935897435897436
bë	120	3992	33.266666666666666
be	566	3972	7.017667844522968
shtu</w>	3	1298	432.6666666666667
pu	270	3903	14.455555555555556
he	953	3844	4.033578174186778
mbre	53	3718	70.15094339622641
de	414	3702	8.942028985507246
ata</w>	32	3672	114.75
me	504	3587	7.117063492063492
la	575	3422	5.9513043478260865
le	507	3391	6.68836291913215
da	384	3389	8.825520833333334
ës</w>	411	3384	8.233576642335766
pas	127	1356	10.67716535433071
ju</w>	24	3352	139.66666666666666
kur</w>	29	3281	113.13793103448276
lo	424	3263	7.695754716981132
mi</w>	425	3235	7.6117647058823525
ua</w>	170	3225	18.970588235294116
atë</w>	30	3213	107.1
shk	249	3211	12.89558232931727
vi	279	3194	11.448028673835125
jnë</w>	399	3174	7.954887218045113
pi	312	3166	10.147435897435898
mbi</w>	12	3124	260.3333333333333
duke</w>	2	3078	1539.0
ënë</w>	21	3019	143.76190476190476
ke	254	3009	11.846456692913385
qi	217	2938	13.539170506912443
shin</w>	265	2931	11.060377358490566
pre	215	2853	13.269767441860465
het</w>	317	2843	8.968454258675079
nin</w>	536	2824	5.268656716417911
vend	93	2817	30.29032258064516
t'i</w>	2	2801	1400.5
iz	59	188	3.1864406779661016
she	320	2761	8.628125
zotit</w>	2	2759	1379.5
tha</w>	17	2745	161.47058823529412
erë</w>	25	317	12.68
rë</w>	78	2728	34.97435897435897
po</w>	13	2723	209.46153846153845
më	252	2710	10.753968253968255
kështu</w>	2	2646	1323.0
izra	16	229	14.3125
ra</w>	137	2570	18.759124087591243
im</w>	225	2570	11.422222222222222
ri</w>	121	2565	21.198347107438018
jtë</w>	77	2555	33.18181818181818
bër	97	2519	25.969072164948454
ry	250	2512	10.048
jetë</w>	30	2488	82.93333333333334
pra	100	2443	24.43
herë</w>	11	406	36.90909090909091
ha	508	2421	4.765748031496063
ni	524	2381	4.543893129770993
go	283	2383	8.420494699646643
sa</w>	72	2385	33.125
ci	122	2379	19.5
jo	262	2368	9.038167938931299
izrael	4	2360	590.0
atë	46	327	7.108695652173913
tën</w>	113	2336	20.672566371681416
njer	33	2322	70.36363636363636
gje	241	2292	9.510373443983402
fi	327	2296	7.021406727828746
mu	204	2258	11.068627450980392
shtë	46	2231	48.5
na	561	2219	3.9554367201426026
pe	370	2217	5.991891891891892
qe	314	2195	6.990445859872612
ndo	188	2177	11.579787234042554
tho	69	2161	31.318840579710145
tërë</w>	1	2149	2149.0
para</w>	5	2126	425.2
lu	230	2115	9.195652173913043
ëll	196	2099	10.709183673469388
mos</w>	9	2091	232.33333333333334
ëz	158	2084	13.189873417721518
edhe</w>	2	2079	1039.5
jo</w>	12	2070	172.5
do	293	2065	7.047781569965871
mit</w>	338	2064	6.106508875739645
ut</w>	345	2059	5.9681159420289855
uan</w>	266	2051	7.7105263157894735
nit</w>	288	2047	7.107638888888889
so	405	2031	5.014814814814815
taj</w>	2	3	1.5
pastaj</w>	1	2024	2024.0
atëherë</w>	2	2022	1011.0
