subword	prod	cum_freq	idiosyncrasy_index
ու	1461	4331	2.9644079397672827
ան	1616	5682	3.516089108910891
եր	767	2750	3.5853976531942635
ար	1274	4537	3.561224489795918
եւ</w>	26	6154	236.69230769230768
այ	645	3141	4.869767441860465
ին</w>	700	3338	4.768571428571429
աս	388	2360	6.082474226804123
ին	284	1068	3.76056338028169
որ	740	2990	4.04054054054054
նր	3	31	10.333333333333334
ան</w>	374	2415	6.457219251336898
ում</w>	594	3063	5.156565656565657
ու</w>	194	3521	18.149484536082475
ամ	538	2356	4.379182156133829
ներ	379	907	2.3931398416886545
որ</w>	61	2502	41.01639344262295
եց</w>	473	2817	5.955602536997886
ակ	769	2752	3.5786736020806242
ատ	515	1465	2.8446601941747574
աց	592	1594	2.6925675675675675
ից</w>	548	2338	4.266423357664234
իս	121	838	6.925619834710743
ով	170	604	3.552941176470588
տե	232	1191	5.133620689655173
աւ	569	2132	3.7469244288224957
առ	421	1579	3.7505938242280283
նե	381	1186	3.1128608923884515
ով</w>	470	1998	4.251063829787234
աց</w>	48	530	11.041666666666666
նրան	6	166	27.666666666666668
էր</w>	43	1694	39.395348837209305
ող	331	1222	3.691842900302115
իւ	204	812	3.980392156862745
հե	121	362	2.9917355371900825
իր</w>	152	1531	10.072368421052632
եց	385	826	2.1454545454545455
ձե	58	470	8.10344827586207
այ</w>	152	786	5.171052631578948
ասաց</w>	2	1464	732.0
աւ</w>	105	1413	13.457142857142857
ութ	20	39	1.95
կը</w>	31	1398	45.096774193548384
նրան</w>	1	1388	1388.0
ել	307	996	3.244299674267101
իր	175	1337	7.64
ահ	261	1305	5.0
երկ	60	781	13.016666666666667
ես</w>	125	1273	10.184
ած</w>	162	514	3.1728395061728394
եղ	234	1227	5.243589743589744
աստ	120	816	6.8
ար</w>	93	475	5.10752688172043
ել</w>	303	1209	3.99009900990099
ապ	347	1204	3.4697406340057637
թէ</w>	4	730	182.5
աղ	347	1064	3.0662824207492796
են</w>	192	1159	6.036458333333333
նա</w>	6	1155	192.5
նրանց</w>	1	1143	1143.0
նրա</w>	1	1111	1111.0
այն</w>	13	1104	84.92307692307692
են	205	1087	5.302439024390244
եմ</w>	126	1089	8.642857142857142
մար	71	588	8.28169014084507
մէ	47	494	10.51063829787234
պատ	204	1058	5.186274509803922
պէ	10	450	45.0
իներ	76	532	7.0
մի</w>	36	1003	27.86111111111111
ները</w>	290	994	3.4275862068965517
օր	169	974	5.763313609467455
էք</w>	176	948	5.386363636363637
դր	117	921	7.871794871794871
ուր	139	919	6.611510791366906
