subword	prod	cum_freq	idiosyncrasy_index
то</w>	458	9612	20.986899563318776
те</w>	1567	12173	7.768347160178686
на</w>	1039	34313	33.02502406159769
по	2909	18714	6.4331385355792365
та</w>	971	14501	14.934088568486096
ра	1670	9711	5.814970059880239
ко	1012	12456	12.308300395256918
на	2740	17749	6.477737226277372
да</w>	261	20713	79.36015325670498
ре	1546	12468	8.064683053040104
ни	1871	12235	6.53928380545163
ст	1449	8387	5.788129744651484
ка	1028	7240	7.042801556420233
ов	1374	7019	5.10844250363901
ите</w>	1304	11895	9.121932515337424
ва	3426	14410	4.206071220081728
не	1790	12894	7.203351955307262
за	1700	9944	5.8494117647058825
го	765	5774	7.547712418300653
се</w>	25	13504	540.16
ве	1354	10219	7.5472673559822745
де	1115	9416	8.444843049327353
из	1938	10181	5.253353973168215
не</w>	560	10844	19.364285714285714
си	757	5996	7.920739762219287
пр	229	2394	10.45414847161572
ха</w>	1402	9933	7.084878744650499
си</w>	69	11901	172.47826086956522
ле	1618	10026	6.196538936959209
ще</w>	42	11814	281.2857142857143
ви	1324	11626	8.780966767371602
от</w>	68	11613	170.77941176470588
се	957	9229	9.64367816091954
за</w>	79	10953	138.64556962025316
да	1325	10426	7.868679245283019
ър	814	5870	7.211302211302211
ла	1518	10006	6.591567852437418
до	815	8147	9.996319018404908
ото</w>	549	5586	10.174863387978142
ва</w>	903	7419	8.215946843853821
спо	125	1445	11.56
ме	917	7423	8.094874591057797
от	1131	5826	5.151193633952254
ни</w>	1148	8444	7.355400696864112
госпо	48	2565	53.4375
то	261	2916	11.172413793103448
ето</w>	378	7965	21.071428571428573
ли	1307	7933	6.069625095638868
но</w>	693	7682	11.085137085137085
ка</w>	461	5565	12.071583514099784
го</w>	28	4697	167.75
ят</w>	1205	7344	6.09460580912863
пре	1076	5118	4.756505576208179
га	526	2726	5.182509505703422
съ	824	6924	8.402912621359222
та	720	4780	6.638888888888889
му</w>	9	6421	713.4444444444445
ри	1095	6369	5.816438356164384
ти</w>	174	6375	36.63793103448276
бо	356	4080	11.460674157303371
че</w>	90	3823	42.477777777777774
ли</w>	710	6229	8.773239436619718
те	1082	6125	5.660813308687615
ма	939	6156	6.555910543130991
мо	543	6096	11.226519337016574
де</w>	80	5953	74.4125
во	561	5925	10.561497326203208
ди	844	5873	6.958530805687204
ро	786	5855	7.4491094147582695
ста	445	5726	12.867415730337079
като</w>	7	5547	792.4285714285714
са	790	5432	6.875949367088608
ия</w>	543	5321	9.79926335174954
ше</w>	637	5198	8.160125588697017
ви</w>	243	5171	21.279835390946502
пра	408	5156	12.637254901960784
бе	609	5004	8.216748768472906
сл	162	2126	13.123456790123457
ова</w>	64	1031	16.109375
зе	294	2044	6.9523809523809526
ма</w>	204	4814	23.598039215686274
но	532	4781	8.986842105263158
ове	246	2460	10.0
че	746	4615	6.186327077747989
ца	149	2692	18.06711409395973
защ	23	486	21.130434782608695
ми</w>	74	4547	61.445945945945944
при	751	4527	6.027962716378163
вър	459	4509	9.823529411764707
сич	12	20	1.6666666666666667
всич	4	196	49.0
ме</w>	507	4413	8.70414201183432
всичк	12	1939	161.58333333333334
ди</w>	154	4287	27.837662337662337
ито</w>	13	164	12.615384615384615
защото</w>	2	4110	2055.0
ръ	519	4083	7.867052023121388
ми	832	4073	4.8954326923076925
които</w>	1	4044	4044.0
ните</w>	516	3963	7.680232558139535
къ	290	3958	13.648275862068965
ята</w>	213	3949	18.539906103286384
кой	18	63	3.5
ло	634	3933	6.203470031545741
па	632	3943	6.238924050632911
же	478	3918	8.196652719665272
въ	163	1900	11.656441717791411
им</w>	135	3895	28.85185185185185
ри</w>	199	3893	19.56281407035176
който</w>	3	3885	1295.0
това</w>	7	3846	549.4285714285714
ците</w>	400	3827	9.5675
жи	301	3731	12.395348837209303
би	580	3573	6.160344827586207
господ</w>	3	3550	1183.3333333333333
са</w>	123	3491	28.382113821138212
раз	1076	3437	3.1942379182156135
ня	270	3402	12.6
ния</w>	420	3268	7.780952380952381
бе</w>	10	3242	324.2
гов	68	887	13.044117647058824
про	594	3202	5.390572390572391
ко</w>	99	1308	13.212121212121213
