subword	prod	cum_freq	idiosyncrasy_index
st	2588	22029	8.511978361669243
po	3663	19825	5.412230412230413
je	1023	12352	12.074291300097752
ne	4203	18040	4.292172257911016
ov	2015	8857	4.395533498759305
ho</w>	260	5945	22.865384615384617
te	994	7394	7.438631790744467
ro	1136	7831	6.893485915492958
li</w>	2163	15801	7.305131761442441
ch</w>	805	7874	9.781366459627328
ra	1461	7751	5.30527036276523
př	289	2878	9.95847750865052
na</w>	587	12843	21.879045996592843
ho	827	5889	7.120918984280532
sv	546	10079	18.45970695970696
se</w>	32	11628	363.375
li	1444	11433	7.917590027700831
ti</w>	1201	11022	9.177352206494588
ch	2227	10629	4.772788504714863
di	636	3655	5.74685534591195
ob	963	5992	6.222222222222222
ud	348	3430	9.85632183908046
ní</w>	1132	9954	8.793286219081272
by	147	6999	47.61224489795919
ou</w>	766	9480	12.37597911227154
na	1606	9148	5.696139476961394
še	546	4181	7.657509157509158
sk	1364	8913	6.534457478005865
kte	25	1725	69.0
pa	755	4337	5.744370860927153
za	1643	8664	5.273280584297018
le	1657	8695	5.247435123717562
se	831	4846	5.8315282791817085
rá	618	4692	7.592233009708738
ře	847	4555	5.37780401416765
st</w>	221	2790	12.624434389140271
ni	842	7737	9.188836104513063
ko	937	7556	8.064034151547492
spo	128	558	4.359375
sl	727	7371	10.138927097661623
ého</w>	576	7306	12.684027777777779
to	298	7225	24.24496644295302
ji	209	4508	21.56937799043062
pro	631	7111	11.269413629160063
to</w>	91	7080	77.8021978021978
ve	892	6927	7.765695067264574
hospo	8	39	4.875
hospodi	18	3577	198.72222222222223
mu</w>	399	6853	17.17543859649123
ta	498	2141	4.2991967871485945
ní	960	6838	7.122916666666667
ze	874	6694	7.65903890160183
bud	55	3752	68.21818181818182
ně	663	6405	9.660633484162895
ce</w>	632	6381	10.096518987341772
al	928	3491	3.761853448275862
vy	1691	6269	3.7072738024837375
vi	658	6294	9.565349544072948
mi</w>	535	6233	11.650467289719627
by</w>	45	3120	69.33333333333333
