subword	prod	cum_freq	idiosyncrasy_index
de	1280	9932	7.759375
er</w>	1211	23060	19.04211395540875
de</w>	757	23446	30.97225891677675
og</w>	99	39007	394.010101010101
en</w>	1321	19329	14.632096896290689
ha	594	3995	6.725589225589226
er	1770	8887	5.02090395480226
en	1326	12353	9.315987933634993
ti	596	3968	6.657718120805369
fo	142	953	6.711267605633803
sk	1199	9663	8.059216013344454
st	1810	15110	8.348066298342541
der</w>	426	13947	32.73943661971831
in	1203	10415	8.657522859517872
an	1110	9059	8.161261261261261
om</w>	47	3333	70.91489361702128
re	1009	7263	7.198216055500495
til</w>	22	14827	673.9545454545455
ig</w>	215	2121	9.865116279069767
ed</w>	280	2382	8.507142857142858
el	1320	11028	8.354545454545455
al	849	9929	11.694935217903415
den</w>	331	12772	38.586102719033235
et</w>	1055	12720	12.056872037914692
ig	670	4597	6.861194029850746
det</w>	247	11549	46.75708502024292
ag	671	4868	7.254843517138599
re</w>	312	9691	31.060897435897434
te</w>	306	5752	18.797385620915033
je	304	2625	8.634868421052632
han</w>	14	9900	707.1428571428571
som</w>	19	9801	515.8421052631579
or	628	6529	10.396496815286625
kk	402	1775	4.41542288557214
at</w>	101	9716	96.1980198019802
for</w>	23	9567	415.95652173913044
her	121	2565	21.198347107438018
vi	443	6361	14.358916478555305
le	609	6435	10.566502463054187
ska	212	1772	8.358490566037736
ne</w>	480	4588	9.558333333333334
jeg</w>	9	8186	909.5555555555555
kke</w>	68	769	11.308823529411764
va	138	1888	13.681159420289855
mm	607	5018	8.266886326194399
af</w>	22	7317	332.59090909090907
in</w>	33	280	8.484848484848484
ikke</w>	12	7183	598.5833333333334
der	469	5207	11.102345415778252
på</w>	15	6907	460.46666666666664
fr	295	2370	8.033898305084746
herr	16	1802	112.625
skal</w>	8	6678	834.75
ko	169	1086	6.42603550295858
så</w>	17	6469	380.52941176470586
med</w>	20	6142	307.1
men</w>	23	6077	264.2173913043478
le</w>	174	2997	17.224137931034484
ra	417	3330	7.985611510791367
ns</w>	191	2104	11.015706806282722
da</w>	36	5717	158.80555555555554
ham</w>	17	5708	335.7647058823529
es</w>	1051	5630	5.356803044719315
dem</w>	5	5619	1123.8
ver</w>	98	2918	29.775510204081634
du</w>	2	5455	2727.5
gu	204	2548	12.490196078431373
se</w>	373	5425	14.544235924932975
ge</w>	298	5129	17.211409395973153
sø	287	3046	10.613240418118467
ede</w>	563	5035	8.943161634103019
herren</w>	7	4948	706.8571428571429
ør	378	4935	13.055555555555555
ræ	568	4933	8.684859154929578
ter</w>	259	3080	11.891891891891891
for	792	4859	6.13510101010101
is	282	2215	7.8546099290780145
ve</w>	159	4756	29.91194968553459
un	511	4730	9.256360078277886
mo	255	2568	10.070588235294117
væ	417	4690	11.247002398081534
