subword	prod	cum_freq	idiosyncrasy_index
en</w>	1408	48462	34.41903409090909
de</w>	1148	56386	49.116724738675956
er	2008	14816	7.378486055776892
aa	746	8900	11.93029490616622
he	588	9036	15.36734693877551
ge	2204	26656	12.09437386569873
oo	806	9182	11.392059553349876
ij	685	7199	10.50948905109489
ij</w>	38	597	15.710526315789474
an</w>	142	3200	22.535211267605632
ie	708	9045	12.775423728813559
st	1951	20033	10.268067657611482
an	1070	14360	13.42056074766355
van</w>	11	21193	1926.6363636363637
er</w>	496	13378	26.971774193548388
on	1271	11639	9.157356412273801
ch	385	4426	11.496103896103897
en	1916	14218	7.420668058455115
al	579	7721	13.335060449050086
den</w>	962	14379	14.946985446985448
in	1005	7582	7.544278606965174
el	1467	12026	8.197682344921608
aar</w>	136	6368	46.8235294117647
het</w>	2	15590	7795.0
ijn</w>	31	772	24.903225806451612
da	263	4246	16.14448669201521
oe	714	8624	12.07843137254902
di	503	5773	11.47713717693837
gen</w>	457	9528	20.849015317286653
ver	1380	12013	8.705072463768117
een</w>	33	12215	370.1515151515151
te</w>	378	11931	31.563492063492063
wa	292	5019	17.188356164383563
in</w>	85	11524	135.57647058823528
le	808	11395	14.102722772277227
ui	1001	7146	7.138861138861139
ten</w>	813	11051	13.592865928659286
be	1246	10733	8.613964686998395
dat</w>	11	10435	948.6363636363636
me	383	4852	12.66840731070496
zijn</w>	10	10332	1033.2
hij</w>	2	9924	4962.0
ik</w>	16	9717	607.3125
oor</w>	16	143	8.9375
nie	82	2874	35.048780487804876
ro	550	9029	16.416363636363638
re	976	8905	9.123975409836065
ze	299	6632	22.180602006688964
al</w>	80	2515	31.4375
die</w>	5	8544	1708.8
we	505	8264	16.364356435643565
aan</w>	136	8213	60.38970588235294
ra	556	5811	10.451438848920864
or	431	4241	9.839907192575406
ere</w>	40	1480	37.0
go	117	2462	21.042735042735043
oor	406	5387	13.268472906403941
zij</w>	8	7026	878.25
is</w>	79	6884	87.13924050632912
op</w>	29	6791	234.17241379310346
uw</w>	57	6658	116.80701754385964
als</w>	12	6643	553.5833333333334
ven</w>	232	6522	28.112068965517242
ken</w>	522	6510	12.471264367816092
ing</w>	496	4072	8.209677419354838
niet</w>	4	6335	1583.75
here</w>	2	6333	3166.5
voor</w>	8	6314	789.25
om	279	3221	11.544802867383513
to	114	3850	33.771929824561404
zal</w>	3	6113	2037.6666666666667
der	517	5894	11.400386847195358
ol	155	1032	6.658064516129032
ul	149	2083	13.979865771812081
met</w>	5	5536	1107.2
aar	389	5438	13.979434447300772
sch	679	5427	7.992636229749632
zi	181	3247	17.939226519337016
de	384	3379	8.799479166666666
te	350	2849	8.14
hem</w>	7	5083	726.1428571428571
maar</w>	2	4973	2486.5
god</w>	10	4959	495.9
ha	415	2988	7.2
naar</w>	16	4856	303.5
la	468	4693	10.027777777777779
cht</w>	240	4636	19.316666666666666
len</w>	171	2187	12.789473684210526
der</w>	119	4496	37.78151260504202
vol	140	2589	18.492857142857144
ze</w>	64	2555	39.921875
gen	363	4410	12.148760330578513
cht	520	4340	8.346153846153847
om</w>	45	4319	95.97777777777777
mij</w>	1	4287	4287.0
st</w>	290	4273	14.73448275862069
ft</w>	72	901	12.51388888888889
el</w>	167	4211	25.21556886227545
li	293	4189	14.296928327645052
and</w>	78	4068	52.15384615384615
wi	135	4064	30.103703703703705
hu	103	306	2.970873786407767
uit</w>	32	4010	125.3125
op	604	3980	6.589403973509934
is	275	1573	5.72
zo	92	3780	41.08695652173913
hun</w>	3	3755	1251.6666666666667
nen</w>	119	3754	31.54621848739496
ne	293	3648	12.450511945392492
moe	120	3732	31.1
wor	28	1092	39.0
am	354	3616	10.214689265536723
us</w>	107	3610	33.73831775700935
mijn</w>	2	3598	1799.0
ch</w>	72	1384	19.22222222222222
wer	173	3545	20.491329479768787
zul	4	1042	260.5
heb	32	3456	108.0
kon	46	1069	23.23913043478261
wan	53	651	12.283018867924529
lij	248	3379	13.625
wat</w>	2	3372	1686.0
