subword	prod	cum_freq	idiosyncrasy_index
th	500	11486	22.972
an	641	10713	16.712948517940717
the</w>	8	63991	7998.875
and</w>	20	56081	2804.05
the	89	3668	41.21348314606742
of</w>	10	35658	3565.8
in	609	12290	20.18062397372742
ha	563	9104	16.17051509769094
hi	234	3118	13.324786324786325
re	955	14046	14.707853403141362
to</w>	7	15616	2230.8571428571427
ou	335	8539	25.48955223880597
or	344	6305	18.328488372093023
ll</w>	38	2556	67.26315789473684
th</w>	866	12933	14.934180138568129
er	746	12242	16.410187667560322
at</w>	37	4385	118.51351351351352
ed</w>	975	16905	17.338461538461537
in</w>	88	16133	183.32954545454547
ar	693	11679	16.852813852813853
he	522	8628	16.528735632183906
wi	95	3607	37.96842105263158
sa	236	9191	38.94491525423729
on</w>	224	5300	23.660714285714285
that</w>	2	12917	6458.5
on	310	4827	15.570967741935483
sha	159	2694	16.943396226415093
ing</w>	633	9832	15.532385466034755
un	226	3222	14.256637168141593
or</w>	79	2678	33.89873417721519
se	417	11521	27.628297362110313
he</w>	3	11403	3801.0
me</w>	41	6618	161.41463414634146
be	412	10908	26.475728155339805
er</w>	292	5174	17.71917808219178
no	71	1348	18.985915492957748
le	566	10180	17.985865724381625
st</w>	442	9858	22.30316742081448
shall</w>	1	9838	9838.0
is</w>	19	7012	369.05263157894734
st	619	9447	15.261712439418417
ma	334	6211	18.595808383233532
en</w>	110	7048	64.07272727272728
en	524	6304	12.030534351145038
wa	123	4544	36.94308943089431
unto</w>	4	9035	2258.75
ord</w>	9	1182	131.33333333333334
for</w>	1	8970	8970.0
ro	336	4905	14.598214285714286
his</w>	2	8473	4236.5
se</w>	107	8421	78.70093457943925
ve</w>	63	4470	70.95238095238095
ri	410	8351	20.36829268292683
ou</w>	1	2	2.0
lord</w>	1	7831	7831.0
ca	214	5529	25.83644859813084
ra	417	4970	11.918465227817746
es</w>	453	7459	16.46578366445916
they</w>	1	7376	7376.0
be</w>	12	7357	613.0833333333334
it</w>	36	7115	197.63888888888889
li	421	7050	16.7458432304038
go	71	2596	36.563380281690144
ti	326	4732	14.515337423312884
not</w>	2	6780	3390.0
id</w>	17	2743	161.35294117647058
him</w>	13	6684	514.1538461538462
ho	231	6648	28.77922077922078
them</w>	1	6428	6428.0
da	189	6417	33.95238095238095
gh	101	2520	24.95049504950495
ch</w>	99	1942	19.616161616161616
bu	126	2319	18.404761904761905
with</w>	5	6170	1234.0
de	440	6088	13.836363636363636
all</w>	7	5903	843.2857142857143
co	208	3749	18.02403846153846
la	425	5832	13.72235294117647
for	98	2154	21.979591836734695
thou</w>	2	5475	2737.5
ld</w>	41	5427	132.3658536585366
le</w>	173	3276	18.936416184971097
ce</w>	145	5102	35.186206896551724
is	305	2451	8.036065573770491
ne	308	4876	15.831168831168831
whi	19	512	26.94736842105263
ga	123	2483	20.1869918699187
it	419	4793	11.439140811455847
ther</w>	28	4743	169.39285714285714
ev	58	4719	81.36206896551724
thy</w>	8	4703	587.875
my</w>	7	4579	654.1428571428571
pe	159	2410	15.157232704402515
was</w>	1	4525	4525.0
god</w>	1	4443	4443.0
which</w>	1	4413	4413.0
lo	280	4328	15.457142857142857
ir</w>	25	339	13.56
ta	228	4210	18.464912280701753
our</w>	27	4184	154.96296296296296
fa	109	4116	37.76146788990825
ye</w>	2	4100	2050.0
whe	30	1234	41.13333333333333
out</w>	12	4049	337.4166666666667
said</w>	1	3997	3997.0
ss</w>	201	3997	19.885572139303484
but</w>	2	3997	1998.5
their</w>	1	3931	3931.0
fi	136	3919	28.816176470588236
have</w>	2	3916	1958.0
ke</w>	31	3906	126.0
ght</w>	37	3885	105.0
will</w>	3	3855	1285.0
thee</w>	1	3826	3826.0
al	162	3787	23.376543209876544
re</w>	61	1922	31.508196721311474
as</w>	37	3756	101.51351351351352
fro	7	47	6.714285714285714
el</w>	146	1118	7.657534246575342
from</w>	2	3645	1822.5
one</w>	19	3642	191.68421052631578
red</w>	133	3631	27.30075187969925
si	213	3583	16.821596244131456
are</w>	23	3583	155.7826086956522
us</w>	92	3557	38.66304347826087
so</w>	3	3511	1170.3333333333333
ly</w>	265	3486	13.154716981132076
ing	70	1183	16.9
do	94	3467	36.88297872340426
fore</w>	6	3395	565.8333333333334
ere</w>	6	577	96.16666666666667
ab	181	3296	18.209944751381215
we	145	3293	22.71034482758621
up	80	523	6.5375
an</w>	104	3228	31.03846153846154
hou	23	3212	139.65217391304347
man</w>	28	3172	113.28571428571429
oun	84	3088	36.76190476190476
pa	164	3052	18.609756097560975
na	155	3002	19.36774193548387
ts</w>	135	2954	21.881481481481483
te	274	2917	10.645985401459853
ter</w>	57	2902	50.91228070175438
ld	58	2853	49.189655172413794
de</w>	46	2841	61.76086956521739
when</w>	1	2834	2834.0
op	71	680	9.577464788732394
ent</w>	81	2798	34.54320987654321
this</w>	1	2788	2788.0
mi	149	2779	18.651006711409394
were</w>	1	2774	2774.0
upon</w>	3	2768	922.6666666666666
son</w>	13	2718	209.07692307692307
mo	130	2699	20.76153846153846
by</w>	4	2698	674.5
me	249	2646	10.626506024096386
you</w>	1	2613	2613.0
isra	4	35	8.75
chi	65	2577	39.646153846153844
king</w>	30	2573	85.76666666666667
there	20	2572	128.6
israel</w>	2	2567	1283.5
rea	136	2490	18.308823529411764
ar</w>	54	2476	45.851851851851855
up</w>	3	2453	817.6666666666666
ers</w>	201	2440	12.139303482587065
ds</w>	85	2432	28.611764705882354
gi	91	2427	26.67032967032967
ine</w>	31	2422	78.12903225806451
je	146	2415	16.541095890410958
ren</w>	5	2388	477.6
lt</w>	17	2386	140.35294117647058
to	71	2384	33.57746478873239
then</w>	6	2372	395.3333333333333
aga	10	2363	236.3
ver</w>	28	2337	83.46428571428571
hath</w>	12	2328	194.0
ah</w>	339	2326	6.8613569321533925
su	144	2306	16.01388888888889
there</w>	1	2300	2300.0
ings</w>	101	2288	22.653465346534652
tion</w>	142	2271	15.992957746478874
ons</w>	102	2239	21.95098039215686
fe	131	2210	16.870229007633586
ye	45	2206	49.022222222222226
came</w>	3	2201	733.6666666666666
wn</w>	21	2197	104.61904761904762
ur	109	2165	19.862385321100916
of	32	2171	67.84375
peop	2	6	3.0
now</w>	4	2143	535.75
people</w>	1	2140	2140.0
con	180	2139	11.883333333333333
her</w>	26	2130	81.92307692307692
come</w>	3	2128	709.3333333333334
po	135	2124	15.733333333333333
