subword	prod	cum_freq	idiosyncrasy_index
را</w>	154	28363	184.17532467532467
ان</w>	1554	15921	10.245173745173744
ند</w>	1373	12854	9.361981063364894
ای	1378	9580	6.95210449927431
خو	1042	7021	6.7380038387715935
که</w>	298	25171	84.46644295302013
دا	1442	12657	8.777392510402219
را	2750	13167	4.788
می	568	5235	9.216549295774648
به</w>	156	20315	130.22435897435898
ان	1990	11041	5.548241206030151
ده</w>	828	11074	13.3743961352657
از</w>	104	15115	145.33653846153845
در</w>	136	14516	106.73529411764706
اس	559	3546	6.343470483005366
اه	446	3457	7.751121076233184
می‌	1015	12301	12.119211822660098
ود</w>	166	2791	16.813253012048193
ید</w>	944	10401	11.018008474576272
ای</w>	926	6577	7.102591792656588
رو	1030	7371	7.156310679611651
خواه	367	2684	7.313351498637602
با	1148	8134	7.085365853658536
ام	836	5352	6.401913875598086
نم	64	727	11.359375
نی	905	8347	9.223204419889504
او</w>	71	8186	115.29577464788733
خدا	163	1814	11.128834355828221
خود</w>	66	8096	122.66666666666667
شان</w>	108	997	9.231481481481481
بر	1285	7772	6.048249027237354
است</w>	112	7756	69.25
کر	361	3060	8.476454293628809
بی	957	7146	7.467084639498433
ایشان</w>	67	6989	104.31343283582089
شم	495	3004	6.068686868686869
آن</w>	45	6805	151.22222222222223
ست	899	5244	5.833147942157953
دند</w>	441	6711	15.217687074829932
فت</w>	129	2292	17.767441860465116
من</w>	41	6588	160.6829268292683
بر</w>	88	6448	73.27272727272727
ه‌	860	3017	3.5081395348837208
ور	726	3692	5.085399449035813
خداو	272	643	2.363970588235294
برا	207	2005	9.68599033816425
اه</w>	130	3797	29.20769230769231
سا	489	6244	12.768916155419223
زی	510	2362	4.631372549019608
ها</w>	947	4530	4.783526927138332
اد	625	3231	5.1696
فت	506	4162	8.225296442687746
تو</w>	47	6009	127.85106382978724
شد</w>	85	4026	47.36470588235294
آن	271	4254	15.697416974169741
در	1094	5848	5.345521023765996
گر	831	5720	6.883273164861612
دی	755	5756	7.623841059602649
ست</w>	301	4114	13.667774086378737
خداوند</w>	41	5701	139.0487804878049
ار	1232	5478	4.446428571428571
های</w>	669	5359	8.010463378176382
بود</w>	66	5169	78.31818181818181
فر	481	5047	10.492723492723492
ون</w>	289	2340	8.09688581314879
یم</w>	477	4740	9.937106918238994
تا</w>	91	4712	51.78021978021978
لا	479	4602	9.607515657620041
این</w>	41	4572	111.51219512195122
گفت</w>	42	4315	102.73809523809524
برای</w>	52	4301	82.71153846153847
پس</w>	16	4298	268.625
نی</w>	298	4111	13.795302013422818
با</w>	65	3986	61.323076923076925
ار</w>	343	3977	11.594752186588922
شت	522	3924	7.517241379310345
خواهد</w>	136	3879	28.522058823529413
شما</w>	40	3866	96.65
دا</w>	64	1671	26.109375
زیرا</w>	76	3820	50.26315789473684
بو	442	3806	8.610859728506787
گو	272	3771	13.863970588235293
خت	469	3759	8.014925373134329
مر	398	3704	9.306532663316583
کن	340	3667	10.785294117647059
یل</w>	52	604	11.615384615384615
ما	439	3656	8.328018223234624
هو	101	403	3.99009900990099
قو	183	1906	10.415300546448087
مو	380	3526	9.278947368421052
سی	390	3522	9.03076923076923
از	991	3448	3.479313824419778
یهو	117	1379	11.786324786324787
ال	499	3230	6.472945891783567
ری	435	3226	7.416091954022988
ند	1034	3197	3.0918762088974856
هم	191	1644	8.607329842931938
مین</w>	38	633	16.657894736842106
زد</w>	88	937	10.647727272727273
سی</w>	122	3103	25.434426229508198
ئیل</w>	122	552	4.524590163934426
تو	644	3032	4.708074534161491
وی</w>	96	3027	31.53125
اب	439	2958	6.738041002277904
انی</w>	287	2942	10.250871080139373
ادش	4	5	1.25
پادش	22	434	19.727272727272727
هر	355	2910	8.19718309859155
یا</w>	112	2910	25.982142857142858
ام</w>	306	2759	9.016339869281046
هر</w>	45	2739	60.86666666666667
آور	209	2713	12.980861244019138
امی</w>	88	693	7.875
کن</w>	75	2687	35.82666666666667
اسرا	17	176	10.352941176470589
پس	132	2680	20.303030303030305
شده</w>	54	2661	49.27777777777778
ور</w>	197	2659	13.49746192893401
چون</w>	17	2628	154.58823529411765
او	543	2546	4.688766114180479
زمین</w>	15	2541	169.4
ما</w>	62	2528	40.774193548387096
آم	139	2511	18.06474820143885
اسرائیل</w>	21	2510	119.52380952380952
نمای	110	2497	22.7
تم	84	492	5.857142857142857
مان</w>	135	2490	18.444444444444443
پادشاه</w>	43	2478	57.627906976744185
گر</w>	64	2476	38.6875
نمو	128	2471	19.3046875
خان	41	759	18.51219512195122
دم</w>	244	2455	10.061475409836065
یا	367	2423	6.602179836512262
ران</w>	153	2404	15.712418300653594
نه</w>	149	2352	15.78523489932886
چه</w>	95	2335	24.57894736842105
بل	202	2333	11.549504950495049
خواهم</w>	66	2272	34.42424242424242
شت</w>	155	2233	14.406451612903226
کرد</w>	40	2226	55.65
