subword	prod	cum_freq	idiosyncrasy_index
es</w>	939	8202	8.73482428115016
ou	1000	8247	8.247
en	1869	17403	9.31139646869984
de</w>	148	35658	240.93243243243242
qu	517	6497	12.566731141199226
et</w>	47	33221	706.8297872340426
ai	1259	9534	7.572676727561557
an	1310	12615	9.629770992366412
er	2119	12158	5.737612081170363
le</w>	414	24759	59.80434782608695
on	906	7935	8.758278145695364
eu	367	4986	13.5858310626703
les</w>	317	21965	69.29022082018928
la</w>	143	20738	145.020979020979
re</w>	418	10049	24.04066985645933
on</w>	541	8681	16.046210720887245
pa	314	4505	14.347133757961783
l`	1046	11563	11.054493307839389
ch	1712	16776	9.799065420560748
ent</w>	1182	8496	7.187817258883249
il	444	4445	10.01126126126126
di	709	6797	9.586741889985896
ri	995	9443	9.490452261306533
es	902	7728	8.567627494456763
ne</w>	249	10533	42.30120481927711
ét	503	7370	14.652087475149106
oi	456	8839	19.38377192982456
il</w>	258	11342	43.96124031007752
ous</w>	11	553	50.27272727272727
au	430	9611	22.351162790697675
om	315	3532	11.212698412698412
ti	1285	11326	8.814007782101168
te</w>	512	11414	22.29296875
or	975	11367	11.65846153846154
que</w>	86	11152	129.67441860465115
av	361	7367	20.407202216066484
ce</w>	243	10595	43.60082304526749
me</w>	170	7575	44.55882352941177
ils</w>	101	6169	61.07920792079208
des</w>	63	10194	161.8095238095238
qui</w>	2	10108	5054.0
ra	1214	7300	6.013179571663921
d`	845	9757	11.546745562130177
ne	303	2259	7.455445544554456
su	432	5150	11.921296296296296
en</w>	119	9299	78.14285714285714
el	408	5941	14.561274509803921
em	867	8815	10.16724336793541
oi</w>	13	1734	133.3846153846154
pr	567	5918	10.437389770723104
se</w>	334	8716	26.095808383233532
pou	179	2087	11.659217877094973
eur</w>	162	5266	32.50617283950617
ait</w>	638	8275	12.970219435736677
vi	464	7970	17.176724137931036
ans</w>	8	1169	146.125
ar	816	7774	9.526960784313726
ss	1152	7632	6.625
er</w>	946	7416	7.839323467230444
est</w>	10	5210	521.0
erne	19	128	6.7368421052631575
je</w>	106	7203	67.95283018867924
tr	739	7177	9.711772665764547
éterne	5	161	32.2
lu	165	3023	18.32121212121212
mai	37	4268	115.35135135135135
un</w>	17	7057	415.11764705882354
vous</w>	223	7050	31.614349775784753
par	398	7009	17.610552763819097
éternel</w>	1	419	419.0
li	887	6914	7.794813979706877
dans</w>	2	6899	3449.5
ant</w>	507	6845	13.500986193293885
ont</w>	471	6672	14.165605095541402
qu`	145	4199	28.958620689655174
tre</w>	99	6578	66.44444444444444
l`éternel</w>	2	6577	3288.5
du</w>	17	6459	379.94117647058823
eu</w>	16	2263	141.4375
eux</w>	95	6401	67.37894736842105
sa	306	6318	20.647058823529413
pour</w>	2	6288	3144.0
tou	141	3694	26.19858156028369
ca	253	2749	10.865612648221344
ser	358	5909	16.50558659217877
ts</w>	274	3636	13.27007299270073
tes</w>	344	5828	16.941860465116278
son</w>	27	5746	212.8148148148148
re	861	5700	6.620209059233449
con	679	5711	8.410898379970545
tu</w>	194	5664	29.195876288659793
rent</w>	219	3142	14.34703196347032
fi	376	5601	14.89627659574468
com	302	2296	7.602649006622516
rs</w>	39	1391	35.666666666666664
dit</w>	37	5020	135.67567567567568
au</w>	66	4974	75.36363636363636
ui	373	4930	13.2171581769437
in	880	4800	5.454545454545454
ab	610	4770	7.819672131147541
pas</w>	6	4571	761.8333333333334
ez</w>	708	4521	6.385593220338983
al	337	4406	13.074183976261127
ses</w>	112	4360	38.92857142857143
sur</w>	6	4288	714.6666666666666
si	503	4210	8.369781312127236
ée</w>	439	4206	9.580865603644646
dieu</w>	3	4179	1393.0
fils</w>	3	4169	1389.6666666666667
lui</w>	27	4095	151.66666666666666
une</w>	18	3996	222.0
ré	539	3927	7.285714285714286
