subword	prod	cum_freq	idiosyncrasy_index
ai	179	409	2.2849162011173183
th	96	228	2.375
ea	117	272	2.324786324786325
an</w>	71	759	10.690140845070422
ui	103	215	2.087378640776699
ch	199	351	1.763819095477387
dh	125	378	3.024
gu	4	60	15.0
dh</w>	71	185	2.6056338028169015
ch</w>	111	258	2.324324324324324
bh	143	395	2.762237762237762
ei	65	220	3.3846153846153846
ia	78	196	2.5128205128205128
gus</w>	1	29	29.0
air</w>	27	406	15.037037037037036
agus</w>	2	561	280.5
ri	51	235	4.607843137254902
bh</w>	69	251	3.63768115942029
oi	121	288	2.3801652892561984
nn</w>	72	280	3.888888888888889
io	79	202	2.5569620253164556
ach</w>	57	243	4.2631578947368425
is</w>	14	408	29.142857142857142
gh	111	271	2.4414414414414414
iad</w>	10	367	36.7
na</w>	18	314	17.444444444444443
rt</w>	27	98	3.6296296296296298
nn	69	171	2.4782608695652173
fh	64	179	2.796875
tha</w>	9	211	23.444444444444443
mh	74	171	2.310810810810811
adh</w>	80	145	1.8125
`s</w>	2	282	141.0
sa</w>	29	76	2.6206896551724137
si	20	72	3.6
le</w>	20	127	6.35
as</w>	61	213	3.4918032786885247
th</w>	26	114	4.384615384615385
la	69	203	2.9420289855072466
gh</w>	27	149	5.518518518518518
ar	80	196	2.45
thui	3	14	4.666666666666667
am</w>	10	137	13.7
ean</w>	72	186	2.5833333333333335
thuirt</w>	1	181	181.0
ti	27	75	2.7777777777777777
ma	36	104	2.888888888888889
bha</w>	1	159	159.0
mh</w>	45	151	3.3555555555555556
dh`</w>	4	147	36.75
san</w>	22	142	6.454545454545454
ni	21	58	2.761904761904762
eadh</w>	53	139	2.6226415094339623
ga	38	138	3.6315789473684212
gai	34	93	2.735294117647059
al	36	85	2.361111111111111
or	42	133	3.1666666666666665
do</w>	1	133	133.0
uair</w>	3	42	14.0
rai	42	124	2.9523809523809526
gu</w>	1	124	124.0
ne</w>	11	54	4.909090909090909
sea	40	121	3.025
ag</w>	3	120	40.0
ri</w>	4	119	29.75
ra	59	119	2.016949152542373
thi	26	116	4.461538461538462
sh	56	115	2.0535714285714284
on</w>	17	113	6.647058823529412
ris</w>	6	108	18.0
aidh</w>	30	59	1.9666666666666666
na	44	106	2.409090909090909
lei	22	56	2.5454545454545454
rio	25	63	2.52
nach</w>	7	102	14.571428571428571
`sa</w>	1	102	102.0
ro	34	52	1.5294117647058822
riu	6	16	2.6666666666666665
oir</w>	13	99	7.615384615384615
radh</w>	14	96	6.857142857142857
thai	10	26	2.6
iosa</w>	2	93	46.5
dui	11	24	2.1818181818181817
sin</w>	1	92	92.0
ith</w>	3	37	12.333333333333334
gun</w>	1	91	91.0
chd</w>	35	91	2.6
sa	37	88	2.3783783783783785
nuair</w>	1	88	88.0
air	43	88	2.046511627906977
eil</w>	7	85	12.142857142857142
riutha</w>	1	84	84.0
te</w>	33	83	2.515151515151515
so</w>	1	83	83.0
rea	31	83	2.6774193548387095
thu	9	29	3.2222222222222223
se</w>	20	82	4.1
sg	23	41	1.7826086956521738
nig</w>	2	14	7.0
ail	27	81	3.0
ur</w>	13	80	6.153846153846154
dhe</w>	8	78	9.75
uile</w>	3	77	25.666666666666668
dhai	8	36	4.5
tha	40	75	1.875
mi</w>	1	75	75.0
eu	36	75	2.0833333333333335
lai	30	74	2.466666666666667
inn</w>	19	74	3.8947368421052633
cio	3	28	9.333333333333334
t-	30	73	2.433333333333333
bhai	15	73	4.866666666666666
mar</w>	4	71	17.75
cui	21	71	3.380952380952381
ann</w>	3	71	23.666666666666668
ol</w>	6	70	11.666666666666666
mach</w>	6	70	11.666666666666666
lea	41	69	1.6829268292682926
duine</w>	1	69	69.0
ca	22	69	3.1363636363636362
gha	13	68	5.230769230769231
eis	11	22	2.0
dha</w>	2	68	34.0
thainig</w>	1	67	67.0
omh	22	67	3.0454545454545454
lu	24	67	2.7916666666666665
ein</w>	3	3	1.0
sti	3	19	6.333333333333333
sibh</w>	2	65	32.5
nea	21	64	3.0476190476190474
h-	25	64	2.56
fhein</w>	1	64	64.0
cha</w>	2	64	32.0
fea	8	62	7.75
chui	11	20	1.8181818181818181
