subword	prod	cum_freq	idiosyncrasy_index
en</w>	1832	28472	15.541484716157205
er</w>	837	24902	29.751493428912784
un	1144	11457	10.01486013986014
ei	574	5653	9.848432055749129
er	2293	17143	7.476232010466638
und</w>	37	47131	1273.8108108108108
ch	1326	12392	9.345399698340875
ch</w>	168	3871	23.041666666666668
ie</w>	9	138	15.333333333333334
ge	1837	20245	11.020685900925422
der</w>	134	25361	189.26119402985074
da	339	5485	16.179941002949853
de	390	3680	9.435897435897436
au	499	5451	10.923847695390782
ein	458	4841	10.569868995633188
an	1171	14775	12.617421007685738
ih	27	3803	140.85185185185185
ich</w>	151	13733	90.94701986754967
den</w>	256	14307	55.88671875
ie	558	6046	10.835125448028673
st	1556	16650	10.70051413881748
die</w>	2	16602	8301.0
te</w>	848	10201	12.029481132075471
st</w>	760	7499	9.867105263157894
al	486	7860	16.17283950617284
vo	248	2330	9.39516129032258
ni	280	2577	9.20357142857143
cht</w>	215	5794	26.948837209302326
ab	498	3495	7.018072289156627
ein</w>	96	9770	101.77083333333333
sch	1606	12603	7.847447073474471
es</w>	421	12531	29.764845605700714
in	826	7061	8.548426150121065
wi	225	6267	27.85333333333333
ten</w>	943	11990	12.71474019088017
her	362	2859	7.897790055248619
ra	424	4164	9.820754716981131
en	1378	10595	7.688679245283019
gen</w>	677	10684	15.78138847858198
zu</w>	8	10578	1322.25
so	141	2980	21.134751773049647
wa	243	5246	21.588477366255145
mi	255	1919	7.525490196078431
sie</w>	2	9813	4906.5
in</w>	86	9861	114.66279069767442
ha	521	5881	11.287907869481765
se	559	8926	15.967799642218246
das</w>	11	8780	798.1818181818181
eu	344	5555	16.148255813953487
daß</w>	1	8044	8044.0
des</w>	67	7655	114.25373134328358
nicht</w>	1	7590	7590.0
sp	238	2694	11.319327731092438
sa	512	7230	14.12109375
dem</w>	12	7057	588.0833333333334
ist</w>	7	7010	1001.4285714285714
re	587	6999	11.923339011925043
el	707	6872	9.71994342291372
eine</w>	32	4673	146.03125
de</w>	199	6472	32.52261306532663
all	129	4092	31.72093023255814
be	809	6316	7.80716934487021
ter</w>	394	6309	16.012690355329948
den	81	1120	13.82716049382716
an</w>	88	6283	71.39772727272727
mm	335	3841	11.465671641791046
von</w>	3	6226	2075.3333333333335
da</w>	36	6147	170.75
auf</w>	16	6138	383.625
ll	259	3028	11.691119691119692
ver	958	6100	6.367432150313152
na	260	3802	14.623076923076923
