subword	prod	cum_freq	idiosyncrasy_index
το	881	8471	9.615209988649262
κα	1239	10173	8.210653753026634
ει	1699	12054	7.094761624484991
και</w>	16	51279	3204.9375
ων</w>	1609	16943	10.530142945929148
αυ	480	8373	17.44375
τη	692	3932	5.682080924855492
του</w>	208	21261	102.21634615384616
ον</w>	2064	27327	13.23982558139535
εν</w>	1623	20420	12.581638940234134
ου</w>	802	14348	17.890274314214462
ου	1563	13271	8.490722968650031
ος</w>	1336	16470	12.327844311377245
ελ	1490	10523	7.062416107382551
ας</w>	1222	14279	11.684942716857611
ει</w>	1770	17305	9.77683615819209
ρι	1943	10740	5.527534740092641
εις</w>	445	22202	49.89213483146067
τον</w>	251	16773	66.82470119521912
αν	2801	14516	5.182434844698322
δι	1799	7974	4.432462479155086
τα</w>	725	14371	19.822068965517243
αν</w>	1170	13484	11.524786324786325
των</w>	579	12563	21.697754749568222
ερ	1327	8331	6.278070836473248
πρ	681	4516	6.631424375917768
αι</w>	1013	6732	6.645607107601185
θελ	48	3846	80.125
ασ	2307	10586	4.58864325964456
το</w>	321	14780	46.04361370716511
εν	2096	11372	5.425572519083969
αλ	1411	10501	7.442239546420978
την</w>	133	14107	106.06766917293233
του	200	3483	17.415
πο	748	3717	4.969251336898396
αρ	1396	9569	6.854584527220631
οι</w>	853	12781	14.98358733880422
ησ	1763	9518	5.398752127056154
της</w>	247	10400	42.10526315789474
επ	1546	8206	5.307891332470892
ευ	2334	11457	4.908740359897172
αι	1626	11132	6.846248462484625
να</w>	196	10857	55.392857142857146
εσ	1871	10563	5.645644040619989
τους</w>	81	6691	82.60493827160494
τε</w>	1139	7592	6.665496049165935
αυτου</w>	5	9971	1994.2
ισ	1703	7314	4.294773928361715
εγ	609	4323	7.098522167487685
οσ	381	4957	13.010498687664041
ως</w>	211	6096	28.89099526066351
τι</w>	171	3361	19.65497076023392
ον	1877	9374	4.994139584443261
κυ	288	1111	3.857638888888889
απ	1035	5673	5.481159420289855
ωσ	2072	8618	4.159266409266409
ημ	744	5653	7.598118279569892
κυρι	54	2178	40.333333333333336
ομ	1299	8158	6.280215550423403
δια</w>	30	8215	273.8333333333333
ειν	245	3259	13.30204081632653
ους</w>	729	7923	10.868312757201647
αγ	1167	7705	6.602399314481577
προς</w>	8	7709	963.625
τι	803	4934	6.1444582814445825
ης</w>	1034	7608	7.3578336557059965
εκ	1159	7357	6.347713546160483
ην</w>	650	7445	11.453846153846154
ουσ	912	4449	4.878289473684211
οι	597	4297	7.197654941373535
δεν</w>	10	7028	702.8
υν	646	4682	7.247678018575852
ρα	760	3896	5.126315789473685
μου</w>	83	6419	77.33734939759036
σου</w>	15	6392	426.1333333333333
ες</w>	253	2915	11.521739130434783
θη</w>	1005	6265	6.233830845771144
οτι</w>	3	1994	664.6666666666666
ιν</w>	1103	6094	5.524932003626473
αβ	633	6090	9.62085308056872
ετ	861	3913	4.544715447154472
δε</w>	13	5965	458.84615384615387
τος</w>	497	5944	11.959758551307846
θελει</w>	1	5930	5930.0
μα	855	5660	6.619883040935672
θε	256	5552	21.6875
τας</w>	360	5503	15.286111111111111
ιλ	305	1716	5.6262295081967215
εμ	838	5295	6.318615751789976
αμ	933	5235	5.610932475884244
υπ	641	5169	8.06396255850234
αυτον</w>	5	5125	1025.0
εξ	935	4954	5.298395721925134
ατ	706	5044	7.144475920679887
υι	20	4832	241.6
αυτων</w>	2	4811	2405.5
ειναι</w>	3	4791	1597.0
ειπ	53	2667	50.320754716981135
προσ	482	4661	9.6701244813278
κατ	1171	4418	3.7728437233134073
βασ	154	620	4.025974025974026
ποι	134	697	5.201492537313433
ορ	793	4250	5.359394703656998
διοτι</w>	1	4234	4234.0
παν	75	4168	55.57333333333333
ακ	691	4041	5.848046309696093
εφ	678	3886	5.731563421828908
πλ	531	3861	7.271186440677966
ηλ	470	3778	8.038297872340426
εισ	365	3749	10.271232876712329
ωπ	98	1830	18.6734693877551
εκ</w>	15	3735	249.0
βασιλ	60	3731	62.18333333333333
τω</w>	72	3722	51.69444444444444
κυριος</w>	1	3640	3640.0
τη</w>	72	3583	49.763888888888886
με</w>	7	3583	511.85714285714283
οποι	117	3573	30.53846153846154
εως</w>	182	3507	19.26923076923077
ηρ	673	3497	5.196136701337296
αυτους</w>	3	3485	1161.6666666666667
αλλ	236	3469	14.69915254237288
πολ	321	3462	10.785046728971963
τες</w>	627	3459	5.516746411483253
επι</w>	1	3459	3459.0
λεγ	70	3432	49.02857142857143
ηλ</w>	130	865	6.653846153846154
παρ	712	3405	4.782303370786517
τρ	685	3393	4.953284671532847
θρ	214	1291	6.0327102803738315
υσ	481	3337	6.9376299376299375
