subword	prod	cum_freq	idiosyncrasy_index
ને</w>	719	4734	6.584144645340751
મા	467	1998	4.278372591006424
્ય	254	1485	5.846456692913386
ું</w>	297	2963	9.976430976430976
તે	111	2037	18.35135135135135
છે</w>	7	7970	1138.5714285714287
કર	271	5034	18.575645756457565
ાર	610	2572	4.216393442622951
તે</w>	39	6656	170.66666666666666
્ર	386	1329	3.44300518134715
ના</w>	852	4629	5.433098591549296
થી</w>	535	2298	4.295327102803738
વા	862	3523	4.087006960556844
અને</w>	4	4843	1210.75
ની</w>	831	3832	4.611311672683514
માં</w>	741	3563	4.808367071524966
્ત	194	1022	5.268041237113402
તો</w>	163	2656	16.29447852760736
માર	88	903	10.261363636363637
કે</w>	43	3681	85.6046511627907
પ્ર	353	2968	8.407932011331445
પા	357	2727	7.638655462184874
દે	160	767	4.79375
ોક	83	444	5.349397590361446
કહ	69	1477	21.405797101449274
નો</w>	825	3039	3.6836363636363636
આપ	61	2242	36.75409836065574
સા	304	1940	6.381578947368421
વિ	239	1447	6.054393305439331
ઈસ	22	75	3.409090909090909
લોક	3	4	1.3333333333333333
તમ	9	18	2.0
્યો</w>	187	2855	15.267379679144385
જે</w>	49	2790	56.93877551020408
્યું</w>	113	1081	9.56637168141593
ાં</w>	410	2014	4.912195121951219
વા</w>	219	2533	11.5662100456621
તા</w>	225	1530	6.8
શે</w>	192	2237	11.651041666666666
ત્ય	94	808	8.595744680851064
ારે</w>	42	643	15.30952380952381
ના	437	2154	4.9290617848970255
પણ</w>	19	2161	113.73684210526316
સ્ત	139	1419	10.20863309352518
રા	377	1988	5.273209549071618
ત્	156	1380	8.846153846153847
આવ	66	1953	29.59090909090909
ણે</w>	37	1222	33.027027027027025
કા	412	1944	4.718446601941747
હું</w>	9	1925	213.88888888888889
દેવ	39	1881	48.23076923076923
માટ	11	73	6.636363636363637
ઈસુ	12	860	71.66666666666667
તમે</w>	3	1832	610.6666666666666
નું</w>	404	1793	4.438118811881188
્યા</w>	171	1781	10.415204678362572
ર્	424	1772	4.179245283018868
માટે</w>	1	1774	1774.0
તેઓ	18	499	27.72222222222222
જા	241	1656	6.871369294605809
કહ્યું</w>	1	1604	1604.0
જો	68	842	12.382352941176471
લા	324	1578	4.87037037037037
સ્	272	1556	5.720588235294118
નથી</w>	23	1542	67.04347826086956
તમાર	26	1529	58.80769230769231
લોકો</w>	2	1484	742.0
માણ	18	643	35.72222222222222
કાર	198	1441	7.277777777777778
ોને</w>	114	673	5.9035087719298245
જે	48	1396	29.083333333333332
હતો</w>	3	1395	465.0
ંત	118	456	3.864406779661017
પર	108	436	4.037037037037037
એક</w>	8	1360	170.0
હે	198	1359	6.863636363636363
તું</w>	49	1358	27.714285714285715
બા	194	1318	6.793814432989691
નહ	20	164	8.2
તા	211	682	3.2322274881516586
પછ	9	30	3.3333333333333335
સે</w>	38	427	11.236842105263158
કો	133	586	4.406015037593985
પછી</w>	2	1238	619.0
છું</w>	6	1216	202.66666666666666
ક્	78	608	7.794871794871795
રી	124	1189	9.588709677419354
મને</w>	22	1189	54.04545454545455
શ્	92	360	3.9130434782608696
શા	227	1183	5.211453744493392
બધ	30	1162	38.733333333333334
દિ	141	1155	8.191489361702128
તેઓ</w>	4	1156	289.0
જ્ય	33	341	10.333333333333334
માં	177	459	2.593220338983051
નહિ</w>	1	1128	1128.0
ીએ</w>	102	1126	11.03921568627451
તેને</w>	3	1108	369.3333333333333
હા	172	1106	6.430232558139535
ક્ત	54	220	4.074074074074074
યા	282	1085	3.847517730496454
નિ	244	1084	4.442622950819672
યા</w>	108	1079	9.99074074074074
હો	102	1078	10.568627450980392
સમ	141	1062	7.531914893617022
ેલ	321	1055	3.2866043613707165
તમને</w>	2	1043	521.5
વ્ય	58	166	2.8620689655172415
તેના</w>	2	1037	518.5
જી	66	268	4.0606060606060606
થે</w>	7	36	5.142857142857143
તેથી</w>	3	1012	337.3333333333333
વી</w>	130	1007	7.746153846153846
ઈસુ</w>	2	995	497.5
સાથે</w>	1	984	984.0
ઈસુએ</w>	2	979	489.5
યો</w>	74	968	13.08108108108108
મે</w>	20	293	14.65
વું</w>	109	928	8.513761467889909
પરંત	1	2	2.0
પરંતુ</w>	2	926	463.0
હતા</w>	2	915	457.5
ભા	150	913	6.086666666666667
જો</w>	37	907	24.513513513513512
બી	64	903	14.109375
પર</w>	7	900	128.57142857142858
છો</w>	7	890	127.14285714285714
્રિ	33	52	1.5757575757575757
કરી</w>	9	882	98.0
વ્યક્ત	13	281	21.615384615384617
મે	78	866	11.102564102564102
તી</w>	108	854	7.907407407407407
પિ	62	846	13.64516129032258
દેવ</w>	2	844	422.0
પાસે</w>	1	840	840.0
તાર	48	831	17.3125
ખ્રિ	22	830	37.72727272727273
ીને</w>	156	828	5.3076923076923075
હૂ	9	15	1.6666666666666667
વિશ્	5	20	4.0
દા	188	820	4.361702127659575
માણસ	26	824	31.692307692307693
શિ	61	232	3.80327868852459
જા</w>	22	813	36.95454545454545
યહૂ	72	810	11.25
વિશ્વા	45	805	17.88888888888889
જ્યારે</w>	2	803	401.5
્યા	136	800	5.882352941176471
દી	115	788	6.852173913043479
પો	40	197	4.925
પૂ	123	780	6.341463414634147
દ્	118	784	6.6440677966101696
કરે</w>	4	770	192.5
કે	80	769	9.6125
મારી</w>	5	767	153.4
જીવ	69	765	11.08695652173913
ચા	149	758	5.087248322147651
યો	88	753	8.556818181818182
આપણ	18	752	41.77777777777778
ત્યારે</w>	3	749	249.66666666666666
લોકોને</w>	1	744	744.0
તેની</w>	2	742	371.0
જોઈ	11	70	6.363636363636363
કરો</w>	11	736	66.9090909090909
સુ	103	733	7.116504854368932
બો	110	731	6.6454545454545455
તેણે</w>	2	730	365.0
તર	91	704	7.736263736263736
પ્રભ	22	697	31.681818181818183
મારા</w>	6	687	114.5
રહ	23	686	29.82608695652174
માંથી</w>	250	673	2.692
મૂ	134	672	5.014925373134329
્ય</w>	48	667	13.895833333333334
લોકો	15	667	44.46666666666667
જોઈએ</w>	1	667	667.0
કોઈ</w>	3	657	219.0
શું</w>	41	655	15.975609756097562
ખા	192	654	3.40625
અમે</w>	3	654	218.0
થા	107	648	6.05607476635514
ત્યાં</w>	2	646	323.0
વે</w>	66	631	9.56060606060606
મા</w>	79	631	7.987341772151899
રો	137	627	4.576642335766423
વો</w>	93	627	6.741935483870968
ચ્	67	626	9.343283582089553
ઘણ	26	624	24.0
વિષ	28	617	22.035714285714285
ંભ	83	610	7.349397590361446
શક	37	609	16.45945945945946
તેઓએ</w>	3	606	202.0
વામાં</w>	101	603	5.97029702970297
તેઓને</w>	3	597	199.0
ક્ષ	146	590	4.041095890410959
સ્ત્ર	100	590	5.9
વ્યક્તિ</w>	1	590	590.0
પોતા	14	589	42.07142857142857
શિષ	20	586	29.3
ત્ર</w>	27	585	21.666666666666668
