subword	prod	cum_freq	idiosyncrasy_index
के</w>	165	35204	213.35757575757575
और</w>	3	37467	12489.0
ने</w>	528	26872	50.89393939393939
मे	153	3991	26.084967320261438
से</w>	51	22230	435.88235294117646
ों</w>	1126	15020	13.339253996447603
िय	341	2319	6.80058651026393
्र	324	2769	8.546296296296296
को</w>	38	17341	456.3421052631579
में</w>	11	16265	1478.6363636363637
है</w>	1	16004	16004.0
की</w>	70	15843	226.32857142857142
न्	542	8441	15.57380073800738
ार	522	5860	11.226053639846743
का</w>	109	12875	118.11926605504587
कि</w>	13	9205	708.0769230769231
ता</w>	586	12524	21.372013651877133
ैं</w>	2	2	1.0
कर	237	12232	51.61181434599156
हो	144	4946	34.34722222222222
कर</w>	474	11290	23.81856540084388
्य	400	4505	11.2625
जा	294	8200	27.891156462585034
अप	60	1445	24.083333333333332
ड़	749	5911	7.891855807743658
उस	24	5172	215.5
तु	106	3238	30.547169811320753
उस</w>	4	9191	2297.75
्व	191	4141	21.680628272251308
गा</w>	167	4010	24.01197604790419
दे	146	4233	28.993150684931507
पर	154	1604	10.415584415584416
वा</w>	109	1636	15.009174311926605
पर</w>	14	8323	594.5
रा	454	5354	11.79295154185022
वह</w>	1	7723	7723.0
हु	141	3606	25.574468085106382
जो</w>	5	7646	1529.2
कह	71	3661	51.563380281690144
ना</w>	439	7635	17.391799544419133
लिय	124	2042	16.467741935483872
रे</w>	93	2080	22.365591397849464
प्र	213	7302	34.28169014084507
वा	664	4895	7.371987951807229
यहो	29	502	17.310344827586206
मैं</w>	1	7204	7204.0
हा	321	7177	22.358255451713397
र्	453	6959	15.362030905077262
त्र	183	2707	14.792349726775956
ना	394	6903	17.52030456852792
पा	278	4253	15.298561151079136
या</w>	206	4135	20.07281553398058
यहोवा</w>	2	6722	3361.0
क्य	22	539	24.5
स्	314	6508	20.726114649681527
अपने</w>	1	6464	6464.0
बा	358	6417	17.924581005586592
ते</w>	393	6344	16.142493638676847
सा	274	6281	22.923357664233578
ते	119	3696	31.058823529411764
म्	219	2151	9.821917808219178
का	383	5958	15.556135770234986
वि	211	5872	27.829383886255926
ले</w>	402	5862	14.582089552238806
िया</w>	62	343	5.532258064516129
रह	87	5631	64.72413793103448
लिये</w>	10	5578	557.8
मा	416	5521	13.271634615384615
तब</w>	4	5386	1346.5
भी</w>	15	5301	353.4
ीं</w>	104	995	9.567307692307692
हैं</w>	1	5099	5099.0
हो</w>	10	4946	494.6
तो</w>	8	4938	617.25
ही</w>	52	4919	94.59615384615384
श्व	40	729	18.225
मु	212	4863	22.93867924528302
पु	144	2498	17.34722222222222
ियों</w>	505	4678	9.263366336633663
था</w>	23	4575	198.91304347826087
नी</w>	222	2325	10.472972972972974
उसके</w>	1	4550	4550.0
नि	252	4500	17.857142857142858
ें</w>	370	4464	12.064864864864864
गे</w>	111	1813	16.333333333333332
इस	31	2330	75.16129032258064
वे</w>	41	4441	108.3170731707317
जि	75	2599	34.653333333333336
त्	307	4384	14.280130293159608
लो	144	4405	30.59027777777778
तू</w>	5	4263	852.6
या	299	4251	14.217391304347826
त्रा</w>	63	2040	32.38095238095238
हीं</w>	11	389	35.36363636363637
जा</w>	38	1757	46.23684210526316
श्वर</w>	5	301	60.2
एक</w>	4	4179	1044.75
दा	248	4116	16.596774193548388
सब</w>	2	4043	2021.5
न्त	45	1053	23.4
कहा</w>	2	3985	1992.5
री</w>	129	3980	30.852713178294575
ला	486	3940	8.106995884773662
यह</w>	6	3925	654.1666666666666
परमे	11	15	1.3636363636363635
दि	121	1840	15.206611570247935
परमेश्वर</w>	2	3879	1939.5
म्ह	19	1330	70.0
उन	20	3845	192.25
नहीं</w>	2	3841	1920.5
ले	247	3809	15.421052631578947
रा</w>	124	3819	30.798387096774192
ों	80	208	2.6
तुम</w>	3	3742	1247.3333333333333
चा	202	3724	18.435643564356436
सु	219	3711	16.945205479452056
हू	74	1819	24.58108108108108
सा</w>	58	3688	63.58620689655172
ला</w>	343	3622	10.559766763848396
क्यों	2	100	50.0
उन</w>	1	3532	3532.0
क्योंकि</w>	2	3477	1738.5
फि	71	791	11.140845070422536
ारे</w>	54	3304	61.18518518518518
नु	63	3176	50.41269841269841
कि	126	3168	25.142857142857142
्य</w>	67	3165	47.23880597014925
रू	174	3140	18.04597701149425
कु	206	3086	14.980582524271844
ाए	110	967	8.790909090909091
हे</w>	32	3069	95.90625
ति</w>	75	3031	40.413333333333334
न्तु</w>	8	84	10.5
ढ़	294	2935	9.982993197278912
ंगा</w>	236	2932	12.423728813559322
ने	136	618	4.544117647058823
ती</w>	280	2931	10.467857142857143
ान</w>	119	2927	24.596638655462186
परन्तु</w>	2	2883	1441.5
दू	71	2851	40.15492957746479
न्ह	22	446	20.272727272727273
मेरे</w>	2	2826	1413.0
क्	245	2814	11.485714285714286
किया</w>	10	2801	280.1
जब</w>	1	2799	2799.0
मि	218	2738	12.559633027522937
गया</w>	3	2730	910.0
दिया</w>	7	2710	387.14285714285717
को	123	799	6.495934959349594
झे</w>	15	2649	176.6
भा	142	2647	18.640845070422536
ंगे</w>	228	2641	11.583333333333334
द्	106	2635	24.858490566037737
पास</w>	9	2631	292.3333333333333
हि	175	2627	15.01142857142857
थे</w>	5	2610	522.0
क्या</w>	3	2605	868.3333333333334
फिर</w>	2	2594	1297.0
तेरे</w>	4	2559	639.75
तुम्ह	9	2546	282.8888888888889
तक</w>	11	2541	231.0
