subword	prod	cum_freq	idiosyncrasy_index
og</w>	51	42503	833.3921568627451
in	2597	14637	5.636118598382749
an	2343	12157	5.188647033717456
ir</w>	1630	12829	7.870552147239263
að</w>	419	22980	54.84486873508353
um</w>	2776	19301	6.952809798270893
ur</w>	1082	10117	9.350277264325323
ar</w>	1740	12420	7.137931034482759
ei	1129	7460	6.607617360496014
ið</w>	1164	13581	11.667525773195877
han	100	1725	17.25
er	1162	10381	8.933734939759036
se	866	7404	8.549653579676674
ar	3368	14386	4.271377672209026
al	1265	9498	7.508300395256917
tt	1087	8556	7.871205151793928
er</w>	94	15581	165.75531914893617
un	1577	7139	4.526949904882689
inn</w>	1087	11555	10.63017479300828
þe	104	3856	37.07692307692308
st	2596	13648	5.257318952234207
sk	2037	11457	5.624447717231222
ði</w>	467	7976	17.079229122055676
hann</w>	22	12933	587.8636363636364
en	738	4447	6.0257452574525745
ti	464	1487	3.2047413793103448
ér</w>	3	3532	1177.3333333333333
dr	491	2981	6.071283095723015
sem</w>	8	10327	1290.875
til</w>	23	10137	440.7391304347826
on	531	2782	5.239171374764595
or	1047	7296	6.9684813753581665
yr	526	3021	5.743346007604563
sa	596	3388	5.684563758389261
ef	399	2693	6.74937343358396
el	1003	6513	6.493519441674975
þá</w>	16	8802	550.125
kk	454	2461	5.420704845814978
eg	506	5490	10.849802371541502
ég</w>	6	8255	1375.8333333333333
ra	697	3132	4.493543758967001
ður</w>	433	5670	13.094688221709006
st</w>	1012	5736	5.66798418972332
ver	370	5956	16.0972972972973
na</w>	762	8027	10.534120734908136
gj	596	4030	6.761744966442953
ott	65	222	3.4153846153846152
af	559	3713	6.64221824686941
drott	74	3809	51.472972972972975
ör	485	3420	7.051546391752577
jó	795	4921	6.189937106918239
ni</w>	712	7046	9.896067415730338
en</w>	50	6981	139.62
all	348	6973	20.03735632183908
ur	1489	6674	4.482202820685023
ví</w>	9	371	41.22222222222222
þei	5	9	1.8
þeir</w>	14	6466	461.85714285714283
þú</w>	4	6351	1587.75
me	253	1805	7.134387351778656
fyr	140	1212	8.657142857142857
ins</w>	302	4118	13.635761589403973
því</w>	28	6143	219.39285714285714
ín	277	3837	13.851985559566787
ekk	94	865	9.202127659574469
an</w>	530	6116	11.539622641509434
gu	390	3605	9.243589743589743
af</w>	33	6034	182.84848484848484
við</w>	24	6006	250.25
sv	484	2612	5.396694214876033
þér</w>	2	5712	2856.0
