subword	prod	cum_freq	idiosyncrasy_index
er	2861	18598	6.500524292205522
an	1625	14926	9.185230769230769
or	1665	10893	6.542342342342343
to</w>	867	17726	20.445213379469436
co	1046	10517	10.054493307839389
ar	2110	11426	5.415165876777251
ch	476	2462	5.1722689075630255
ll	539	3411	6.328385899814471
en	2268	16177	7.132716049382716
di</w>	177	24365	137.65536723163842
es	1983	17828	8.990418557740798
de	695	5576	8.023021582733813
di	1763	12624	7.160521837776518
on	1150	8750	7.608695652173913
ti</w>	1196	12892	10.779264214046822
il</w>	16	19187	1199.1875
gl	519	3337	6.429672447013488
in	2452	12447	5.07626427406199
tr	1195	9351	7.825104602510461
te</w>	1063	12376	11.642521166509878
qu	460	11516	25.034782608695654
la</w>	419	15473	36.92840095465394
ri	2096	12209	5.824904580152672
no	240	4663	19.429166666666667
si	730	5926	8.117808219178082
che</w>	74	13365	180.6081081081081
gi	900	7436	8.262222222222222
tu	525	5307	10.108571428571429
le</w>	419	12551	29.954653937947494
su	495	7960	16.08080808080808
gn	407	4830	11.867321867321868
av	1291	9668	7.488768396591789
io</w>	359	7635	21.26740947075209
po	472	7579	16.05720338983051
gli</w>	138	7312	52.98550724637681
ci	1233	10947	8.878345498783455
pe	346	2441	7.054913294797688
al	997	8107	8.131394182547643
pr	872	7163	8.214449541284404
lla</w>	59	3664	62.101694915254235
ore</w>	233	2834	12.163090128755364
at	1772	8010	4.520316027088036
am	1503	10015	6.6633399866932805
si</w>	627	9683	15.443381180223286
se</w>	427	7348	17.208430913348945
non</w>	10	9044	904.4
un	626	6039	9.646964856230031
as	1531	8706	5.68647942521228
per</w>	8	8491	1061.375
lo</w>	591	8359	14.143824027072759
fi	596	3424	5.74496644295302
in</w>	29	8147	280.9310344827586
ac	1219	6105	5.008203445447088
ta</w>	691	8045	11.642547033285094
ato</w>	892	7756	8.695067264573991
per	571	3931	6.884413309982487
sign	65	197	3.0307692307692307
me</w>	85	4063	47.8
ono</w>	342	2647	7.739766081871345
signore</w>	1	7480	7480.0
no</w>	138	3099	22.456521739130434
ia</w>	434	7299	16.817972350230416
re</w>	279	7353	26.35483870967742
se	798	7166	8.979949874686717
con	1027	7171	6.982473222979552
ne	267	4532	16.973782771535582
pi	831	7115	8.561973525872443
ano</w>	1167	6982	5.982862039417309
del</w>	2	6947	3473.5
st	818	6607	8.077017114914426
vo	387	4477	11.568475452196383
and	491	3853	7.84725050916497
ai</w>	622	6511	10.467845659163988
da</w>	169	6363	37.650887573964496
al</w>	48	6110	127.29166666666667
oro</w>	24	915	38.125
vi	545	5906	10.836697247706422
all	577	5659	9.807625649913344
are</w>	732	5545	7.575136612021858
tut	18	3113	172.94444444444446
ti	1025	5303	5.173658536585366
un</w>	16	5289	330.5625
con</w>	6	5269	878.1666666666666
str	452	5263	11.643805309734514
loro</w>	3	5170	1723.3333333333333
do	449	5091	11.338530066815144
ra	459	2497	5.440087145969499
ter	671	4963	7.396423248882265
ché</w>	17	1190	70.0
ab	623	4867	7.812199036918138
par	466	4786	10.270386266094421
em	648	4769	7.359567901234568
pa	254	4760	18.74015748031496
l'	698	4684	6.710601719197708
uo	175	4667	26.66857142857143
is	441	1971	4.469387755102041
ev	467	2463	5.274089935760172
so</w>	262	4449	16.980916030534353
re	608	4435	7.2944078947368425
dio</w>	29	4424	152.55172413793105
ma</w>	121	4386	36.247933884297524
anno</w>	558	4374	7.838709677419355
za</w>	298	4296	14.416107382550335
dis	336	1996	5.940476190476191
one</w>	471	4250	9.023354564755838
zi	677	4145	6.1225997045790255
ra</w>	207	4123	19.917874396135264
li</w>	405	4119	10.170370370370371
ser	499	4070	8.156312625250502
ca	429	3977	9.27039627039627
ell	233	3947	16.93991416309013
ques	48	3851	80.22916666666667
tà</w>	221	3843	17.38914027149321
so	600	3814	6.3566666666666665
do</w>	317	3798	11.981072555205047
li	603	3770	6.252072968490879
perché</w>	6	3753	625.5
ec	316	3735	11.819620253164556
mo	285	3629	12.733333333333333
ora</w>	52	3573	68.71153846153847
mi	433	3532	8.15704387990762
tto</w>	168	3523	20.970238095238095
come</w>	4	3506	876.5
mi</w>	281	3505	12.473309608540925
ver	409	3468	8.47921760391198
dei</w>	3	3446	1148.6666666666667
ne</w>	150	3451	23.006666666666668
della</w>	4	3432	858.0
pro	533	3385	6.350844277673546
ven	331	3330	10.060422960725075
gu	448	3295	7.354910714285714
co</w>	175	3287	18.782857142857143
giu	145	3243	22.36551724137931
de</w>	155	3235	20.870967741935484
alla</w>	10	3222	322.2
vi</w>	259	3113	12.019305019305019
sc	520	3100	5.961538461538462
chi</w>	101	3081	30.504950495049506
sa</w>	202	2985	14.777227722772277
tro</w>	64	2979	46.546875
una</w>	18	2897	160.94444444444446
sar	97	2888	29.77319587628866
min	283	2876	10.162544169611307
sono</w>	4	2851	712.75
figl	13	543	41.76923076923077
ha</w>	5	2841	568.2
le	325	2811	8.649230769230769
oi</w>	11	2796	254.1818181818182
cu	342	2786	8.146198830409357
mo</w>	210	2782	13.247619047619047
lu	136	725	5.330882352941177
chi	440	2746	6.240909090909091
ando</w>	269	2701	10.04089219330855
sal	197	2677	13.588832487309645
der	558	2675	4.793906810035843
ci</w>	317	2661	8.394321766561514
dell	229	2628	11.475982532751091
nel</w>	1	2623	2623.0
du	388	2601	6.703608247422681
me	305	2595	8.508196721311476
rae	0	0	0
israe	14	2584	184.57142857142858
man	221	2551	11.542986425339366
dav	53	2531	47.75471698113208
ati</w>	464	2505	5.398706896551724
po</w>	41	2460	60.0
suo</w>	2	2439	1219.5
