subword	prod	cum_freq	idiosyncrasy_index
ie	1127	3405	3.0212954747116236
un</w>	2	8631	4315.5
vi	192	932	4.854166666666667
as</w>	591	2573	4.353637901861252
viņ	14	712	50.857142857142854
sa	691	2372	3.4327062228654124
ja</w>	510	3634	7.125490196078432
pa	946	3579	3.7832980972515857
st	913	3249	3.5585980284775465
ne	1577	4256	2.6987951807228914
nā	420	2043	4.864285714285714
be	151	751	4.973509933774834
au	699	2399	3.432045779685265
ar	330	1229	3.724242424242424
dz	587	2000	3.4071550255536627
ai	678	2036	3.0029498525073746
iem</w>	405	2439	6.022222222222222
at	940	3074	3.2702127659574467
ai</w>	274	859	3.1350364963503647
ti	372	1996	5.365591397849462
bet</w>	1	2807	2807.0
us</w>	353	2065	5.84985835694051
am</w>	392	1990	5.076530612244898
cī	194	582	3.0
kas</w>	32	2727	85.21875
an	113	525	4.646017699115045
ms</w>	112	868	7.75
es</w>	106	2502	23.60377358490566
vē	381	1266	3.322834645669291
is</w>	228	1682	7.37719298245614
tu</w>	451	2277	5.048780487804878
die	96	670	6.979166666666667
jū	46	791	17.195652173913043
īb	270	1053	3.9
ka</w>	98	2046	20.877551020408163
viņš</w>	1	2025	2025.0
no	809	1904	2.353522867737948
pr	475	1901	4.002105263157895
il	113	554	4.902654867256637
ku	220	1120	5.090909090909091
no</w>	12	1845	153.75
ad</w>	3	164	54.666666666666664
ās</w>	313	1261	4.0287539936102235
al	430	1769	4.113953488372093
ju	340	697	2.05
ār	199	495	2.487437185929648
da	75	391	5.213333333333333
ir</w>	4	1642	410.5
sacī	31	511	16.483870967741936
iz	678	1583	2.3348082595870205
diev	50	828	16.56
inā	433	1002	2.3140877598152425
vie	127	661	5.2047244094488185
dē	156	1492	9.564102564102564
to</w>	55	1487	27.036363636363635
tā	270	1416	5.2444444444444445
lai</w>	3	1395	465.0
jūs</w>	1	1393	1393.0
jo</w>	14	1382	98.71428571428571
ir	293	1378	4.703071672354949
sav	37	1347	36.4054054054054
os</w>	377	1326	3.5172413793103448
vis	59	1325	22.45762711864407
īg	561	1321	2.354723707664884
tas</w>	73	1304	17.863013698630137
kā</w>	40	1301	32.525
ies</w>	626	1299	2.0750798722044728
pē	169	641	3.7928994082840237
bi	77	273	3.5454545454545454
man	89	780	8.764044943820224
ri	115	422	3.6695652173913045
te	168	1212	7.214285714285714
mā	238	1195	5.0210084033613445
de	264	1190	4.507575757575758
pie	477	1177	2.4675052410901466
ts</w>	246	1135	4.6138211382113825
iet</w>	349	1127	3.2292263610315186
ar</w>	9	1123	124.77777777777777
viņu</w>	1	1122	1122.0
ap	544	1119	2.056985294117647
jē	30	142	4.733333333333333
sacīja</w>	2	1112	556.0
tā</w>	60	1090	18.166666666666668
iek	259	1029	3.972972972972973
mē	115	448	3.8956521739130436
tad</w>	2	1061	530.5
ie</w>	70	277	3.9571428571428573
lie	249	1017	4.0843373493975905
rā	216	1014	4.694444444444445
gā	228	1005	4.407894736842105
jums</w>	23	1004	43.65217391304348
bija</w>	2	1002	501.0
in	257	999	3.88715953307393
ies	82	454	5.536585365853658
kā	133	979	7.360902255639098
jēz	4	253	63.25
ra	231	956	4.138528138528138
ko</w>	36	947	26.305555555555557
ce	212	947	4.466981132075472
par</w>	1	941	941.0
re	183	935	5.109289617486339
tie</w>	25	916	36.64
dar	158	899	5.689873417721519
vien	65	883	13.584615384615384
uz	341	882	2.5865102639296187
kl	332	880	2.6506024096385543
viņa</w>	1	879	879.0
dī	344	865	2.51453488372093
la	102	334	3.2745098039215685
na	92	833	9.054347826086957
se	147	831	5.653061224489796
ju</w>	228	815	3.574561403508772
li	219	807	3.684931506849315
jā	283	805	2.8445229681978796
tu	246	798	3.2439024390243905
kri	32	103	3.21875
em	170	794	4.670588235294118
ši</w>	253	790	3.122529644268775
do	231	780	3.3766233766233764
bū	38	778	20.473684210526315
viņam</w>	1	776	776.0
sm	148	764	5.162162162162162
pie</w>	1	763	763.0
šan	349	760	2.177650429799427
su</w>	29	760	26.20689655172414
ng	5	7	1.4
arī</w>	2	743	371.5
kung	10	741	74.1
