subword	prod	cum_freq	idiosyncrasy_index
ie	1834	10901	5.943838604143948
pa	3776	20588	5.452330508474576
ta	1128	7109	6.302304964539007
ka	1444	5433	3.762465373961219
ir</w>	26	25403	977.0384615384615
in	4699	16974	3.612257927218557
us</w>	1927	19600	10.171250648676699
si	4585	14770	3.2213740458015265
ra	1564	7723	4.937979539641944
is</w>	2037	13157	6.459008345606284
ma	1647	10195	6.190042501517912
sa	900	6598	7.331111111111111
ne	5067	14505	2.8626406157489637
li	1937	10899	5.626742385131647
vo</w>	461	3550	7.700650759219089
da	2502	12348	4.9352517985611515
ri	1608	7320	4.552238805970149
va	1198	7252	6.053422370617696
os</w>	1488	11395	7.657930107526882
au	2288	9084	3.9702797202797204
vie	339	4020	11.858407079646017
im	1841	8858	4.811515480717001
jo</w>	543	7427	13.677716390423573
na	1109	7755	6.992786293958521
ku	544	4228	7.772058823529412
ki	1362	7010	5.146842878120411
ga	1304	7357	5.641871165644171
nu	2091	7333	3.506934481109517
vi	908	5980	6.58590308370044
iš	2796	9186	3.2854077253218885
st	2053	9174	4.468582562104237
at	1821	8646	4.7479406919275124
či	1918	8448	4.40458811261731
su	2436	8224	3.3760262725779966
ve	1267	5303	4.185477505919495
ik	1090	6263	5.745871559633027
pat	303	1375	4.537953795379538
ja	1549	7666	4.948999354422208
ti</w>	1353	7492	5.537324464153732
vieš	54	895	16.574074074074073
mo	656	4469	6.8125
la	1543	7196	4.663642255346727
die	191	6879	36.01570680628272
uo	1201	4867	4.052456286427977
viešpat	33	1147	34.75757575757576
ei	1033	4687	4.537270087124879
ms</w>	513	4160	8.10916179337232
be	1194	3910	3.274706867671692
no</w>	258	3064	11.875968992248062
te</w>	934	3071	3.2880085653104927
ės</w>	794	5948	7.491183879093199
ie</w>	20	1906	95.3
me	964	5815	6.032157676348548
bu	329	1974	6.0
jis</w>	25	5762	230.48
vy	586	5688	9.706484641638225
dė	788	3539	4.491116751269035
savo</w>	16	5579	348.6875
ju	429	3618	8.433566433566433
je</w>	554	5378	9.707581227436823
ži	388	1919	4.945876288659794
tų</w>	931	5253	5.642320085929108
ip</w>	4	16	4.0
ir	892	5155	5.7791479820627805
sak	249	3123	12.542168674698795
iš</w>	36	5099	141.63888888888889
tu	730	3040	4.164383561643835
de	881	5049	5.730987514188422
si</w>	1193	5030	4.216261525565801
ba	911	4948	5.431394072447859
te	1094	4649	4.249542961608775
to	816	4641	5.6875
ke	993	4497	4.528700906344411
tai</w>	206	4484	21.766990291262136
jų</w>	287	4367	15.21602787456446
tar	334	4296	12.862275449101796
do	618	4241	6.8624595469255665
aš</w>	14	4189	299.2142857142857
kad</w>	6	4155	692.5
gy	593	4148	6.9949409780775715
mas</w>	1071	4029	3.761904761904762
ni	672	3977	5.918154761904762
ęs</w>	745	3937	5.284563758389262
ai</w>	639	3932	6.153364632237872
jie</w>	16	3930	245.625
au</w>	710	3895	5.485915492957746
tas</w>	664	3866	5.822289156626506
buvo</w>	11	3806	346.0
ro	801	3784	4.724094881398252
auk	500	3761	7.522
ap	1143	3725	3.2589676290463694
su</w>	28	3718	132.78571428571428
kas</w>	146	3687	25.253424657534246
kal	505	3674	7.2752475247524755
ty	733	3654	4.984993178717599
je	354	3589	10.138418079096045
ra</w>	80	1048	13.1
kara	37	486	13.135135135135135
ėjo</w>	244	3541	14.512295081967213
iz	100	987	9.87
kuri	31	3491	112.61290322580645
ge	689	3488	5.062409288824383
pra	796	3489	4.383165829145729
kl	684	3477	5.083333333333333
an	617	3485	5.648298217179903
pri	727	3477	4.782668500687758
ui</w>	460	3437	7.471739130434782
jo	607	3412	5.621087314662273
dži	762	3386	4.443569553805775
tą</w>	342	3385	9.897660818713451
tin	1037	3349	3.2295081967213113
sū	131	1197	9.13740458015267
viešpats</w>	11	3313	301.1818181818182
vis	66	3290	49.84848484848485
ies</w>	104	1176	11.307692307692308
pr	176	742	4.215909090909091
mano</w>	37	3238	87.51351351351352
to</w>	304	3214	10.572368421052632
dar	302	3188	10.556291390728477
pasi	887	3161	3.56369785794814
sta	556	3146	5.658273381294964
kaip</w>	37	3121	84.35135135135135
pe	597	3070	5.142378559463987
jū	63	3070	48.73015873015873
karali	58	3059	52.741379310344826
nas</w>	259	3047	11.764478764478765
kite</w>	808	3034	3.754950495049505
il	690	2982	4.321739130434783
tavo</w>	31	2976	96.0
siu</w>	729	2930	4.01920438957476
kur	82	2914	35.53658536585366
ne</w>	96	2867	29.864583333333332
ko	498	2862	5.746987951807229
tu</w>	103	2850	27.66990291262136
ven	330	2844	8.618181818181819
jį</w>	96	2796	29.125
žmo	99	2788	28.161616161616163
ną</w>	208	2714	13.048076923076923
ši	354	2712	7.661016949152542
dy	685	2665	3.8905109489051095
nes</w>	25	2638	105.52
var	455	2610	5.736263736263736
eli	191	599	3.136125654450262
sų</w>	35	2591	74.02857142857142
re	776	2562	3.301546391752577
yra</w>	11	2557	232.45454545454547
izra	16	545	34.0625
do</w>	258	2535	9.825581395348838
prie	235	2527	10.753191489361702
al	343	2527	7.36734693877551
me</w>	830	2503	3.0156626506024096
ta</w>	429	2464	5.743589743589744
že	281	2439	8.679715302491104
bū	158	2437	15.424050632911392
gi	479	2435	5.083507306889353
kai</w>	159	2434	15.30817610062893
vas</w>	54	2425	44.907407407407405
bet</w>	5	2392	478.4
gal	312	2366	7.583333333333333
se</w>	364	2370	6.510989010989011
kar	266	2322	8.729323308270677
ėj	459	2276	4.958605664488018
už	877	2247	2.5621436716077537
iems</w>	203	2229	10.980295566502463
ko</w>	216	2223	10.291666666666666
bus</w>	34	2213	65.08823529411765
žin	369	2179	5.905149051490515
šim	198	2146	10.83838383838384
sūn	32	2142	66.9375
tau	124	2135	17.217741935483872
viešpaties</w>	7	2099	299.85714285714283
se	492	2012	4.0894308943089435
taip</w>	11	2079	189.0
dėl</w>	17	2072	121.88235294117646
nuo</w>	13	2063	158.69230769230768
ly	434	2061	4.748847926267281
tur	195	2045	10.487179487179487
sakė</w>	18	2025	112.5
lo	502	2004	3.99203187250996
izraeli	38	2007	52.81578947368421
tė	211	1964	9.308056872037914
le	488	1932	3.959016393442623
no	359	1936	5.392757660167131
tav	33	1909	57.84848484848485
ką</w>	99	1869	18.87878787878788
ry	325	1861	5.726153846153847
pas	431	1855	4.303944315545244
da</w>	143	1828	12.783216783216783
rau	505	1822	3.607920792079208
min	482	1810	3.7551867219917012
tik	354	1807	5.104519774011299
bė	395	1792	4.536708860759494
tei	253	1786	7.059288537549407
ji</w>	276	1777	6.438405797101449
juos</w>	11	1772	161.0909090909091
raš	162	1770	10.925925925925926
duo	257	1762	6.856031128404669
val	298	1735	5.822147651006712
ch	574	1709	2.9773519163763065
mo</w>	297	1705	5.7407407407407405
