subword	prod	cum_freq	idiosyncrasy_index
्य	1589	6287	3.9565764631843927
्या	2999	12646	4.216738912970991
्या</w>	1149	12353	10.751087902523933
ला</w>	2273	26491	11.654641443026836
रा	3385	17450	5.155096011816839
त्या	479	7952	16.60125260960334
्ह	248	1966	7.92741935483871
ां	3372	14518	4.3054567022538555
ले</w>	974	18968	19.474332648870636
मा	1816	9227	5.080947136563877
च्या</w>	2718	17793	6.546357615894039
म्ह	42	314	7.476190476190476
वा	2956	15094	5.106224627875507
तु	277	2897	10.458483754512635
र्	1814	9511	5.243109151047409
का	1869	13404	7.171749598715891
ने</w>	1600	12448	7.78
ून</w>	2167	12387	5.71619750807568
ना	1810	8981	4.961878453038674
्र	652	2512	3.852760736196319
आह	52	1978	38.03846153846154
आण	112	1855	16.5625
दे	812	10254	12.62807881773399
कर	631	13865	21.973058637083994
पा	2240	13209	5.896875
ते</w>	271	10479	38.66789667896679
ही</w>	1264	7391	5.847310126582278
हो	471	7353	15.611464968152866
पर	697	4420	6.341463414634147
चा</w>	2599	12514	4.814928818776452
ना</w>	941	6686	7.105207226354942
स्	1556	9148	5.879177377892031
आणि</w>	6	12275	2045.8333333333333
तो</w>	317	12167	38.381703470031546
सा	2079	7369	3.5444925444925444
णा	1498	5050	3.371161548731642
चे</w>	2082	10687	5.133045148895293
त्यां	223	4880	21.883408071748878
ेश	297	2460	8.282828282828282
ील</w>	668	4508	6.748502994011976
लो	367	1008	2.7465940054495914
वि	2262	9898	4.37577365163572
मी</w>	83	9677	116.59036144578313
आहे</w>	2	9659	4829.5
वर</w>	1112	6748	6.068345323741007
ली</w>	737	9328	12.656716417910447
ची</w>	1775	9229	5.19943661971831
प्र	817	6791	8.312117503059975
अस	172	6009	34.93604651162791
ले	1275	6210	4.870588235294117
के	269	5890	21.895910780669144
त्	1011	5339	5.280909990108803
या	1399	8199	5.860614724803431
परम	15	49	3.2666666666666666
परमेश	11	40	3.6363636363636362
ता	1187	4966	4.183656276326874
परमेश्	16	18	1.125
ेव	325	3558	10.947692307692307
जा	881	7628	8.658342792281498
क्	500	3361	6.722
ष्	275	2863	10.41090909090909
ल्या</w>	352	2769	7.8664772727272725
ला	1516	7380	4.8680738786279685
ता</w>	526	4591	8.728136882129277
कां	316	1058	3.348101265822785
मु	849	4220	4.9705535924617195
दि	429	6958	16.219114219114218
तुम्ह	65	2858	43.96923076923077
दा	1213	6131	5.054410552349546
नी</w>	628	4442	7.073248407643312
माझ	148	6679	45.12837837837838
ण्या	1493	6615	4.430676490288011
ती</w>	333	6376	19.147147147147148
बा	1207	6233	5.164043082021541
हा	1123	6241	5.557435440783616
नाही</w>	86	6105	70.98837209302326
लोकां	138	3774	27.347826086956523
तील</w>	716	6007	8.389664804469273
तर</w>	203	5984	29.47783251231527
म्हण	69	2940	42.608695652173914
आप	146	3029	20.746575342465754
परमेश्व	23	731	31.782608695652176
्हा</w>	18	1003	55.72222222222222
त्या</w>	69	5201	75.3768115942029
सर्	167	1398	8.37125748502994
माण	140	2718	19.414285714285715
च्या	776	4990	6.430412371134021
द्	1353	4933	3.645971914264597
ठी</w>	33	255	7.7272727272727275
कड	545	1822	3.3431192660550457
ांग	131	1628	12.427480916030534
ीत</w>	431	4687	10.874709976798144
हि	492	4658	9.467479674796747
साठी</w>	858	4657	5.427738927738928
को	541	4644	8.584103512014787
या</w>	380	5265	13.855263157894736
ष्ट	431	2306	5.3503480278422275
मो	683	4480	6.559297218155198
परमेश्वरा	86	4511	52.45348837209303
नि	808	4402	5.448019801980198
शा	834	4442	5.3261390887290165
पु	597	4333	7.257956448911223
रु	895	4318	4.824581005586592
तू</w>	26	4300	165.3846153846154
पण</w>	45	4224	93.86666666666666
ये	232	4214	18.163793103448278
ेव्हा</w>	3	775	258.3333333333333
तुझ	109	4190	38.440366972477065
क्ष	846	4175	4.9349881796690305
म्हणा	26	1137	43.73076923076923
हे</w>	7	4166	595.1428571428571
ति	496	4078	8.221774193548388
तुम्ही</w>	7	4076	582.2857142857143
गा	1020	4041	3.961764705882353
रो	751	3884	5.171770972037284
तुम	123	3849	31.29268292682927
देवा	90	3837	42.63333333333333
मला</w>	55	3784	68.8
झा	167	3777	22.61676646706587
जे</w>	27	3762	139.33333333333334
मि	564	3730	6.613475177304965
शी</w>	531	3679	6.928436911487759
ेल</w>	279	3678	13.182795698924732
का</w>	123	3668	29.821138211382113
सर्व</w>	4	3619	904.75
्यां	1345	3597	2.674349442379182
ेत</w>	162	975	6.018518518518518
कार	310	3477	11.216129032258065
त्यांना</w>	13	3447	265.15384615384613
लोक</w>	21	3445	164.04761904761904
तेव्हा</w>	5	3435	687.0
त्याला</w>	17	3402	200.11764705882354
गो	203	1035	5.098522167487685
त्याने</w>	14	3304	236.0
शि	660	3283	4.974242424242425
सं	563	3249	5.770870337477797
खा	591	3230	5.465313028764806
वा</w>	261	3232	12.383141762452107
वे	526	3113	5.918250950570342
इस्	22	59	2.6818181818181817
सांग	132	3095	23.446969696969695
तात</w>	302	3088	10.225165562913908
राए	11	11	1.0
चा	665	3053	4.590977443609023
इस्राए	131	3048	23.267175572519083
कडे</w>	570	3047	5.34561403508772
होते</w>	1	3045	3045.0
म्हणाला</w>	2	3040	1520.0
ल्या	844	3031	3.5912322274881516
ती	850	3025	3.5588235294117645
वी	391	3019	7.721227621483376
की</w>	232	3010	12.974137931034482
असे</w>	3	2990	996.6666666666666
मग</w>	6	2962	493.6666666666667
राज	295	2954	10.013559322033899
वे</w>	235	2907	12.370212765957447
म्हणून</w>	3	2907	969.0
त्र</w>	96	2869	29.885416666666668
भा	639	2865	4.483568075117371
गे	176	2863	16.267045454545453
