subword	prod	cum_freq	idiosyncrasy_index
हर	1147	6113	5.329555361813426
ले</w>	2764	36703	13.278943560057888
को</w>	4089	33738	8.250917094644167
र्	3333	20424	6.127812781278128
ला	1367	5113	3.7403072421360646
्र	1569	10636	6.778840025493945
ति	1103	5424	4.917497733454216
हरू	2561	8910	3.479109722764545
्य	1470	8264	5.621768707482993
लाई</w>	2355	26976	11.454777070063694
मा	2265	12868	5.681236203090508
न्	2217	15378	6.936400541271989
हरू</w>	1473	12761	8.663272233536999
नि	1018	5536	5.43811394891945
का</w>	2726	18086	6.634629493763756
हा	1060	8069	7.612264150943396
मा</w>	2713	21950	8.090674530040545
ीहरू	803	3836	4.77708592777086
नि</w>	47	260	5.531914893617022
त्य	358	6476	18.089385474860336
पर	381	2934	7.700787401574803
प्र	850	9114	10.72235294117647
हु	556	8902	16.010791366906474
यो</w>	405	6391	15.780246913580246
तिम	52	6011	115.59615384615384
रा	1611	12838	7.968963376784606
ने</w>	923	9247	10.018418201516793
परम	27	65	2.4074074074074074
तिन	118	3366	28.52542372881356
मानि	43	1711	39.7906976744186
ने	1404	7297	5.197293447293447
्त	552	3641	6.596014492753623
पा	1202	9690	8.061564059900167
गर्	396	13743	34.70454545454545
अनि</w>	11	13346	1213.2727272727273
न्</w>	935	5908	6.318716577540107
मानिस	71	2926	41.2112676056338
्व	377	3708	9.83554376657825
का	1964	8841	4.50152749490835
दि	1362	12448	9.13950073421439
बा	1354	7193	5.3124076809453475
नु</w>	917	11593	12.642311886586695
ेश	382	2127	5.5680628272251305
थि	193	2053	10.637305699481866
नु	851	4717	5.54289071680376
ना	1352	6780	5.014792899408284
गर	452	6021	13.320796460176991
ेर	415	3808	9.175903614457832
प्रभ	42	545	12.976190476190476
तिनीहरू	53	4848	91.47169811320755
छन्</w>	717	5582	7.785216178521618
जा	966	8201	8.489648033126294
परमप्रभ	6	11	1.8333333333333333
वि	661	7794	11.791225416036308
ीहरू</w>	324	4823	14.885802469135802
क्	1175	7604	6.471489361702128
कु	538	7106	13.20817843866171
सम	285	3285	11.526315789473685
आफ	96	1321	13.760416666666666
सा	1057	6779	6.413434247871334
मानिसहरू	54	4220	78.14814814814815
परमेश	8	33	4.125
परमेश्व	16	1609	100.5625
्न	280	1035	3.6964285714285716
दा	971	6644	6.8424304840370755
स्त	420	4217	10.040476190476191
ाउ	1240	6494	5.237096774193549
छु</w>	721	6163	8.547850208044382
दे	279	2651	9.501792114695341
तिमीहरू	58	6023	103.84482758620689
भयो</w>	21	3231	153.85714285714286
त्	457	2343	5.12691466083151
न्छ</w>	269	1407	5.230483271375465
भने</w>	9	5754	639.3333333333334
हाम	119	5744	48.26890756302521
आफ्न	20	2338	116.9
या	1155	5633	4.877056277056277
भन्	260	5625	21.634615384615383
एको</w>	388	2884	7.43298969072165
हि	784	5409	6.899234693877551
थिए</w>	26	5256	202.15384615384616
परमप्रभु	50	2648	52.96
तर</w>	19	5205	273.94736842105266
ती</w>	89	5144	57.79775280898876
बाट</w>	1374	5120	3.7263464337700145
परमेश्वर	46	5119	111.28260869565217
सि	772	2577	3.338082901554404
रू	556	5083	9.142086330935252
वा	843	5065	6.008303677342823
सु	661	5017	7.590015128593041
मेर	43	1373	31.930232558139537
यस	113	4903	43.389380530973455
कि	737	4890	6.635006784260516
स्	727	4795	6.595598349381018
लि	853	4785	5.609613130128957
त्यो</w>	12	4710	392.5
पर्	279	2141	7.673835125448028
हो	547	4667	8.53199268738574
रा</w>	385	4656	12.093506493506494
पनि</w>	33	4652	140.96969696969697
ैले</w>	33	1474	44.666666666666664
्या	1031	4599	4.460717749757517
छो	318	4404	13.849056603773585
चा	691	4525	6.548480463096961
हाँ</w>	196	4503	22.974489795918366
नै</w>	171	4474	26.16374269005848
्रा	282	1395	4.946808510638298
शा	458	4456	9.729257641921397
नेछ</w>	390	2030	5.205128205128205
