subword	prod	cum_freq	idiosyncrasy_index
de	866	7552	8.72055427251732
og</w>	87	48972	562.8965517241379
er</w>	1174	26903	22.915672913117547
en</w>	1146	18967	16.550610820244327
ha	597	3302	5.530988274706868
en	1546	15129	9.785899094437257
de</w>	410	21758	53.06829268292683
er	1843	11237	6.097124253933804
fo	120	1631	13.591666666666667
ti	475	3952	8.32
om</w>	65	3945	60.69230769230769
sk	988	9042	9.151821862348179
et</w>	1061	15284	14.405278039585298
st	1585	16277	10.269400630914827
el	1436	12278	8.550139275766016
til</w>	37	16618	449.13513513513516
in	994	9384	9.440643863179075
an	935	8969	9.592513368983957
som</w>	37	15841	428.13513513513516
ig</w>	199	2407	12.095477386934673
det</w>	217	14590	67.23502304147465
te</w>	413	10560	25.56900726392252
ik	333	3390	10.18018018018018
al	551	4740	8.602540834845735
re	968	9164	9.46694214876033
re</w>	214	8410	39.299065420560744
for</w>	82	13292	162.09756097560975
ed</w>	48	2463	51.3125
je	305	3177	10.416393442622951
ska	225	1877	8.342222222222222
ke</w>	160	2616	16.35
den</w>	207	11412	55.130434782608695
han</w>	50	11334	226.68
or	612	6824	11.15032679738562
skal</w>	9	10195	1132.7777777777778
le	620	7308	11.787096774193548
tt</w>	188	9064	48.212765957446805
vi	383	5822	15.201044386422977
si	365	4444	12.175342465753424
der</w>	230	5906	25.678260869565218
her	108	1884	17.444444444444443
jeg</w>	18	8906	494.77777777777777
ikke</w>	10	8905	890.5
av</w>	36	8878	246.61111111111111
ar	698	5672	8.126074498567336
mm	527	5546	10.523719165085389
så</w>	34	7874	231.58823529411765
på</w>	11	7751	704.6363636363636
ar</w>	100	2236	22.36
ko	158	1267	8.018987341772151
gj	225	4465	19.844444444444445
da</w>	49	7145	145.81632653061226
fr	237	2833	11.953586497890296
li	474	7056	14.886075949367088
herr	16	74	4.625
med</w>	19	7026	369.7894736842105
di	305	4077	13.3672131147541
ge</w>	365	6622	18.14246575342466
har</w>	8	6436	804.5
ra	363	3487	9.606060606060606
gu	207	2810	13.57487922705314
dem</w>	5	6242	1248.4
du</w>	10	6169	616.9
ter</w>	287	4153	14.470383275261325
sa	498	6124	12.29718875502008
ham</w>	12	6004	500.3333333333333
ns</w>	133	1859	13.977443609022556
ne</w>	479	5731	11.964509394572024
mi	248	2985	12.036290322580646
ene</w>	750	5632	7.509333333333333
men</w>	26	5460	210.0
es</w>	795	5393	6.783647798742138
da	268	5368	20.029850746268657
un	445	5357	12.03820224719101
hv	74	5271	71.22972972972973
mo	214	2329	10.883177570093459
var</w>	20	5100	255.0
for	546	5088	9.31868131868132
herren</w>	13	5085	391.15384615384613
ør	319	5052	15.836990595611285
le</w>	125	1439	11.512
ine</w>	14	4875	348.2142857142857
ov	282	1704	6.042553191489362
sø	99	1095	11.06060606060606
dig</w>	66	4797	72.68181818181819
se</w>	246	4665	18.963414634146343
år</w>	67	4586	68.44776119402985
der	319	4583	14.366771159874608
sa</w>	52	4551	87.51923076923077
gen</w>	206	4503	21.859223300970875
mig</w>	1	4357	4357.0
tt	802	4331	5.4002493765586035
hu	259	4306	16.625482625482626
fra</w>	26	4304	165.53846153846155
ens</w>	316	2330	7.3734177215189876
lan	180	4121	22.894444444444446
tte</w>	92	1951	21.206521739130434
hans</w>	6	3935	655.8333333333334
at</w>	76	3872	50.94736842105263
ger</w>	272	3863	14.202205882352942
sig</w>	7	3755	536.4285714285714
is	188	809	4.303191489361702
søn	77	1586	20.5974025974026
dt</w>	96	3685	38.385416666666664
el</w>	210	3678	17.514285714285716
dde</w>	53	899	16.962264150943398
sy	216	3561	16.48611111111111
enn	215	3482	16.195348837209302
gud</w>	4	3468	867.0
alle</w>	29	3450	118.96551724137932
ho	212	3436	16.20754716981132
be	456	3395	7.4451754385964914
fol	117	3356	28.683760683760685
ler</w>	179	3297	18.41899441340782
kon	100	3281	32.81
br	293	3269	11.156996587030717
ak	462	3257	7.04978354978355
vil</w>	4	3192	798.0
se	453	3131	6.911699779249449
dr	212	3109	14.665094339622641
over</w>	17	3108	182.8235294117647
eder</w>	19	3088	162.52631578947367
ul	226	3037	13.438053097345133
hel	107	3033	28.345794392523363
ba	251	3014	12.00796812749004
isra	21	1006	47.904761904761905
tr	295	2874	9.742372881355932
mot</w>	24	2822	117.58333333333333
ved</w>	8	2796	349.5
ef	148	801	5.412162162162162
ri	328	2778	8.46951219512195
la	344	2741	7.968023255813954
hadde</w>	3	2733	911.0
man	178	2724	15.303370786516854
komm	54	2711	50.2037037037037
dre</w>	36	2705	75.13888888888889
sin</w>	4	2685	671.25
din</w>	3	2678	892.6666666666666
ære</w>	23	844	36.69565217391305
min</w>	7	2654	379.14285714285717
gjø	44	2610	59.31818181818182
alt</w>	36	2600	72.22222222222223
jer	147	2598	17.6734693877551
hø	171	2596	15.181286549707602
bar	114	2581	22.640350877192983
ån	147	2559	17.408163265306122
ka	177	2544	14.372881355932204
ve	348	2508	7.206896551724138
res</w>	70	548	7.828571428571428
ste</w>	150	2485	16.566666666666666
ort</w>	25	2463	98.52
by	158	2424	15.341772151898734
or</w>	66	2803	42.46969696969697
lo	236	2364	10.016949152542374
ende</w>	242	2364	9.768595041322314
ten</w>	170	2363	13.9
op</w>	18	2363	131.27777777777777
av	294	2358	8.020408163265307
ut</w>	9	2338	259.77777777777777
no	51	2309	45.27450980392157
st</w>	150	2305	15.366666666666667
til	207	2280	11.014492753623188
els</w>	65	363	5.584615384615384
get</w>	88	2235	25.397727272727273
sv	177	2223	12.559322033898304
fe	163	2201	13.503067484662576
het</w>	162	2194	13.54320987654321
ær	234	2182	9.324786324786325
ner</w>	123	2186	17.772357723577237
ble	13	24	1.8461538461538463
kom</w>	12	2142	178.5
ikk</w>	18	2142	119.0
op	303	2136	7.0495049504950495
blev</w>	5	2131	426.2
he	318	2113	6.644654088050315
sønn</w>	8	2124	265.5
vi</w>	10	2053	205.3
fre	86	2052	23.86046511627907
ere</w>	228	2030	8.903508771929825
fø	96	2016	21.0
des</w>	133	1998	15.022556390977444
dette</w>	4	1984	496.0
efter</w>	12	1983	165.25
ds</w>	86	1966	22.86046511627907
jor	112	1953	17.4375
deres</w>	8	1940	242.5
nin	264	1933	7.321969696969697
yk	185	1921	10.383783783783784
om	238	1918	8.058823529411764
israels</w>	2	1910	955.0
herrens</w>	4	1907	476.75
sier</w>	6	1880	313.3333333333333
dø	106	1865	17.59433962264151
la</w>	31	1853	59.774193548387096
sal	123	1849	15.032520325203253
lø	295	1848	6.264406779661017
jen	104	1843	17.721153846153847
være</w>	1	1826	1826.0
us</w>	114	1822	15.982456140350877
tal	79	1785	22.59493670886076
