subword	prod	cum_freq	idiosyncrasy_index
ie	830	5110	6.156626506024097
rz	1179	6094	5.168787107718406
ie</w>	468	7263	15.51923076923077
sz	2383	14869	6.2396139320184645
dz	1062	7865	7.405838041431262
go</w>	178	6212	34.89887640449438
st	1811	13325	7.357813362782993
ow	2310	10633	4.6030303030303035
je	1011	9022	8.923837784371909
cz	1740	11658	6.7
ni	2209	13336	6.037120869171571
rze	662	4991	7.539274924471299
ch</w>	628	6732	10.719745222929935
po	3357	17582	5.23741435805779
nie</w>	773	16555	21.416558861578267
na	2376	16436	6.917508417508418
ra	1606	7877	4.904732254047323
si	625	4699	7.5184
wi	1442	9721	6.7413314840499305
na</w>	697	14881	21.35007173601148
ro	1467	10608	7.231083844580777
al	1076	7331	6.813197026022305
te	500	8300	16.6
ch	2153	10078	4.680910357640502
kt	17	1296	76.23529411764706
nie	1578	11882	7.5297845373891
wo	627	5700	9.090909090909092
pa	782	7749	9.90920716112532
się</w>	2	11187	5593.5
mi	961	8331	8.669094693028097
któ	19	418	22.0
ci	1017	8013	7.87905604719764
li</w>	979	10288	10.508682328907048
prze	929	8194	8.820236813778257
wa	1350	10041	7.437777777777778
ego</w>	1045	9981	9.551196172248805
by	449	7514	16.734966592427618
rzy	588	2640	4.489795918367347
wsz	120	1814	15.116666666666667
za	1953	9503	4.865847414234511
ja	1250	6110	4.888
ob	1145	8933	7.80174672489083
sk	949	6421	6.7660695468914644
do</w>	12	8724	727.0
mo	703	8406	11.95732574679943
mi</w>	1024	6376	6.2265625
któr	112	5660	50.535714285714285
wy	1768	7804	4.414027149321267
ał</w>	648	7757	11.970679012345679
wie	826	5778	6.995157384987894
em</w>	1165	7706	6.614592274678111
on	1357	7546	5.560795873249816
czy	989	4754	4.806875631951466
dy</w>	96	2085	21.71875
sł	423	4504	10.64775413711584
ich</w>	122	7383	60.51639344262295
ka	1069	7313	6.840972871842844
cie</w>	1215	5189	4.2707818930041155
li	1328	7266	5.471385542168675
przy	997	7006	7.027081243731193
bę	29	1485	51.206896551724135
ta	742	4291	5.783018867924528
sy	398	3948	9.919597989949748
ów</w>	667	6756	10.128935532233884
dzi	938	6562	6.995735607675906
dzie	539	6492	12.044526901669759
mie	644	6430	9.98447204968944
ma	1122	6344	5.6541889483065955
ró	351	2462	7.014245014245014
ło	783	6130	7.8288633461047255
da	1043	5961	5.715244487056568
ko</w>	55	2785	50.63636363636363
mu</w>	334	5814	17.407185628742514
bo	384	3652	9.510416666666666
jego</w>	31	5713	184.29032258064515
ko	819	5546	6.771672771672772
mó	69	2348	34.028985507246375
wszy	20	796	39.8
sta	781	5495	7.035851472471191
ci</w>	182	2440	13.406593406593407
sz</w>	931	5418	5.819548872180451
by</w>	354	2813	7.946327683615819
st</w>	19	449	23.63157894736842
je</w>	284	5367	18.89788732394366
le	912	5207	5.709429824561403
do	686	5057	7.371720116618076
że</w>	286	5017	17.541958041958043
jest</w>	2	4939	2469.5
ych</w>	730	4928	6.750684931506849
od	1021	4895	4.794319294809011
dzie</w>	98	1810	18.46938775510204
ni</w>	548	4784	8.72992700729927
wszyst	13	1228	94.46153846153847
to</w>	37	4708	127.24324324324324
owie	220	4341	19.73181818181818
ła</w>	749	4323	5.771695594125501
el	436	1805	4.139908256880734
cy</w>	472	4239	8.98093220338983
ła	904	4087	4.521017699115045
ąc</w>	470	4039	8.593617021276597
rzek	37	1036	28.0
we	265	4022	15.177358490566037
nia</w>	443	4022	9.079006772009029
ło</w>	434	3930	9.055299539170507
pi	797	3840	4.818067754077791
ar	652	3816	5.852760736196319
kró	89	3807	42.7752808988764
no	599	3708	6.190317195325543
cie	648	3700	5.709876543209877
pra	432	3688	8.537037037037036
pan</w>	4	3663	915.75
rzy</w>	68	1268	18.647058823529413
wszystk	19	3520	185.26315789473685
lu	254	3496	13.763779527559056
sa	685	3470	5.065693430656935
zie	66	1449	21.954545454545453
two	54	3450	63.888888888888886
sze	305	3344	10.963934426229509
ali</w>	549	3274	5.963570127504553
bi	696	3266	4.692528735632184
ży	512	3254	6.35546875
iz	27	616	22.814814814814813
mówi	66	3202	48.515151515151516
że	378	3186	8.428571428571429
ale</w>	14	3166	226.14285714285714
roz	1029	3163	3.073858114674441
im</w>	144	3155	21.90972222222222
owi</w>	519	3101	5.97495183044316
jako</w>	2	3088	1544.0
będzie</w>	5	3087	617.4
ść</w>	245	3081	12.575510204081633
ści</w>	201	3070	15.27363184079602
od</w>	8	3061	382.625
ją</w>	571	3013	5.276707530647986
rzekł</w>	3	2989	996.3333333333334
ki</w>	297	2965	9.983164983164983
bo</w>	7	2907	415.2857142857143
słu	253	2880	11.383399209486166
ba	604	2863	4.740066225165563
tedy</w>	2	2874	1437.0
mię</w>	18	2846	158.11111111111111
my</w>	696	2832	4.068965517241379
syn	30	2811	93.7
ry	666	2769	4.157657657657658
ru	422	2744	6.502369668246446
czyni	106	2706	25.528301886792452
izra	11	198	18.0
ym</w>	491	2627	5.35030549898167
swo	22	2622	119.18181818181819
se	465	2602	5.595698924731183
tw	85	2618	30.8
łu	299	2600	8.695652173913043
tak</w>	3	2594	864.6666666666666
ku</w>	132	2593	19.643939393939394
ej</w>	374	2589	6.922459893048129
aby</w>	7	2588	369.7142857142857
go	511	2583	5.054794520547945
który</w>	2	2577	1288.5
ja</w>	97	2570	26.49484536082474
ły</w>	569	2499	4.391915641476274
gdy</w>	2	2467	1233.5
ny</w>	488	2457	5.034836065573771
ce</w>	231	2449	10.601731601731602
pie	424	2443	5.761792452830188
za</w>	28	2442	87.21428571428571
izrael	39	2436	62.46153846153846
sie	249	2435	9.779116465863455
owie</w>	101	2416	23.92079207920792
la</w>	98	2403	24.520408163265305
świ	217	2384	10.986175115207374
la	463	2378	5.136069114470843
był</w>	5	2370	474.0
ca</w>	184	2367	12.86413043478261
skie	248	2364	9.53225806451613
jej</w>	7	2359	337.0
będ	16	2352	147.0
ści	452	2278	5.039823008849558
owa	813	2274	2.7970479704797047
którzy</w>	2	2274	1137.0
cho	352	2254	6.403409090909091
bra	173	2248	12.99421965317919
to	240	2240	9.333333333333334
dł</w>	57	2219	38.92982456140351
wszy</w>	411	2190	5.328467153284672
sw	10	2178	217.8
de	310	2163	6.97741935483871
ka</w>	304	2162	7.1118421052631575
bog	67	2143	31.98507462686567
ście</w>	312	2132	6.833333333333333
fi	199	2094	10.522613065326633
co</w>	12	2056	171.33333333333334
ty</w>	171	2043	11.947368421052632
ne</w>	419	2034	4.854415274463007
ziemi</w>	1	2018	2018.0
przed</w>	1	2004	2004.0
pu	444	1994	4.490990990990991
wiel	99	1955	19.747474747474747
szcz	379	1930	5.092348284960422
tego</w>	40	1925	48.125
ta</w>	185	1898	10.259459459459459
