subword	prod	cum_freq	idiosyncrasy_index
os</w>	1380	29376	21.286956521739132
qu	794	12731	16.034005037783377
en	1884	11224	5.957537154989384
as</w>	1255	23169	18.461354581673305
er	900	9844	10.937777777777777
ar	3259	13623	4.180116600184106
de</w>	193	29171	151.14507772020724
do</w>	610	19290	31.62295081967213
es	1147	11014	9.602441150828248
co	828	6271	7.573671497584541
ão</w>	737	8964	12.162822252374491
que</w>	108	22074	204.38888888888889
an	1487	11574	7.78345662407532
po	528	4825	9.138257575757576
el	680	6225	9.154411764705882
es</w>	1239	10063	8.121872477804681
em</w>	922	16917	18.34815618221258
di	982	10534	10.727087576374746
in	1535	10429	6.79413680781759
te</w>	994	11288	11.356136820925553
se	715	7247	10.135664335664336
da</w>	614	14293	23.278501628664497
lh	649	5671	8.738058551617874
re	2195	10838	4.937585421412301
ra	1547	9055	5.853264382676147
de	1071	8529	7.96358543417367
ho	220	5013	22.786363636363635
al	1216	13149	10.813322368421053
is</w>	497	5900	11.87122736418511
to</w>	373	10197	27.33780160857909
se</w>	275	8164	29.687272727272727
ra</w>	322	9043	28.08385093167702
am	1451	8866	6.110268780151619
us</w>	64	3905	61.015625
to	648	9009	13.902777777777779
par	441	2454	5.5646258503401365
fi	623	4970	7.977528089887641
dos</w>	556	7907	14.221223021582734
est	736	10205	13.865489130434783
ent	843	7491	8.886120996441282
is	636	7391	11.621069182389936
ca	809	7766	9.599505562422744
am</w>	1036	6832	6.594594594594595
ri	1075	8933	8.309767441860465
sen	61	656	10.754098360655737
eu</w>	122	4137	33.90983606557377
para</w>	8	8532	1066.5
ss	317	5215	16.451104100946374
não</w>	2	8186	4093.0
hor</w>	3	166	55.333333333333336
senhor</w>	1	8015	8015.0
av	795	7870	9.89937106918239
con	958	5282	5.51356993736952
su	489	4314	8.822085889570552
ci	833	7222	8.669867947178872
ro	658	4273	6.493920972644377
gu	600	6974	11.623333333333333
ei	691	6909	9.998552821997105
do	1134	6784	5.982363315696649
vi	615	6599	10.730081300813008
com	373	2506	6.718498659517426
mo	608	6193	10.185855263157896
so	311	3005	9.662379421221864
por	127	3363	26.480314960629922
ti	981	6081	6.198776758409786
ele</w>	11	6083	553.0
ab	650	5748	8.843076923076923
fo	286	5755	20.122377622377623
filh	15	598	39.86666666666667
da	344	2762	8.029069767441861
pa	472	5390	11.419491525423728
re</w>	85	2550	30.0
ma	484	5225	10.795454545454545
ém</w>	39	2949	75.61538461538461
te	680	5084	7.476470588235294
ter	292	2110	7.226027397260274
com</w>	8	4973	621.625
tu	336	4956	14.75
inh	165	2384	14.44848484848485
me</w>	460	4833	10.506521739130434
deus</w>	5	4745	949.0
ar</w>	488	4576	9.37704918032787
im</w>	128	2483	19.3984375
no</w>	110	4536	41.236363636363635
ou	327	4527	13.844036697247706
ro</w>	190	4506	23.71578947368421
ao</w>	20	4482	224.1
um</w>	19	4469	235.21052631578948
vo	349	4459	12.776504297994268
ser	214	4420	20.654205607476637
er</w>	174	4383	25.189655172413794
ju	321	4377	13.63551401869159
por</w>	8	4368	546.0
sa	384	4247	11.059895833333334
pois</w>	3	4230	1410.0
ta</w>	353	4098	11.609065155807366
ei</w>	675	3987	5.906666666666666
des	727	3977	5.470426409903714
das</w>	336	3927	11.6875
el</w>	222	1369	6.166666666666667
como</w>	1	3908	3908.0
ou</w>	231	3885	16.818181818181817
ma</w>	101	1592	15.762376237623762
seu</w>	5	3821	764.2
mu	207	3777	18.246376811594203
no	130	3687	28.361538461538462
ção</w>	227	3676	16.19383259911894
per	665	3636	5.467669172932331
ando</w>	402	3619	9.002487562189055
ch	378	3607	9.542328042328043
mas</w>	38	3558	93.63157894736842
na</w>	84	3524	41.95238095238095
sa</w>	128	1532	11.96875
men	210	3493	16.633333333333333
sua</w>	2	3424	1712.0
ado</w>	422	3278	7.767772511848341
seus</w>	4	3241	810.25
dis	144	1140	7.916666666666667
res	462	3195	6.915584415584416
le	379	3193	8.424802110817941
sob	82	396	4.829268292682927
vos</w>	243	3120	12.839506172839506
at	312	3114	9.98076923076923
ia</w>	306	3094	10.11111111111111
eles</w>	13	3080	236.92307692307693
rei</w>	90	3011	33.455555555555556
ass	248	943	3.8024193548387095
tam	105	797	7.59047619047619
pro	619	2963	4.786752827140549
pel	73	2948	40.38356164383562
terra</w>	1	2934	2934.0
eis</w>	426	2897	6.800469483568075
cer	352	2874	8.164772727272727
ça</w>	116	2848	24.551724137931036
dade</w>	112	2819	25.169642857142858
vo</w>	39	984	25.23076923076923
filhos</w>	1	2780	2780.0
aram</w>	471	2777	5.895966029723992
porque</w>	1	2775	2775.0
sobre</w>	1	2761	2761.0
lhe</w>	322	2759	8.56832298136646
cu	585	2708	4.6290598290598295
ós</w>	11	2639	239.9090909090909
mi	369	2622	7.105691056910569
tos</w>	145	2613	18.020689655172415
pe	345	2607	7.556521739130435
isra	5	41	8.2
cont	183	2572	14.05464480874317
então</w>	1	2547	2547.0
israel</w>	2	2541	1270.5
ará</w>	394	2533	6.428934010152284
inha</w>	34	2505	73.67647058823529
anto</w>	16	2420	151.25
ás</w>	459	2395	5.2178649237472765
ir	326	2382	7.306748466257669
endo</w>	98	2375	24.23469387755102
todos</w>	1	2353	2353.0
li	450	2337	5.193333333333333
ver	339	2335	6.887905604719764
eg	227	2331	10.268722466960352
filho</w>	1	2322	2322.0
mp	216	2304	10.666666666666666
na	166	2302	13.867469879518072
uma</w>	7	2256	322.2857142857143
ran	307	2248	7.322475570032573
meu</w>	8	2234	279.25
go</w>	57	2216	38.87719298245614
teu</w>	14	2213	158.07142857142858
fa	203	2198	10.827586206896552
tamb	4	22	5.5
tes</w>	269	2166	8.052044609665428
também</w>	2	2163	1081.5
fer	218	2121	9.729357798165138
disse</w>	8	2094	261.75
ante</w>	63	2083	33.06349206349206
tas</w>	244	2072	8.491803278688524
assim</w>	1	2065	2065.0
diz	62	2035	32.82258064516129
bo	144	2026	14.069444444444445
us	180	2007	11.15
mos</w>	449	1999	4.452115812917595
-se</w>	742	1994	2.68733153638814
man	225	1970	8.755555555555556
casa</w>	2	1969	984.5
be	263	1943	7.387832699619772
ta	481	1953	4.0602910602910605
un	338	1941	5.742603550295858
des</w>	248	1941	7.826612903225806
aos</w>	1	1936	1936.0
ente</w>	246	1919	7.800813008130081
der	406	1891	4.657635467980295
me	299	1886	6.3076923076923075
ex	404	1878	4.648514851485149
ram</w>	130	1873	14.407692307692308
car	300	1852	6.173333333333333
go	241	1847	7.66390041493776
so</w>	118	1838	15.576271186440678
si	261	1831	7.015325670498084
povo</w>	1	1819	1819.0
mão</w>	8	1812	226.5
