subword	prod	cum_freq	idiosyncrasy_index
ai</w>	35	10947	312.77142857142854
an	353	2153	6.09915014164306
di	567	4047	7.137566137566138
le</w>	150	9917	66.11333333333333
le	156	1375	8.814102564102564
ar	627	4596	7.330143540669856
ch	385	2617	6.797402597402598
te</w>	52	7050	135.57692307692307
sh	436	4361	10.002293577981652
en	296	1700	5.743243243243243
sa	359	2983	8.309192200557103
and	50	1210	24.2
um	72	645	8.958333333333334
ke</w>	206	4571	22.189320388349515
kai</w>	4	5787	1446.75
er	306	2420	7.908496732026144
av	265	2421	9.135849056603774
de	181	1695	9.3646408839779
ph	271	1458	5.380073800738008
as</w>	380	2795	7.355263157894737
la</w>	119	2046	17.19327731092437
ko	139	1391	10.007194244604317
dia</w>	143	1726	12.06993006993007
les	15	483	32.2
ia</w>	160	1573	9.83125
zh	255	2268	8.894117647058824
ka	155	1915	12.35483870967742
en</w>	144	2412	16.75
es	293	1248	4.2593856655290105
ra	198	2093	10.570707070707071
chi</w>	20	3401	170.05
mo	155	1470	9.483870967741936
man	33	537	16.272727272727273
tum	14	1161	82.92857142857143
el</w>	116	2166	18.67241379310345
si</w>	32	3098	96.8125
ko</w>	341	1939	5.686217008797654
pa	126	1245	9.880952380952381
de</w>	153	2152	14.065359477124183
ur	147	580	3.945578231292517
am	169	2023	11.970414201183432
sa</w>	326	2741	8.4079754601227
phen	38	1628	42.8421052631579
ge</w>	67	523	7.8059701492537314
ker	64	1588	24.8125
st	228	1829	8.021929824561404
in	444	2562	5.77027027027027
or	160	1269	7.93125
ar</w>	64	790	12.34375
kh	149	1652	11.087248322147651
lo</w>	173	2323	13.427745664739884
pe</w>	218	2318	10.63302752293578
ande</w>	5	2287	457.4
un	151	1687	11.172185430463577
la	230	1502	6.530434782608696
sas</w>	106	2169	20.462264150943398
uma</w>	4	451	112.75
ek</w>	4	811	202.75
del</w>	15	2061	137.4
ri	99	934	9.434343434343434
av</w>	93	1987	21.365591397849464
do</w>	85	1293	15.211764705882352
bu	68	741	10.897058823529411
les</w>	18	1937	107.61111111111111
th	91	1055	11.593406593406593
manu	3	4	1.3333333333333333
kan	26	248	9.538461538461538
mos</w>	61	1166	19.114754098360656
len	45	813	18.066666666666666
li	378	1756	4.645502645502646
si	194	1745	8.994845360824742
so</w>	13	1718	132.15384615384616
tar</w>	46	636	13.826086956521738
sar</w>	27	1702	63.03703703703704
sh</w>	23	435	18.91304347826087
numa</w>	2	1690	845.0
do	105	753	7.171428571428572
us</w>	78	215	2.7564102564102564
kana</w>	2	1594	797.0
dev	14	1499	107.07142857142857
jes	11	96	8.727272727272727
ang	100	1449	14.49
tume</w>	3	1444	481.3333333333333
du	83	1435	17.289156626506024
uria</w>	107	1410	13.177570093457945
ro	122	759	6.221311475409836
jesus</w>	2	1381	690.5
es</w>	119	1374	11.546218487394958
ash	93	838	9.010752688172044
cha	55	760	13.818181818181818
ando</w>	3	1355	451.6666666666667
me</w>	58	1344	23.17241379310345
to</w>	54	1333	24.685185185185187
rh	148	1320	8.91891891891892
leske</w>	8	1317	164.625
el	78	778	9.974358974358974
mai</w>	1	1312	1312.0
bar	89	1281	14.393258426966293
an</w>	137	1272	9.284671532846716
on</w>	87	652	7.494252873563219
manush</w>	1	1257	1257.0
iek</w>	2	1252	626.0
vor	32	724	22.625
ti	177	1235	6.977401129943503
anda</w>	2	1230	615.0
ela</w>	58	530	9.137931034482758
enge</w>	56	611	10.910714285714286
da	85	1194	14.047058823529412
kri	36	328	9.11111111111111
phendia</w>	1	1109	1109.0
ki</w>	125	507	4.056
ka</w>	31	1092	35.225806451612904
katar</w>	2	1081	540.5
na</w>	37	1061	28.675675675675677
os	269	1040	3.866171003717472
ia	149	1041	6.9865771812080535
ta</w>	56	1009	18.017857142857142
lenge</w>	11	1004	91.27272727272727
tra	62	985	15.887096774193548
be	63	952	15.11111111111111
go	57	949	16.649122807017545
avel</w>	21	939	44.714285714285715
na	146	935	6.404109589041096
kodo	13	452	34.76923076923077
lesko</w>	8	925	115.625
chi	146	896	6.136986301369863
lia</w>	56	895	15.982142857142858
wo</w>	2	886	443.0
mang	35	874	24.97142857142857
zhan	24	857	35.708333333333336
no</w>	44	854	19.40909090909091
pes	16	850	53.125
tho	46	846	18.391304347826086
sw	45	842	18.711111111111112
dikh	27	842	31.185185185185187
er</w>	27	835	30.925925925925927
mu	60	828	13.8
ma</w>	24	828	34.5
