subword	prod	cum_freq	idiosyncrasy_index
în	1903	17464	9.17708880714661
şi</w>	172	38439	223.4825581395349
lu	428	5936	13.869158878504672
ar	1202	16404	13.647254575707155
in	1216	12717	10.458059210526315
ul</w>	780	16644	21.338461538461537
lui</w>	109	16871	154.77981651376146
te</w>	524	10226	19.515267175572518
ri	1009	9426	9.341922695738354
le</w>	479	12990	27.11899791231733
ce	659	14408	21.863429438543246
de</w>	69	20916	303.1304347826087
ea</w>	719	15623	21.728789986091794
tr	446	6267	14.051569506726457
să</w>	103	16583	161.0
lo	358	5706	15.938547486033519
un	793	13137	16.566204287515763
în</w>	9	15164	1684.888888888889
cu	805	9475	11.770186335403727
ţi</w>	763	11651	15.269986893840105
mn	86	1271	14.779069767441861
to	990	11817	11.936363636363636
pe</w>	34	13966	410.7647058823529
du	501	4832	9.644710578842316
at	516	6448	12.496124031007753
as	588	8768	14.91156462585034
vo	136	3029	22.272058823529413
au</w>	365	12311	33.728767123287675
at</w>	462	12224	26.458874458874458
do	278	4095	14.73021582733813
es	921	5646	6.130293159609121
ăr	650	6588	10.135384615384615
ni	798	11574	14.503759398496241
că</w>	162	7170	44.25925925925926
er	1043	11029	10.574304889741132
are</w>	287	4751	16.554006968641115
ce</w>	169	10978	64.9585798816568
po	342	7215	21.096491228070175
lor</w>	572	8107	14.173076923076923
ci</w>	160	6969	43.55625
la</w>	123	10115	82.23577235772358
ii</w>	353	7278	20.61756373937677
di	311	2337	7.514469453376206
me	484	9386	19.392561983471076
ului</w>	426	6553	15.38262910798122
zi	317	5748	18.13249211356467
pr	462	6355	13.755411255411255
îm	427	5467	12.80327868852459
el</w>	155	6558	42.30967741935484
te	928	8864	9.551724137931034
de	669	8734	13.055306427503737
se</w>	252	8336	33.07936507936508
nu</w>	4	8320	2080.0
domn	52	660	12.692307692307692
ei</w>	336	8051	23.961309523809526
fi	190	6026	31.71578947368421
cu</w>	5	7923	1584.6
va</w>	46	7890	171.52173913043478
ur	632	5660	8.955696202531646
da	199	2580	12.964824120603016
le	686	7505	10.940233236151604
din</w>	4	7500	1875.0
pe	301	2851	9.471760797342192
ze	137	1947	14.211678832116789
că	510	4116	8.070588235294117
ca</w>	105	7273	69.26666666666667
ace	90	7082	78.68888888888888
co	576	6911	11.99826388888889
ră	623	6844	10.985553772070626
ai</w>	179	2893	16.162011173184357
mîn	238	6666	28.008403361344538
mi	513	6562	12.791423001949317
st	423	6388	15.101654846335697
``</w>	347	6371	18.360230547550433
este</w>	7	6321	903.0
care</w>	17	6228	366.3529411764706
is	303	3527	11.64026402640264
ţi	729	5964	8.181069958847736
ci	606	5971	9.853135313531354
al	460	5652	12.28695652173913
ne	665	5569	8.374436090225563
pu	272	5560	20.441176470588236
ve	302	5470	18.112582781456954
ra	237	2812	11.864978902953586
eze	61	745	12.21311475409836
păr	181	1788	9.878453038674033
re	506	5282	10.438735177865613
tă	372	5177	13.916666666666666
vi	312	5095	16.330128205128204
ine</w>	41	5017	122.36585365853658
un</w>	20	4967	248.35
tru</w>	17	1592	93.6470588235294
ia</w>	263	4929	18.74144486692015
dumn	7	114	16.285714285714285
pă	379	4794	12.649076517150396
ch	543	4760	8.766114180478821
am</w>	201	4727	23.51741293532338
-a</w>	10	4690	469.0
dumneze	19	1917	100.89473684210526
domnul</w>	2	4670	2335.0
pen	16	1243	77.6875
ro	392	4591	11.71173469387755
it</w>	275	4587	16.68
pri	253	4564	18.039525691699605
voi</w>	9	4499	499.8888888888889
s'	20	1736	86.8
fa	106	4310	40.660377358490564
ată</w>	203	4266	21.014778325123153
mo	281	4259	15.15658362989324
ta</w>	132	4194	31.772727272727273
şt	386	4027	10.432642487046632
pi	331	3994	12.066465256797583
no	153	3996	26.11764705882353
ate</w>	169	3940	23.31360946745562
cîn	112	711	6.348214285714286
mai</w>	15	3894	259.6
tul</w>	177	3875	21.89265536723164
car	69	916	13.27536231884058
ca	262	3823	14.591603053435115
tea</w>	44	3791	86.1590909090909
şte</w>	329	3773	11.46808510638298
ele</w>	202	3740	18.514851485148515
su	228	3737	16.390350877192983
să	170	3711	21.82941176470588
împăr	61	1450	23.770491803278688
zis</w>	1	3562	3562.0
sîn	36	1000	27.77777777777778
pentru</w>	3	3361	1120.3333333333333
mu	271	3331	12.291512915129152
fă	211	3306	15.66824644549763
cînd</w>	29	3202	110.41379310344827
tă</w>	328	3222	9.823170731707316
căci</w>	8	3190	398.75
por	80	3085	38.5625
dar</w>	11	3085	280.45454545454544
rile</w>	286	3054	10.678321678321678
aş	186	3018	16.225806451612904
os	137	3007	21.94890510948905
cut</w>	23	2996	130.2608695652174
cari</w>	4	2953	738.25
ain	20	653	32.65
nu	125	2918	23.344
pîn	118	2879	24.39830508474576
vor</w>	6	2865	477.5
pă</w>	30	574	19.133333333333333
pre	169	2845	16.83431952662722
tre	228	2832	12.421052631578947
tu	286	2829	9.891608391608392
ie</w>	123	2826	22.975609756097562
oa	119	2804	23.563025210084035
vă</w>	180	2784	15.466666666666667
domnului</w>	1	2781	2781.0
ab	253	2772	10.956521739130435
dumnezeu</w>	2	2769	1384.5
ru	211	2762	13.090047393364928
s'a</w>	2	2748	1374.0
tri	112	2714	24.232142857142858
aţi</w>	232	2701	11.642241379310345
ţii</w>	133	2680	20.150375939849624
