subword	prod	cum_freq	idiosyncrasy_index
по	3971	19890	5.00881390078066
ст	3244	14836	4.573366214549939
во	2005	10518	5.245885286783042
ни	3428	15823	4.615810968494749
ра	2993	11753	3.926829268292683
го	1595	8744	5.482131661442006
ро	2182	12697	5.81897341888176
го</w>	692	5461	7.891618497109826
ко	1711	9668	5.650496785505553
на	2676	13720	5.127055306427504
де	1813	12204	6.73138444567016
ре	2662	12680	4.763335837716003
ве	2167	12679	5.850946008306415
то	997	8682	8.708124373119357
ли</w>	1515	14778	9.754455445544554
ка	1183	4816	4.071005917159764
не</w>	307	12177	39.66449511400651
его</w>	445	13769	30.941573033707865
но	2718	9709	3.5721118469462843
ри	1081	4223	3.9065679925994448
ва	2882	12868	4.4649548924358085
на</w>	715	12799	17.9006993006993
ло	1759	8544	4.85730528709494
се	1113	8918	8.0125786163522
ле	2422	11802	4.872832369942197
не	2356	11214	4.759762308998302
ме	1515	9064	5.982838283828383
ла	2155	8259	3.8324825986078888
мо	1304	11142	8.544478527607362
то</w>	90	5741	63.78888888888889
за	1660	6243	3.7608433734939757
до	1537	10160	6.610279765777489
ли	1943	8182	4.2110138960370564
те	1597	6490	4.06386975579211
ви	1680	9775	5.818452380952381
ть</w>	1421	9588	6.747361013370866
спо	358	1143	3.1927374301675977
бо	848	8850	10.43632075471698
да	1723	8849	5.135809634358677
да</w>	225	5535	24.6
их</w>	565	8389	14.847787610619468
госпо	46	1963	42.67391304347826
ся</w>	1036	2562	2.472972972972973
че	946	5234	5.53276955602537
со	1538	6899	4.485695708712614
му</w>	420	4070	9.69047619047619
ру	893	6527	7.309070548712206
же	976	6366	6.522540983606557
при	1264	6268	4.958860759493671
господ	79	2701	34.18987341772152
ми</w>	1227	6165	5.0244498777506115
ска	257	1422	5.533073929961089
но</w>	583	5904	10.126929674099486
тво	337	5846	17.347181008902076
ди	1271	5717	4.4980330448465775
ни</w>	181	2894	15.988950276243093
ста	948	5607	5.9145569620253164
от	1076	5548	5.156133828996283
та	776	3270	4.213917525773196
са	940	5519	5.871276595744681
жи	776	5418	6.981958762886598
си	911	5373	5.8979143798024145
ца	302	2099	6.950331125827814
бу	279	3077	11.028673835125447
сы	230	3533	15.360869565217392
что</w>	12	5241	436.75
сво	183	5182	28.316939890710383
он</w>	50	5163	103.26
ны	1778	5100	2.8683914510686166
про	1218	5062	4.155993431855501
вы	1148	4959	4.319686411149826
сь</w>	1063	3207	3.016933207902164
пре	998	4906	4.915831663326653
кото	66	1799	27.257575757575758
из	773	2258	2.9210866752910736
бы	332	4801	14.460843373493976
ше	848	3029	3.571933962264151
те</w>	1047	4737	4.5243553008595985
ль	978	4706	4.811860940695296
сказа	44	1179	26.795454545454547
ры	416	1427	3.4302884615384617
вс	123	1497	12.170731707317072
от</w>	21	4169	198.52380952380952
пе	904	4040	4.469026548672566
ду	566	4012	7.088339222614841
ти	878	3977	4.529612756264237
ла</w>	782	3946	5.046035805626598
хо	807	3943	4.885997521685254
бе	1038	3905	3.7620423892100194
бы</w>	38	1535	40.39473684210526
гово	82	1276	15.560975609756097
из</w>	24	3794	158.08333333333334
им</w>	394	3780	9.593908629441625
зе	173	638	3.6878612716763004
во</w>	267	3605	13.50187265917603
как</w>	13	3559	273.7692307692308
ты</w>	121	3525	29.132231404958677
же</w>	33	3506	106.24242424242425
сказал</w>	16	3480	217.5
господь</w>	30	3474	115.8
ма	1015	3386	3.335960591133005
сл	129	1628	12.62015503875969
ск	886	3327	3.755079006772009
ва</w>	436	3311	7.594036697247707
па	854	3296	3.8594847775175642
теб	32	1432	44.75
ча	645	3232	5.010852713178295
дет</w>	76	1021	13.43421052631579
сто	658	3220	4.8936170212765955
чи	802	3188	3.975062344139651
ня</w>	40	987	24.675
цар	137	3186	23.255474452554743
ны</w>	585	3153	5.38974358974359
гда</w>	8	1037	129.625
ние</w>	499	3133	6.278557114228457
воз	741	3133	4.228070175438597
су	450	3130	6.955555555555556
бо</w>	27	283	10.481481481481481
ля</w>	100	1094	10.94
которы	66	3070	46.515151515151516
ми	825	3053	3.7006060606060607
ши	1031	3027	2.935984481086324
вы</w>	190	3033	15.963157894736842
зем	112	3026	27.017857142857142
сть</w>	184	3007	16.342391304347824
тся</w>	1026	2981	2.905458089668616
все	165	2968	17.98787878787879
дела	122	1213	9.942622950819672
ет</w>	786	2889	3.6755725190839694
об	930	2849	3.063440860215054
ибо</w>	2	2816	1408.0
они</w>	12	2798	233.16666666666666
ния</w>	550	2797	5.085454545454546
ду</w>	157	2795	17.802547770700638
ему</w>	96	2778	28.9375
наро	78	2752	35.282051282051285
что	148	460	3.108108108108108
вер	653	2703	4.139356814701379
все</w>	22	2688	122.18181818181819
раи	23	50	2.1739130434782608
ло</w>	268	2648	9.880597014925373
ще	628	2636	4.197452229299363
вя	164	404	2.4634146341463414
израи	67	2607	38.91044776119403
пу	384	2553	6.6484375
по</w>	14	2564	183.14285714285714
раз	850	2559	3.010588235294118
нь</w>	88	2552	29.0
говори	66	2525	38.25757575757576
ша	650	2518	3.873846153846154
ля	941	2521	2.6790648246546227
пи	632	2505	3.963607594936709
ки</w>	307	2457	8.003257328990228
за</w>	45	2398	53.28888888888889
ско	483	2362	4.890269151138717
ем</w>	512	2313	4.517578125
сти	520	2306	4.434615384615385
чтобы</w>	3	2280	760.0
щи	811	2278	2.808877928483354
так</w>	9	2260	251.11111111111111
га	829	2184	2.634499396863691
свя	239	2208	9.238493723849372
будет</w>	23	2208	96.0
меня</w>	29	2202	75.93103448275862
ка</w>	278	2176	7.827338129496403
шь</w>	546	2167	3.968864468864469
ть	549	2157	3.92896174863388
лю	423	2159	5.1040189125295505
сло	212	2153	10.15566037735849
ня	657	2117	3.2222222222222223
когда</w>	6	2101	350.1666666666667
ты	328	2032	6.195121951219512
лся</w>	415	2013	4.8506024096385545
зна	257	2012	7.828793774319066
ся	299	1986	6.642140468227424
для</w>	21	1987	94.61904761904762
ма</w>	260	1959	7.5346153846153845
ле</w>	103	1949	18.92233009708738
би	524	1945	3.7118320610687023
ес	93	1922	20.666666666666668
бра	191	1896	9.926701570680628
ца</w>	137	1895	13.832116788321168
му	427	1887	4.4192037470726
пра	372	1866	5.016129032258065
ну</w>	275	1854	6.741818181818182
жа	626	1848	2.952076677316294
тебя</w>	22	1818	82.63636363636364
мне</w>	22	1809	82.22727272727273
ди</w>	125	1808	14.464
ну	742	1803	2.429919137466307
мно	208	1752	8.423076923076923
слу	250	1751	7.004
лись</w>	452	1744	3.8584070796460175
сдела	82	1735	21.158536585365855
ри</w>	96	1732	18.041666666666668
лове	1	1	1.0
челове	69	1720	24.92753623188406
ти</w>	110	1718	15.618181818181819
сыно	30	1714	57.13333333333333
шел</w>	35	1705	48.714285714285715
