subword	prod	cum_freq	idiosyncrasy_index
ov	1631	10933	6.703249540159411
je	1367	9100	6.656912948061448
po	2467	14844	6.017024726388326
je</w>	614	16543	26.94299674267101
ra	2480	11119	4.483467741935484
st	1156	8128	7.031141868512111
re	1439	12457	8.656706045865183
sv	220	4462	20.28181818181818
na	1850	13085	7.072972972972973
ko	1153	11977	10.387684301821336
da</w>	217	17163	79.09216589861751
na</w>	792	16282	20.55808080808081
go	535	5410	10.11214953271028
ni	2055	11885	5.78345498783455
se</w>	78	13441	172.32051282051282
ti</w>	1344	13222	9.837797619047619
še</w>	1348	10763	7.984421364985163
da	1275	11124	8.724705882352941
ka	733	6218	8.482946793997272
ne</w>	647	12748	19.7032457496136
ma</w>	659	7461	11.321699544764796
ne	1091	10060	9.22089825847846
ro	889	6006	6.755905511811024
si	963	8858	9.19833852544133
va	1708	11031	6.458430913348946
do	977	10812	11.066530194472875
lj	522	4048	7.754789272030651
za	1664	9948	5.978365384615385
vi	1150	9716	8.448695652173914
sa	1331	7968	5.986476333583772
la	1384	7834	5.660404624277457
nj	757	6917	9.137384412153237
vo	702	5309	7.562678062678063
ri	1418	6252	4.409026798307475
te</w>	1202	9057	7.534941763727121
gos	36	376	10.444444444444445
mo	680	8639	12.704411764705883
ve	1163	8555	7.35597592433362
gospo	43	4692	109.11627906976744
me	974	8410	8.634496919917865
svo	33	6615	200.45454545454547
im</w>	459	6461	14.076252723311546
bo	504	8211	16.291666666666668
ko</w>	123	5982	48.63414634146341
će</w>	648	7999	12.344135802469136
št	333	2092	6.282282282282282
gov	101	824	8.158415841584159
ji</w>	229	2089	9.12227074235808
de</w>	197	7423	37.68020304568528
li</w>	462	5422	11.735930735930737
ta	845	7110	8.414201183431953
nje	266	4345	16.334586466165412
li	1297	7046	5.432536622976099
ni</w>	723	6991	9.669432918395573
no	1137	6926	6.091468777484609
od</w>	5	6943	1388.6
se	901	6679	7.412874583795783
ih</w>	464	6577	14.174568965517242
iz	636	3869	6.083333333333333
di	928	6360	6.853448275862069
ju</w>	670	6356	9.486567164179105
ga</w>	114	6321	55.44736842105263
de	611	6291	10.296235679214403
ka</w>	431	3995	9.269141531322505
ja</w>	471	6009	12.757961783439491
be	385	3659	9.503896103896103
le	995	5854	5.883417085427135
ma	1050	5711	5.439047619047619
sta	680	5623	8.269117647058824
ja	1141	5598	4.906222611744084
