subword	prod	cum_freq	idiosyncrasy_index
po	3584	21590	6.023995535714286
st	2779	21007	7.55919395465995
ov	2459	12179	4.9528263521756815
pr	755	7584	10.045033112582782
ho</w>	597	12191	20.42043551088777
ne	4519	20442	4.5235671608763
vo	855	9369	10.957894736842105
ch</w>	747	7165	9.591700133868809
to	472	6691	14.17584745762712
ie	1307	7068	5.4078041315990815
al	1457	5815	3.9910775566231984
na</w>	413	16209	39.246973365617436
ed	723	5262	7.278008298755187
om</w>	1040	9838	9.459615384615384
bo	648	9419	14.535493827160494
je	762	5210	6.837270341207349
ho	1170	6055	5.1752136752136755
sa</w>	45	12297	273.26666666666665
ra	1803	9666	5.3610648918469215
ni	1096	7098	6.476277372262774
di	832	4777	5.741586538461538
ro	1159	8981	7.748921484037964
al</w>	905	8552	9.449723756906078
to</w>	47	8973	190.91489361702128
voj	94	1001	10.648936170212766
kto	9	273	30.333333333333332
ktor	48	3281	68.35416666666667
ud	359	2734	7.6155988857938715
ko	1230	10505	8.540650406504065
na	1810	10159	5.612707182320442
ch	2499	10041	4.018007202881153
le	1025	5772	5.631219512195122
li</w>	989	9420	9.524772497472194
do	1135	8883	7.826431718061674
ve	948	8462	8.926160337552743
rá	716	4606	6.432960893854749
by</w>	82	3629	44.25609756097561
je</w>	391	8162	20.874680306905372
te	896	8079	9.016741071428571
vi	875	7911	9.041142857142857
bud	114	4284	37.578947368421055
mi</w>	903	7767	8.601328903654485
ak	410	3502	8.541463414634146
spo	199	678	3.407035175879397
et	391	2950	7.544757033248082
no	798	5229	6.552631578947368
svoj	16	7396	462.25
mo	678	5315	7.839233038348082
an	1206	5166	4.2835820895522385
hospo	10	16	1.6
hospodi	22	3594	163.36363636363637
ich</w>	110	6855	62.31818181818182
en	1280	4884	3.815625
vy	1597	6719	4.207263619286161
za	1677	6668	3.9761478831246273
mu</w>	382	6670	17.460732984293195
sl	727	6578	9.048143053645116
pre	733	4372	5.964529331514325
ved	261	2172	8.32183908045977
ri	967	6344	6.560496380558428
ob	910	6297	6.91978021978022
že</w>	93	6193	66.59139784946237
ovi</w>	595	5895	9.907563025210084
ých</w>	733	5844	7.9727148703956345
ži	643	5793	9.009331259720062
jeho</w>	5	5649	1129.8
el	785	3238	4.124840764331211
te</w>	1314	5592	4.255707762557078
vš	91	892	9.802197802197803
ná	674	5433	8.060830860534125
do</w>	15	5315	354.3333333333333
la	1034	5300	5.1257253384912955
pri	681	5298	7.779735682819383
ke	175	1681	9.605714285714285
sy	78	5207	66.75641025641026
bo</w>	6	853	142.16666666666666
ta	407	1976	4.855036855036855
de	533	4908	9.208255159474671
li	807	4842	6.0
me</w>	548	4732	8.635036496350365
me	634	4682	7.384858044164038
aby</w>	6	4680	780.0
ého</w>	584	4653	7.967465753424658
všet	3	806	268.6666666666667
som</w>	18	4568	253.77777777777777
ti	858	4511	5.257575757575758
ru	400	4489	11.2225
ne</w>	573	4476	7.81151832460733
ali</w>	780	4444	5.697435897435898
ze	318	4382	13.779874213836479
či	623	4297	6.897271268057785
sk	953	4234	4.442812172088143
ako</w>	1	2070	2070.0
poved	75	1398	18.64
vá	337	4172	12.379821958456974
va	867	4169	4.808535178777393
lebo</w>	8	4092	511.5
hov	141	579	4.1063829787234045
si</w>	46	4047	87.97826086956522
ale</w>	11	4022	365.6363636363636
re	904	3966	4.3871681415929205
rie	321	3837	11.953271028037383
ím</w>	488	3817	7.82172131147541
všetk	11	3789	344.45454545454544
lo	687	3747	5.454148471615721
krá	78	1851	23.73076923076923
si	578	3699	6.399653979238754
la</w>	585	3660	6.256410256410256
ka	553	3625	6.555153707052441
bude</w>	4	3622	905.5
keď</w>	1	3612	3612.0
hovo	68	3502	51.5
ot	170	3500	20.58823529411765
ľa</w>	58	3349	57.741379310344826
sť</w>	265	3349	12.637735849056604
hospodin</w>	2	3294	1647.0
ci</w>	360	3288	9.133333333333333
ma	644	3273	5.082298136645963
čo</w>	9	3261	362.3333333333333
lo</w>	334	3255	9.745508982035927
nov	277	3234	11.675090252707582
ov</w>	350	3211	9.174285714285714
ým</w>	424	3198	7.5424528301886795
od	797	3173	3.9811794228356336
za</w>	74	3164	42.75675675675676
bi	499	3104	6.220440881763527
sa	482	3022	6.269709543568465
ktorý</w>	4	2967	741.75
tak</w>	4	2966	741.5
dá	322	2936	9.118012422360248
iz	64	307	4.796875
pra	376	2896	7.702127659574468
ja</w>	83	2891	34.83132530120482
nie</w>	334	2865	8.577844311377245
ia</w>	236	2864	12.135593220338983
od</w>	6	2848	474.6666666666667
povedal</w>	9	2797	310.77777777777777
ku</w>	226	2761	12.216814159292035
sta	413	2742	6.6392251815980625
jej</w>	5	2730	546.0
mi	478	2719	5.688284518828452
tvoj	12	2711	225.91666666666666
roz	893	2675	2.99552071668533
ma</w>	210	2639	12.566666666666666
se	302	2620	8.675496688741722
izra	4	243	60.75
vo</w>	109	2596	23.81651376146789
ktorí</w>	4	2585	646.25
ky</w>	211	2584	12.246445497630331
bol</w>	3	2510	836.6666666666666
iel</w>	50	279	5.58
už	105	2469	23.514285714285716
zá	311	2450	7.877813504823151
ce	265	2448	9.237735849056603
aj</w>	106	2446	23.07547169811321
izrael	31	2376	76.64516129032258
be	516	2342	4.538759689922481
nie	173	2321	13.416184971098266
ja	532	2316	4.353383458646617
edy</w>	12	213	17.75
nov</w>	111	2242	20.1981981981982
im</w>	115	2229	19.382608695652173
ní	429	2221	5.177156177156177
šiel</w>	29	2214	76.34482758620689
pa	523	2210	4.225621414913958
pá	285	2196	7.705263157894737
kto</w>	3	2185	728.3333333333334
tr	400	2168	5.42
jako</w>	8	2154	269.25
jú</w>	652	2131	3.26840490797546
de</w>	119	2121	17.823529411764707
po</w>	4	2094	523.5
ať</w>	350	2092	5.977142857142857
ka</w>	209	2084	9.971291866028707
ste</w>	44	2048	46.54545454545455
ný</w>	363	2039	5.6170798898071626
ale	92	2038	22.152173913043477
va</w>	285	2033	7.133333333333334
tedy</w>	6	2032	338.6666666666667
jed	161	2031	12.614906832298137
pred</w>	8	2019	252.375
zo	405	2014	4.972839506172839
nia</w>	325	2012	6.190769230769231
či</w>	41	2005	48.90243902439025
boh	53	1996	37.660377358490564
ou</w>	282	1977	7.01063829787234
sti</w>	200	1952	9.76
tom</w>	63	1942	30.825396825396826
ba</w>	124	1916	15.451612903225806
ani</w>	6	1909	318.1666666666667
vie	188	1904	10.127659574468085
men	190	1901	10.005263157894737
lov	160	1877	11.73125
vä	266	1834	6.894736842105263
kráľ	47	1862	39.61702127659574
moj	29	1844	63.58620689655172
jú	636	1843	2.897798742138365
ca</w>	161	1829	11.360248447204969
pro	207	1819	8.78743961352657
ktoré</w>	5	1818	363.6
