subword	prod	cum_freq	idiosyncrasy_index
in</w>	96	47767	497.5729166666667
je</w>	706	30553	43.27620396600567
po	3513	20097	5.720751494449189
st	1686	11060	6.559905100830368
ra	2024	12042	5.949604743083004
je	2087	11611	5.563488260661236
re	1845	15598	8.45420054200542
ov	1766	10237	5.796715741789354
na	2069	16383	7.918318028032866
ri	1196	8777	7.338628762541806
li</w>	1261	13512	10.715305313243457
ka	1084	7481	6.9012915129151295
od	1354	9624	7.107828655834564
se	1266	11634	9.189573459715639
ga</w>	985	15481	15.716751269035534
vo	451	3292	7.299334811529934
ve	1331	12887	9.682193839218632
ni	2812	14976	5.32574679943101
te	1171	12524	10.695132365499573
se</w>	48	12218	254.54166666666666
ne</w>	797	13890	17.427854454203263
ji	420	2499	5.95
za	1940	13348	6.880412371134021
de	1216	11208	9.217105263157896
da	938	10868	11.5863539445629
go	532	4248	7.984962406015038
me	1256	9115	7.257165605095541
mo	903	12662	14.022148394241418
ko	1139	8538	7.49604916593503
jo</w>	1441	11714	8.129077029840388
le	1508	9196	6.098143236074271
da</w>	162	11512	71.06172839506173
ki</w>	378	11259	29.785714285714285
ro	1193	7944	6.658843252305113
na</w>	899	11030	12.269187986651835
la	1514	9076	5.994715984147953
bo	641	8977	14.004680187207489
ti</w>	1011	9592	9.487636003956478
ne	2115	10530	4.9787234042553195
va	1426	10599	7.4326788218793824
bi	796	7742	9.726130653266331
spo	186	1469	7.897849462365591
vi	872	7703	8.833715596330276
li	1500	9862	6.574666666666666
ko</w>	242	8070	33.34710743801653
so</w>	23	9054	393.6521739130435
lj	924	6486	7.01948051948052
ni</w>	920	8819	9.585869565217392
nje	425	4669	10.985882352941177
gospo	34	1910	56.1764705882353
svo	32	3964	123.875
pre	1546	6308	4.0802069857697285
pri	1064	8188	7.695488721804511
gov	128	579	4.5234375
te</w>	1193	7636	6.400670578373847
jih</w>	40	4704	117.6
če	944	5508	5.834745762711864
iz	1077	4691	4.355617455896008
do	850	7399	8.704705882352942
no	980	6950	7.091836734693878
si	629	6925	11.009538950715422
ja</w>	875	6733	7.694857142857143
ud	199	1678	8.4321608040201
ja	1415	6689	4.727208480565371
la</w>	1051	6682	6.357754519505233
pa</w>	43	6387	148.53488372093022
sa	777	6285	8.088803088803088
mi</w>	558	6163	11.044802867383513
mu</w>	394	6042	15.33502538071066
ri</w>	182	5936	32.61538461538461
no</w>	853	5890	6.905041031652989
če</w>	210	3295	15.69047619047619
lo</w>	646	5751	8.902476780185758
ti	870	5626	6.466666666666667
pe	767	5578	7.272490221642764
be	860	5433	6.317441860465117
pra	340	3193	9.391176470588235
ma	1065	5281	4.958685446009389
ta	739	3324	4.497970230040595
sta	434	3292	7.585253456221198
kra	226	5059	22.384955752212388
lo	917	4896	5.339149400218102
že	482	2976	6.174273858921162
to</w>	139	4745	34.13669064748201
ze	477	4495	9.423480083857442
sem</w>	21	4466	212.66666666666666
ru	481	4443	9.237006237006238
si</w>	78	4424	56.717948717948715
za</w>	57	4397	77.14035087719299
ta</w>	583	4369	7.493996569468267
gospod</w>	2	4355	2177.5
to	460	4299	9.345652173913043
po</w>	18	4221	234.5
ob	784	4100	5.229591836734694
njegov	13	4072	313.2307692307692
bi</w>	101	4064	40.23762376237624
či	802	4039	5.0361596009975065
bod	93	4036	43.39784946236559
ke	377	2136	5.665782493368701
ži	521	3901	7.487523992322457
lje	578	3867	6.690311418685121
ali</w>	264	3867	14.647727272727273
sto	377	3799	10.076923076923077
mi	749	3725	4.973297730307076
jim</w>	32	3666	114.5625
di	697	3647	5.232424677187948
pa	734	3613	4.922343324250681
tvo	36	3583	99.52777777777777
vi</w>	235	3580	15.23404255319149
govo	124	3521	28.39516129032258
iz</w>	5	3444	688.8
lov	354	3442	9.72316384180791
sti</w>	319	3407	10.68025078369906
ji</w>	219	3332	15.214611872146119
od</w>	18	3331	185.05555555555554
kor</w>	1	103	103.0
nov	373	3299	8.84450402144772
ih</w>	456	3278	7.18859649122807
me</w>	85	3273	38.50588235294118
kakor</w>	6	3202	533.6666666666666
ča	664	3185	4.796686746987952
pi	661	3117	4.7155824508320725
do</w>	59	3116	52.813559322033896
naj</w>	20	3083	154.15
pro	292	3073	10.523972602739725
še	435	2992	6.87816091954023
vo</w>	229	2979	13.008733624454148
sk	679	2977	4.38438880706922
mo</w>	459	2934	6.392156862745098
hi	253	2871	11.347826086956522
st</w>	277	2861	10.328519855595667
bo</w>	84	2816	33.523809523809526
njih</w>	25	2813	112.52
du	180	2798	15.544444444444444
nje</w>	368	2767	7.519021739130435
de</w>	107	2756	25.757009345794394
ga	651	2754	4.2304147465437785
izra	9	16	1.7777777777777777
izrae	28	2719	97.10714285714286
udi</w>	21	320	15.238095238095237
bil</w>	38	2704	71.15789473684211
di</w>	137	2676	19.532846715328468
rod	259	2669	10.305019305019306
re</w>	150	2665	17.766666666666666
va</w>	337	2620	7.774480712166172
kaj</w>	31	2564	82.70967741935483
raz	946	2555	2.700845665961945
reče</w>	10	2529	252.9
ce	422	2483	5.88388625592417
svoje	12	2452	204.33333333333334
ce</w>	273	2408	8.820512820512821
tudi</w>	2	2395	1197.5
gospod	28	2377	84.89285714285714
ša	398	2354	5.914572864321608
ha	718	2354	3.278551532033426
jo	488	2341	4.797131147540983
gle	142	2337	16.45774647887324
ljud	7	163	23.285714285714285
ka</w>	373	2316	6.20911528150134
ke</w>	280	2309	8.246428571428572
vse</w>	2	2220	1110.0
še</w>	73	2212	30.301369863013697
pravi	142	2212	15.577464788732394
sve	225	2203	9.79111111111111
ju</w>	370	2198	5.940540540540541
ljudst	8	2167	270.875
so	364	2118	5.818681318681318
ci</w>	308	2114	6.863636363636363
či</w>	231	2109	9.12987012987013
ve</w>	200	2092	10.46
daj</w>	36	2079	57.75
le</w>	436	2060	4.724770642201835
vr	290	2032	7.006896551724138
ma</w>	276	2014	7.297101449275362
kaj	27	79	2.925925925925926
oče	47	1967	41.851063829787236
ste</w>	63	1948	30.92063492063492
gi	248	1948	7.854838709677419
kajti</w>	2	1929	964.5
pred</w>	5	1925	385.0
ter</w>	16	1921	120.0625
ca</w>	265	1902	7.1773584905660375
tr	408	1890	4.632352941176471
sa</w>	89	1881	21.134831460674157
bog</w>	3	1879	626.3333333333334
ši</w>	234	1873	8.004273504273504
lu	242	1869	7.723140495867769
svoje</w>	1	1851	1851.0
ši	357	1840	5.15406162464986
deže	39	1835	47.05128205128205
zo	122	1827	14.975409836065573
ker</w>	6	1822	303.6666666666667
med</w>	4	1800	450.0
kar</w>	8	1782	222.75
posta	98	1781	18.1734693877551
tako</w>	3	1762	587.3333333333334
kri	230	1762	7.660869565217391
zi	416	1746	4.197115384615385
mest	32	1746	54.5625
gla	166	1745	10.512048192771084
