subword	prod	cum_freq	idiosyncrasy_index
os</w>	1763	18495	10.490640952921158
de</w>	111	46846	422.036036036036
er	2166	22241	10.268236380424746
qu	398	4022	10.105527638190955
en	2479	18678	7.5344897135941915
es	1319	13479	10.219105382865807
ar	3004	15055	5.011651131824235
el</w>	161	20595	127.9192546583851
co	675	6423	9.515555555555556
as</w>	1535	16226	10.570684039087947
es</w>	883	17650	19.98867497168743
que</w>	45	20918	464.84444444444443
an	1338	12247	9.15321375186846
la</w>	348	22593	64.92241379310344
los</w>	241	19367	80.3609958506224
do</w>	387	5713	14.762273901808786
di	1127	12142	10.773735581188998
ci	1410	14708	10.431205673758866
en</w>	578	19693	34.07093425605537
tr	1008	6919	6.864087301587301
ab	1059	9940	9.386213408876298
al	1327	12928	9.742275810097965
po	490	4850	9.89795918367347
te</w>	588	8389	14.267006802721088
re	1949	10711	5.495638789122627
to	332	3384	10.19277108433735
no</w>	82	12398	151.1951219512195
ho	202	2211	10.945544554455445
ad	1024	4593	4.4853515625
ti	1263	9100	7.205067300079176
am	1034	7345	7.103481624758221
to</w>	365	10661	29.208219178082192
as	986	8115	8.230223123732252
el	703	7231	10.285917496443812
br	432	4254	9.847222222222221
vi	674	9220	13.679525222551929
cu	779	7021	9.012836970474968
par	428	2759	6.446261682242991
so	411	4016	9.771289537712896
lo</w>	317	8874	27.993690851735014
je	115	1820	15.826086956521738
an</w>	1120	8374	7.476785714285715
su	387	2995	7.739018087855297
ri	812	8002	9.854679802955665
ado</w>	778	8008	10.29305912596401
su</w>	3	7885	2628.3333333333335
hi	141	2607	18.48936170212766
se</w>	268	7826	29.20149253731343
con	978	7797	7.97239263803681
si	576	7703	13.37326388888889
va	119	803	6.7478991596638656
pu	284	5622	19.795774647887324
se	430	5546	12.897674418604652
al</w>	134	7476	55.791044776119406
mi	725	7308	10.08
un	437	4605	10.537757437070939
ón</w>	469	7192	15.334754797441365
on</w>	31	321	10.35483870967742
est	332	7187	21.647590361445783
jeho	1	2	2.0
jehova	7	21	3.0
jehovah</w>	5	6829	1365.8
las</w>	113	6711	59.389380530973455
por</w>	8	6635	829.375
ac	602	6540	10.863787375415283
ra</w>	175	3428	19.588571428571427
para</w>	13	6426	494.3076923076923
del</w>	4	6424	1606.0
con</w>	3	6252	2084.0
ía</w>	371	6174	16.641509433962263
jo</w>	45	1053	23.4
ec	651	5934	9.11520737327189
ra	325	3309	10.181538461538462
com	328	2147	6.545731707317073
per	504	2511	4.982142857142857
hab	152	5808	38.21052631578947
bre</w>	35	3080	88.0
in	939	5462	5.8168264110756125
on	655	5540	8.458015267175572
pr	440	2807	6.379545454545455
des	795	5337	6.713207547169811
em	687	5296	7.7088791848617175
sus</w>	3	5254	1751.3333333333333
is	301	2639	8.767441860465116
ar</w>	563	5232	9.293072824156306
ta</w>	389	5107	13.12853470437018
man	195	5081	26.056410256410256
or	716	4865	6.794692737430168
da	90	1781	19.788888888888888
le</w>	310	4655	15.016129032258064
le	391	4620	11.815856777493606
án</w>	598	4564	7.632107023411371
de	574	4452	7.7560975609756095
bi	297	4449	14.97979797979798
tod	6	2127	354.5
él</w>	4	4400	1100.0
or</w>	164	4361	26.591463414634145
tu</w>	7	4239	605.5714285714286
fu	109	4209	38.61467889908257
mu	197	4119	20.908629441624367
dios</w>	7	4146	592.2857142857143
por	84	311	3.7023809523809526
is</w>	453	1769	3.905077262693157
gu	487	4076	8.369609856262834
tu	356	4058	11.398876404494382
ás</w>	401	4036	10.064837905236908
eron</w>	222	3981	17.93243243243243
tros</w>	13	1314	101.07692307692308
porque</w>	3	3800	1266.6666666666667
vo	208	3794	18.240384615384617
un</w>	7	3788	541.1428571428571
como</w>	3	3741	1247.0
jos</w>	25	920	36.8
ha</w>	39	3630	93.07692307692308
fi	495	3513	7.096969696969697
ser	119	3468	29.142857142857142
me</w>	193	3468	17.968911917098445
mi</w>	7	3423	489.0
én</w>	31	3388	109.29032258064517
yo</w>	14	3339	238.5
pero</w>	6	3339	556.5
ada</w>	369	3332	9.029810298102982
entr	134	3285	24.51492537313433
eg	216	3278	15.175925925925926
ando</w>	263	996	3.7870722433460076
qui	234	3231	13.807692307692308
ju	180	3209	17.82777777777778
aci	270	3167	11.72962962962963
er</w>	159	3133	19.70440251572327
da</w>	259	3101	11.972972972972974
ten	357	3072	8.605042016806722
erra</w>	8	261	32.625
pi	338	3023	8.94378698224852
dad</w>	133	3018	22.69172932330827
ces</w>	37	269	7.27027027027027
sal	165	2983	18.078787878787878
tos</w>	185	2942	15.902702702702703
hom	13	2942	226.30769230769232
he</w>	16	2934	183.375
ues	27	2929	108.48148148148148
aron</w>	438	2924	6.675799086757991
ellos</w>	10	2922	292.2
os	459	2866	6.24400871459695
aqu	67	2855	42.61194029850746
era</w>	154	2831	18.383116883116884
hijos</w>	2	2819	1409.5
tierra</w>	1	2803	2803.0
ton	21	60	2.857142857142857
li	485	2781	5.734020618556701
eb	97	793	8.175257731958762
enton	11	26	2.3636363636363638
ará</w>	442	2736	6.1900452488687785
entonces</w>	3	2715	905.0
ente</w>	295	2702	9.159322033898306
ca	269	2688	9.992565055762082
ías</w>	226	2676	11.84070796460177
una</w>	13	2647	203.6153846153846
ante</w>	69	2631	38.130434782608695
tra</w>	23	2623	114.04347826086956
pro	413	2617	6.336561743341404
isra	6	44	7.333333333333333
no	72	2586	35.916666666666664
tam	124	2580	20.806451612903224
sotros</w>	6	2570	428.3333333333333
ch	172	2561	14.88953488372093
israel</w>	4	2556	639.0
dijo</w>	7	2529	361.2857142857143
sobre</w>	1	2520	2520.0
gr	197	2514	12.761421319796954
rey</w>	3	2505	835.0
do	375	2467	6.578666666666667
lu	133	2447	18.398496240601503
cas	102	2434	23.862745098039216
les</w>	163	2417	14.828220858895705
hijo</w>	4	2401	600.25
tes</w>	176	2373	13.482954545454545
éis</w>	440	2319	5.2704545454545455
todos</w>	3	2302	767.3333333333334
cuando</w>	3	2275	758.3333333333334
ha	120	2265	18.875
ed	271	2240	8.265682656826568
endo</w>	148	2239	15.128378378378379
edi	193	2177	11.279792746113989
todo</w>	4	2141	535.25
añ	143	2131	14.902097902097902
mo	163	2126	13.042944785276074
tro</w>	29	2105	72.58620689655173
go</w>	63	2096	33.26984126984127
ados</w>	415	2062	4.968674698795181
és</w>	17	2034	119.6470588235294
aba</w>	295	2004	6.793220338983051
señ	84	2000	23.80952380952381
res	252	1986	7.880952380952381
pueb	7	1961	280.14285714285717
ca</w>	131	1942	14.82442748091603
adr	30	1933	64.43333333333334
cia</w>	118	1929	16.347457627118644
cam	120	1925	16.041666666666668
at	342	1907	5.576023391812866
ll	256	1882	7.3515625
