subword	prod	cum_freq	idiosyncrasy_index
en</w>	1387	23250	16.762797404470078
oc	76	2877	37.85526315789474
och</w>	49	41673	850.469387755102
de	829	12272	14.803377563329313
de</w>	685	21384	31.217518248175182
ha	515	5730	11.12621359223301
om</w>	100	7867	78.67
ll</w>	94	3138	33.38297872340426
fö	130	2214	17.03076923076923
ti	766	6105	7.969973890339426
sk	1207	7596	6.2932891466445735
er</w>	594	9894	16.656565656565657
st	1920	18796	9.789583333333333
tt</w>	205	7333	35.770731707317076
ar	1485	9069	6.107070707070707
er	1682	11154	6.631391200951248
in	933	9141	9.797427652733118
ll	614	6017	9.799674267100977
an	1363	12233	8.97505502567865
som</w>	21	12905	614.5238095238095
ar</w>	1118	10376	9.280858676207513
till</w>	23	14446	628.0869565217391
ig</w>	155	1123	7.245161290322581
är	891	10248	11.501683501683502
or	953	9626	10.100734522560336
är</w>	26	9790	376.53846153846155
on	387	3464	8.950904392764858
sa	842	8175	9.709026128266034
än	791	9979	12.61567635903919
en	817	8281	10.135862913096695
vi	569	9131	16.047451669595784
den</w>	423	11918	28.174940898345152
ck	552	3931	7.121376811594203
för	1493	11665	7.813127930341594
han</w>	15	11218	747.8666666666667
li	910	8076	8.874725274725275
ra	738	8453	11.453929539295393
un	665	7884	11.85563909774436
att</w>	16	10891	680.6875
ja	274	1608	5.868613138686132
an</w>	353	7763	21.991501416430594
för</w>	43	10154	236.13953488372093
tt	785	6877	8.760509554140127
et</w>	789	9882	12.524714828897338
der</w>	209	6083	29.105263157894736
ska	258	1910	7.403100775193798
det</w>	124	9651	77.83064516129032
in</w>	23	1085	47.17391304347826
na</w>	1087	9284	8.540938362465502
me	283	2285	8.074204946996467
jag</w>	8	8990	1123.75
her	47	244	5.191489361702128
så</w>	32	8462	264.4375
herr	23	3029	131.69565217391303
fr	313	3402	10.869009584664537
all	181	4657	25.7292817679558
skall</w>	3	7867	2622.3333333333335
el	858	7800	9.090909090909092
på</w>	17	7793	458.4117647058824
ick	45	476	10.577777777777778
ol	194	1400	7.216494845360825
av</w>	31	7491	241.6451612903226
icke</w>	6	7304	1217.3333333333333
ra</w>	172	7052	41.0
on</w>	178	6937	38.97191011235955
med</w>	14	6775	483.92857142857144
ga</w>	462	6768	14.64935064935065
mm	380	3147	8.281578947368422
ade</w>	573	6701	11.69458987783595
be	951	6655	6.997896950578339
gen</w>	398	6493	16.314070351758794
da</w>	383	6473	16.900783289817234
du</w>	8	6375	796.875
rä	608	6192	10.18421052631579
har</w>	13	6136	472.0
hon	17	97	5.705882352941177
dem</w>	4	5915	1478.75
va</w>	109	5878	53.92660550458716
var	219	5850	26.71232876712329
honom</w>	2	5848	2924.0
gu	187	2695	14.411764705882353
då</w>	13	5472	420.9230769230769
herren</w>	5	5412	1082.4
han	114	1727	15.149122807017545
da	503	5353	10.642147117296222
si	416	5285	12.704326923076923
up	36	146	4.055555555555555
men</w>	48	5189	108.10416666666667
ta	514	5175	10.068093385214008
na	794	5148	6.483627204030227
le	316	5146	16.28481012658228
va	347	2220	6.3976945244956775
så	144	2127	14.770833333333334
hö	359	4814	13.409470752089137
frå	34	608	17.88235294117647
ko	167	1087	6.508982035928144
ter</w>	156	1953	12.51923076923077
dig</w>	50	4589	91.78
mo	174	2105	12.097701149425287
hu	284	4522	15.922535211267606
ut	540	4387	8.124074074074073
äl	345	4445	12.884057971014492
mig</w>	2	4437	2218.5
öv	301	1835	6.096345514950166
gi	261	4356	16.689655172413794
ina</w>	15	4347	289.8
ed	305	4309	14.127868852459017
lä	387	4272	11.03875968992248
sade</w>	32	4266	133.3125
ri	535	4265	7.97196261682243
