subword	prod	cum_freq	idiosyncrasy_index
ог	269	949	3.5278810408921935
ст	718	2204	3.0696378830083564
ві	608	2523	4.149671052631579
ро	629	2378	3.78060413354531
по	1435	3672	2.558885017421603
ого</w>	300	2421	8.07
ва	857	2541	2.964994165694282
не</w>	284	3667	12.911971830985916
на	766	3050	3.9817232375979112
ли</w>	696	3005	4.317528735632184
ри	446	1333	2.9887892376681613
ни	809	2392	2.956736711990111
ть</w>	830	2879	3.468674698795181
ко	583	1918	3.289879931389365
що</w>	7	3226	460.85714285714283
ер	630	1989	3.157142857142857
го	383	1519	3.966057441253264
во	552	2066	3.7427536231884058
ти</w>	665	2877	4.326315789473684
ви	934	2591	2.774089935760171
ли	677	1994	2.945347119645495
ра	488	1293	2.6495901639344264
не	648	1927	2.9737654320987654
ла	361	1047	2.9002770083102494
ка	461	1424	3.0889370932754883
ло	493	1314	2.665314401622718
сь</w>	756	1801	2.382275132275132
на</w>	217	2304	10.617511520737327
за	612	1514	2.473856209150327
од	344	1398	4.063953488372093
до	679	1894	2.7893961708394697
бу	186	1815	9.758064516129032
сь	469	1776	3.786780383795309
му</w>	87	503	5.781609195402299
же</w>	35	1741	49.74285714285714
да	567	1741	3.070546737213404
ре	374	1078	2.8823529411764706
бо</w>	6	1729	288.1666666666667
при	367	1261	3.4359673024523163
то</w>	50	780	15.6
мо	395	1684	4.263291139240506
вш	138	323	2.3405797101449277
ся</w>	24	1650	68.75
ми</w>	363	1643	4.526170798898072
та</w>	91	1636	17.978021978021978
ма	370	1583	4.278378378378378
його</w>	3	1582	527.3333333333334
ен	447	1052	2.353467561521253
чи	458	1110	2.423580786026201
ти	454	1490	3.2819383259911894
су	188	485	2.5797872340425534
чи</w>	82	932	11.365853658536585
ду	368	1410	3.8315217391304346
бо	191	1389	7.272251308900524
вши</w>	303	1350	4.455445544554456
до</w>	14	1310	93.57142857142857
про	408	1302	3.1911764705882355
та	285	1294	4.540350877192982
ста	356	1294	3.634831460674157
си	297	1289	4.34006734006734
те</w>	370	1268	3.427027027027027
ди	446	1250	2.802690582959641
ому</w>	102	606	5.9411764705882355
ере	115	472	4.104347826086957
ве	288	1191	4.135416666666667
як</w>	10	1163	116.3
що	16	33	2.0625
те	291	1149	3.948453608247423
щоб</w>	1	1125	1125.0
ки</w>	153	1112	7.26797385620915
жи	259	1110	4.285714285714286
ів</w>	274	1100	4.014598540145985
йш	50	354	7.08
са	253	1078	4.260869565217392
но	387	1058	2.7338501291989665
мі	274	1051	3.835766423357664
се</w>	12	1021	85.08333333333333
спо	109	252	2.311926605504587
ру	240	1001	4.170833333333333
ба	179	601	3.357541899441341
лю	197	987	5.01015228426396
то	226	982	4.345132743362832
іл	84	337	4.011904761904762
сл	97	390	4.020618556701031
ісу	30	458	15.266666666666667
пи	278	956	3.4388489208633093
би	205	505	2.4634146341463414
хто</w>	3	935	311.6666666666667
зна	157	909	5.789808917197452
па	314	894	2.8471337579617835
лаго	93	351	3.774193548387097
пі	226	882	3.9026548672566372
че</w>	29	222	7.655172413793103
від	297	864	2.909090909090909
їх</w>	18	848	47.111111111111114
нн	397	836	2.1057934508816123
ви</w>	41	836	20.390243902439025
ме	85	341	4.011764705882353
ла</w>	236	832	3.5254237288135593
рі	319	822	2.5768025078369905
ки	305	813	2.6655737704918034
ві</w>	161	784	4.869565217391305
се	136	766	5.632352941176471
коли</w>	8	758	94.75
сто	176	755	4.2897727272727275
ло</w>	145	753	5.1931034482758625
госпо	9	42	4.666666666666667
хо	206	747	3.6262135922330097
пере	213	739	3.4694835680751175
йшо	17	255	15.0
ча	202	735	3.6386138613861387
ни</w>	92	306	3.3260869565217392
ну	347	715	2.0605187319884726
їм</w>	18	714	39.666666666666664
господ	25	710	28.4
га	269	709	2.6356877323420074
чо	53	168	3.169811320754717
де</w>	41	700	17.073170731707318
ля	312	683	2.1891025641025643
як	49	669	13.653061224489797
вс	40	668	16.7
но</w>	148	663	4.47972972972973
від</w>	3	661	220.33333333333334
рече</w>	1	656	656.0
роз	329	650	1.9756838905775076
він</w>	2	649	324.5
іль	53	645	12.169811320754716
со	172	641	3.7267441860465116
оди	89	640	7.191011235955056
пра	152	637	4.190789473684211
йому</w>	1	636	636.0
сть</w>	79	623	7.886075949367089
ха	111	619	5.576576576576577
сти	208	613	2.9471153846153846
них</w>	111	607	5.468468468468468
вас</w>	2	606	303.0
сво	19	603	31.736842105263158
нї</w>	89	599	6.730337078651686
ні</w>	228	599	2.6271929824561404
по</w>	3	597	199.0
де	135	585	4.333333333333333
вам</w>	6	588	98.0
хри	54	586	10.851851851851851
ка</w>	130	586	4.507692307692308
слу	127	583	4.590551181102362
каза	39	583	14.948717948717949
за</w>	14	581	41.5
бог	36	579	16.083333333333332
ня	218	575	2.6376146788990824
ди</w>	82	571	6.963414634146342
кот	25	565	22.6
ро</w>	11	61	5.545454545454546
лові	4	6	1.5
ми	268	543	2.0261194029850746
глаго	21	541	25.761904761904763
чолові	33	539	16.333333333333332
че	126	527	4.182539682539683
го</w>	9	29	3.2222222222222223
бра	76	524	6.894736842105263
му	160	519	3.24375
лись</w>	214	517	2.4158878504672896
вя	163	516	3.165644171779141
ісус</w>	1	511	511.0
ши	126	511	4.055555555555555
него</w>	2	503	251.5
мен	52	502	9.653846153846153
ва</w>	94	499	5.308510638297872
мо</w>	170	498	2.929411764705882
лю</w>	50	495	9.9
сла	103	494	4.796116504854369
про</w>	1	493	493.0
мене</w>	1	493	493.0
бе</w>	4	493	123.25
ючи</w>	181	491	2.712707182320442
йшов</w>	17	483	28.41176470588235
дї	117	483	4.128205128205129
ува	245	482	1.9673469387755103
пе	107	481	4.4953271028037385
во</w>	66	475	7.196969696969697
сло	47	470	10.0
ле	217	469	2.161290322580645
прий	40	466	11.65
нї	105	464	4.419047619047619
ні	137	461	3.3649635036496353
ють</w>	193	447	2.316062176165803
роби	35	447	12.771428571428572
чу	105	446	4.247619047619048
ну</w>	134	446	3.328358208955224
ді	158	441	2.7911392405063293
ду</w>	72	434	6.027777777777778
бі</w>	18	424	23.555555555555557
ний</w>	209	416	1.9904306220095693
вони</w>	1	412	412.0
об	202	400	1.9801980198019802
хи	103	393	3.8155339805825244
каж	34	393	11.558823529411764
ного</w>	110	392	3.5636363636363635
бачи	20	390	19.5
ар	67	390	5.82089552238806
ус	58	389	6.706896551724138
