subword	prod	cum_freq	idiosyncrasy_index
er	30	30	1.0
ge	49	49	1.0
aa	21	21	1.0
ei	14	14	1.0
oo	17	17	1.0
li	8	8	1.0
on	44	44	1.0
ver	47	47	1.0
oe	20	20	1.0
st	16	16	1.0
in	17	17	1.0
hei	2	2	1.0
re	24	24	1.0
be	38	38	1.0
an	19	19	1.0
ig</w>	17	17	1.0
heid</w>	23	23	1.0
er</w>	24	24	1.0
sk	21	21	1.0
de</w>	33	33	1.0
ie	13	13	1.0
ig	7	7	1.0
el	19	19	1.0
ing</w>	23	23	1.0
oor	16	16	1.0
en	21	21	1.0
tr	14	14	1.0
ar	5	5	1.0
vr	5	5	1.0
le	16	16	1.0
gr	9	9	1.0
de	20	20	1.0
we	18	18	1.0
ui	19	19	1.0
oed	2	2	1.0
lo	18	18	1.0
ke</w>	7	7	1.0
waa	8	8	1.0
lik</w>	17	17	1.0
sp	11	11	1.0
se	16	16	1.0
ster	11	11	1.0
ou	8	8	1.0
igheid</w>	14	14	1.0
gev	9	9	1.0
gt	14	14	1.0
dig</w>	10	10	1.0
se</w>	13	13	1.0
ree	2	2	1.0
la	13	13	1.0
el</w>	13	13	1.0
af	13	13	1.0
gen	3	3	1.0
eer	8	8	1.0
aak</w>	6	6	1.0
we</w>	11	11	1.0
vry	11	11	1.0
verd	6	6	1.0
op	11	11	1.0
like</w>	11	11	1.0
har	11	11	1.0
wy	10	10	1.0
ond	4	4	1.0
ou</w>	10	10	1.0
or	10	10	1.0
om	6	6	1.0
ige</w>	10	10	1.0
ger	10	10	1.0
es</w>	10	10	1.0
waar	9	9	1.0
ul	5	5	1.0
pr	5	5	1.0
moed	5	5	1.0
lin	9	9	1.0
lie	4	4	1.0
gel	9	9	1.0
br	9	9	1.0
aar</w>	9	9	1.0
wer	8	8	1.0
voor	8	8	1.0
vl	2	2	1.0
si	8	8	1.0
ma	8	8	1.0
lan	3	3	1.0
kr	8	8	1.0
heili	4	4	1.0
gesk	8	8	1.0
go	2	2	1.0
wi	7	7	1.0
wa	7	7	1.0
va	7	7	1.0
uu	7	7	1.0
te</w>	7	7	1.0
stan	7	7	1.0
ska	3	3	1.0
reek</w>	2	2	1.0
reg	2	2	1.0
ol	2	2	1.0
ke	7	7	1.0
gri	2	2	1.0
ges	7	7	1.0
ged	7	7	1.0
goed	7	7	1.0
ein	3	3	1.0
doo	7	7	1.0
ding</w>	7	7	1.0
aan	6	6	1.0
al	7	7	1.0
wel	6	6	1.0
vloe	6	6	1.0
un	2	2	1.0
ug</w>	6	6	1.0
trou	6	6	1.0
toe	6	6	1.0
sa	6	6	1.0
reu	6	6	1.0
oon</w>	6	6	1.0
onder	6	6	1.0
ont	6	6	1.0
oen</w>	6	6	1.0
oeg</w>	6	6	1.0
ne	6	6	1.0
me	6	6	1.0
maak</w>	6	6	1.0
ien	2	2	1.0
god	6	6	1.0
ers</w>	6	6	1.0
del	6	6	1.0
ber	6	6	1.0
bar	6	6	1.0
aan</w>	6	6	1.0
vol	5	5	1.0
tig</w>	5	5	1.0
te	5	5	1.0
str	5	5	1.0
ste</w>	5	5	1.0
spe	5	5	1.0
sheid</w>	5	5	1.0
regverd	5	5	1.0
ry	5	5	1.0
nie	5	5	1.0
lief	5	5	1.0
lik	5	5	1.0
langri	0	0	0
kk	5	5	1.0
ka	5	5	1.0
ing	5	5	1.0
he	5	5	1.0
gevan	1	1	1.0
gena	5	5	1.0
dr	5	5	1.0
der</w>	5	5	1.0
dan	5	5	1.0
belangri	5	5	1.0
beh	5	5	1.0
breek</w>	5	5	1.0
aar	5	5	1.0
aal</w>	5	5	1.0
af</w>	5	5	1.0
yd	4	4	1.0
wer</w>	4	4	1.0
vrien	4	4	1.0
vertr	4	4	1.0
vers	4	4	1.0
vree	4	4	1.0
vi	4	4	1.0
uldig</w>	4	4	1.0
stig</w>	4	4	1.0
ster</w>	4	4	1.0
ste	4	4	1.0
skap</w>	4	4	1.0
sle	4	4	1.0
sl	4	4	1.0
sie	4	4	1.0
saa	4	4	1.0
ri	4	4	1.0
rein	4	4	1.0
prie	0	0	0
priester	4	4	1.0
oos</w>	4	4	1.0
oof</w>	4	4	1.0
ond</w>	4	4	1.0
om</w>	4	4	1.0
ni	4	4	1.0
moedig</w>	4	4	1.0
mm	4	4	1.0
men	4	4	1.0
kom	4	4	1.0
kli	4	4	1.0
jon	4	4	1.0
ie</w>	4	4	1.0
heilig	4	4	1.0
hoo	4	4	1.0
heer	4	4	1.0
groo	4	4	1.0
gevangen	4	4	1.0
gew	4	4	1.0
geh	4	4	1.0
gun	4	4	1.0
fe	4	4	1.0
