subword	prod	cum_freq	idiosyncrasy_index
sh	19	19	1.0
ri	11	11	1.0
ur	10	10	1.0
re	6	6	1.0
ar	9	9	1.0
ër	5	5	1.0
mi	8	8	1.0
vd	2	2	1.0
ua	2	2	1.0
nd	11	11	1.0
të	5	5	1.0
al	5	5	1.0
në</w>	10	10	1.0
es	6	6	1.0
të</w>	18	18	1.0
je	7	7	1.0
pa	11	11	1.0
dh	8	8	1.0
ti	8	8	1.0
më	1	1	1.0
to	7	7	1.0
ni</w>	11	11	1.0
li	11	11	1.0
ur</w>	11	11	1.0
uri	10	10	1.0
shp	4	4	1.0
ek	4	4	1.0
uar</w>	12	12	1.0
rej	2	2	1.0
rë	6	6	1.0
ra	7	7	1.0
la	7	7	1.0
së</w>	11	11	1.0
ka	3	3	1.0
gj	4	4	1.0
en	7	7	1.0
shë	4	4	1.0
rë</w>	10	10	1.0
mit</w>	10	10	1.0
mi</w>	10	10	1.0
ku	4	4	1.0
drej	4	4	1.0
bes	5	5	1.0
vdek	9	9	1.0
ve</w>	7	7	1.0
jë</w>	9	9	1.0
jnë</w>	6	6	1.0
im</w>	9	9	1.0
he	5	5	1.0
fal	3	3	1.0
ël	1	1	1.0
si	5	5	1.0
ra</w>	8	8	1.0
për	2	2	1.0
mëka	8	8	1.0
mo	5	5	1.0
gë	2	2	1.0
er	5	5	1.0
bi	8	8	1.0
ash	3	3	1.0
vdi	2	2	1.0
var	3	3	1.0
qe	7	7	1.0
min</w>	7	7	1.0
kur	4	4	1.0
in</w>	3	3	1.0
bur	7	7	1.0
uri</w>	6	6	1.0
tër	6	6	1.0
ti</w>	6	6	1.0
te</w>	3	3	1.0
shëm</w>	6	6	1.0
shpre	1	1	1.0
si</w>	6	6	1.0
pas	6	6	1.0
kup	1	1	1.0
je</w>	6	6	1.0
gëz	3	3	1.0
drejtë	3	3	1.0
ëri	3	3	1.0
zb	1	1	1.0
vua	5	5	1.0
vje	2	2	1.0
und	1	1	1.0
um	1	1	1.0
tra	1	1	1.0
th	5	5	1.0
te	1	1	1.0
shpres	5	5	1.0
shë</w>	5	5	1.0
sht	5	5	1.0
ro	5	5	1.0
pre	5	5	1.0
lavdi	5	5	1.0
lë	2	2	1.0
kupto	5	5	1.0
hi	5	5	1.0
dj	1	1	1.0
dash	5	5	1.0
besi	5	5	1.0
ërte	0	0	0
ze	1	1	1.0
ye	1	1	1.0
varf	4	4	1.0
vërte	4	4	1.0
uan</w>	4	4	1.0
tradh	1	1	1.0
shm	0	0	0
shme</w>	4	4	1.0
shi	0	0	0
ris	1	1	1.0
rin</w>	4	4	1.0
or	4	4	1.0
oni</w>	4	4	1.0
oj</w>	4	4	1.0
ohe	4	4	1.0
nin</w>	4	4	1.0
mëshi	4	4	1.0
mund	4	4	1.0
me	4	4	1.0
ja</w>	4	4	1.0
it	1	1	1.0
hum	4	4	1.0
gjël	0	0	0
gu	4	4	1.0
engjël	4	4	1.0
djal	4	4	1.0
de	1	1	1.0
ar</w>	4	4	1.0
ëti	0	0	0
ët</w>	3	3	1.0
ësh	1	1	1.0
ër</w>	3	3	1.0
ënd	0	0	0
zemë	0	0	0
zemëri	3	3	1.0
zj	0	0	0
zjar	3	3	1.0
vjedh	0	0	0
vjedhë	3	3	1.0
vdes	3	3	1.0
vris	3	3	1.0
ver	0	0	0
verb	3	3	1.0
ve	3	3	1.0
uria</w>	3	3	1.0
urti	3	3	1.0
tëri	3	3	1.0
tër</w>	3	3	1.0
tën</w>	3	3	1.0
tradhto	3	3	1.0
tur</w>	3	3	1.0
tar	3	3	1.0
ta</w>	3	3	1.0
shpëti	3	3	1.0
shk	3	3	1.0
sh</w>	3	3	1.0
rës</w>	3	3	1.0
rën</w>	3	3	1.0
rit</w>	3	3	1.0
rye	0	0	0
ri</w>	3	3	1.0
qar	3	3	1.0
përlë	0	0	0
përlëvd	3	3	1.0
përje	3	3	1.0
pël	3	3	1.0
pu	3	3	1.0
ojnë</w>	3	3	1.0
ndi	3	3	1.0
nte</w>	3	3	1.0
ngj	0	0	0
ngja	3	3	1.0
mar	3	3	1.0
li</w>	3	3	1.0
le	3	3	1.0
kuro	3	3	1.0
ku</w>	3	3	1.0
krye	3	3	1.0
jes</w>	3	3	1.0
gëzi	3	3	1.0
falënd	3	3	1.0
fale	3	3	1.0
fa	3	3	1.0
em	3	3	1.0
drejtësi	3	3	1.0
demo	3	3	1.0
do	3	3	1.0
dit	3	3	1.0
as	3	3	1.0
ështi	2	2	1.0
ërit</w>	2	2	1.0
ërve</w>	2	2	1.0
ërb	0	0	0
ërbli	2	2	1.0
ëli	0	0	0
ëlidh	2	2	1.0
çal	2	2	1.0
zbri	2	2	1.0
zbre	2	2	1.0
