subword	prod	cum_freq	idiosyncrasy_index
ու	35	35	1.0
ար	29	29	1.0
ութ	0	0	0
ow	28	28	1.0
ան	62	62	1.0
ar	20	20	1.0
ան</w>	27	27	1.0
tʾ	8	8	1.0
ha	24	24	1.0
ությ	1	1	1.0
հա	24	24	1.0
եր	18	18	1.0
owtʾ	0	0	0
ատ	15	15	1.0
որ	11	11	1.0
kʾ	19	19	1.0
ամ	14	14	1.0
an	30	30	1.0
ախ	9	9	1.0
er	13	13	1.0
ստ	17	17	1.0
ին</w>	27	27	1.0
ts	10	10	1.0
մա	8	8	1.0
ությու	2	2	1.0
ch	5	5	1.0
աղ	8	8	1.0
an</w>	14	14	1.0
ութե	1	1	1.0
ներ	17	17	1.0
մե	2	2	1.0
gh	10	10	1.0
owtʾe	2	2	1.0
ak	8	8	1.0
նը</w>	1	1	1.0
sh	11	11	1.0
owtʾi	0	0	0
owtʾiw	0	0	0
chʾ	7	7	1.0
at	11	11	1.0
ութի	0	0	0
ութիւ	1	1	1.0
ակ	19	19	1.0
or	12	12	1.0
me	10	10	1.0
ած</w>	8	8	1.0
ամբ</w>	0	0	0
tsʾ	11	11	1.0
in</w>	17	17	1.0
նե	16	16	1.0
իր	3	3	1.0
ner	16	16	1.0
am	7	7	1.0
մար	5	5	1.0
el	8	8	1.0
ուր	4	4	1.0
ում</w>	14	14	1.0
բար	14	14	1.0
առ	5	5	1.0
akh	8	8	1.0
սիր	13	13	1.0
ության</w>	13	13	1.0
ով</w>	13	13	1.0
ող	7	7	1.0
նա	13	13	1.0
հավ	5	5	1.0
st	13	13	1.0
ma	13	13	1.0
chʾar	8	8	1.0
չար	8	8	1.0
ություն</w>	12	12	1.0
ութեան</w>	12	12	1.0
եց	12	12	1.0
ությունը</w>	11	11	1.0
ոյ	11	11	1.0
շն	3	3	1.0
մեռ	11	11	1.0
բան	4	4	1.0
owtʾiwn	1	1	1.0
owtʾean</w>	11	11	1.0
ir	2	2	1.0
սկ	4	4	1.0
ուրախ	10	10	1.0
ութեամբ</w>	10	10	1.0
շմար	0	0	0
շմարտ	0	0	0
մեղ	10	10	1.0
մաստ	0	0	0
ճշմարտ	10	10	1.0
իմաստ	10	10	1.0
ել	4	4	1.0
այ	4	4	1.0
shn	3	3	1.0
pʾ	4	4	1.0
owtʾiwnĕ</w>	10	10	1.0
oy	10	10	1.0
ov</w>	10	10	1.0
haw	1	1	1.0
փառ	9	9	1.0
ւատ	0	0	0
վախ	9	9	1.0
պար	8	9	1.125
ութիւնը</w>	9	9	1.0
ութիւն</w>	9	9	1.0
որ</w>	8	9	1.125
հաւատ	9	9	1.0
կա	9	9	1.0
ին	9	9	1.0
էն</w>	9	9	1.0
ēn</w>	9	9	1.0
sir	9	9	1.0
par	9	9	1.0
owtʾiwn</w>	9	9	1.0
owtʾeam	0	0	0
owtʾeamp</w>	9	9	1.0
owr	9	9	1.0
meṛ	9	9	1.0
kʾ</w>	9	9	1.0
hawat	3	3	1.0
dz</w>	3	3	1.0
art	9	9	1.0
ag	9	9	1.0
տե	8	8	1.0
ուն</w>	8	8	1.0
ույ	8	8	1.0
շնոր	3	3	1.0
մահ	8	8	1.0
հավատ	8	8	1.0
կոր	8	8	1.0
խաղ	0	0	0
խաղաղ	8	8	1.0
գե	6	8	1.3333333333333333
աւ	8	8	1.0
ար</w>	8	8	1.0
ազ	8	8	1.0
own</w>	8	8	1.0
in	8	8	1.0
aṛ	2	2	1.0
ar</w>	8	8	1.0
քի</w>	7	7	1.0
րե	2	2	1.0
պատ	7	7	1.0
ությամբ</w>	7	7	1.0
ու</w>	0	0	0
շտ	2	2	1.0
նի</w>	7	7	1.0
հե	7	7	1.0
լու</w>	7	7	1.0
ից</w>	7	7	1.0
իջ	7	7	1.0
ել</w>	7	7	1.0
բանտ	7	7	1.0
ավ	7	7	1.0
ապ	7	7	1.0
ահ	7	7	1.0
te	7	7	1.0
shnor	7	7	1.0
ne	7	7	1.0
hag	7	7	1.0
ghkʾ	7	7	1.0
eli</w>	7	7	1.0
ցա	6	6	1.0
ողոր	1	1	1.0
ոսկ	6	6	1.0
ները</w>	6	6	1.0
կր	6	6	1.0
կար	6	6	1.0
ելի</w>	6	6	1.0
են</w>	6	6	1.0
արդ	6	6	1.0
այր	6	6	1.0
vakh	6	6	1.0
pʾaṛ	6	6	1.0
ogh	6	6	1.0
nē</w>	6	6	1.0
hawatkʾ	6	6	1.0
han	6	6	1.0
gr	6	6	1.0
etsʾ	6	6	1.0
aw</w>	6	6	1.0
aw	6	6	1.0
adz</w>	6	6	1.0
քը</w>	5	5	1.0
փր	0	0	0
փրկ	5	5	1.0
ցած</w>	5	5	1.0
րեշտ	0	0	0
ված</w>	5	5	1.0
սպ	5	5	1.0
ուս	5	5	1.0
ողորմ	5	5	1.0
շնորհ	5	5	1.0
հրեշտ	5	5	1.0
լա	5	5	1.0
իք</w>	5	5	1.0
ըն	5	5	1.0
էր</w>	5	5	1.0
զմ	0	0	0
երե	0	0	0
երեզմ	5	5	1.0
