subword	prod	cum_freq	idiosyncrasy_index
ра	20	20	1.0
ни	13	13	1.0
ст	10	10	1.0
ла	10	10	1.0
та</w>	25	25	1.0
ве	22	22	1.0
те</w>	13	13	1.0
ре	13	13	1.0
об	11	11	1.0
ос	4	4	1.0
ва	11	11	1.0
по	26	26	1.0
да	13	13	1.0
ни</w>	22	22	1.0
не	26	26	1.0
ле	14	14	1.0
на	20	20	1.0
ър	6	6	1.0
го	9	9	1.0
ро	9	9	1.0
но</w>	23	23	1.0
ние</w>	22	22	1.0
то</w>	14	14	1.0
ост</w>	11	11	1.0
ите</w>	17	17	1.0
за	20	20	1.0
бе	10	10	1.0
раз	16	16	1.0
бла	3	3	1.0
ят</w>	17	17	1.0
де	11	11	1.0
бо	12	12	1.0
ли	15	15	1.0
ви	15	15	1.0
ха</w>	14	14	1.0
пра	1	1	1.0
лу	3	3	1.0
во	14	14	1.0
ри	5	5	1.0
лю	13	13	1.0
чи	7	7	1.0
ум	9	9	1.0
пре	9	9	1.0
благо	5	5	1.0
стра	5	5	1.0
про	4	4	1.0
ло	7	7	1.0
ка	11	11	1.0
же	11	11	1.0
доб	6	6	1.0
вя	6	6	1.0
ва</w>	11	11	1.0
ъз	2	2	1.0
праве	2	2	1.0
па	5	5	1.0
на</w>	10	10	1.0
мо	10	10	1.0
ко	6	6	1.0
из	10	10	1.0
без	10	10	1.0
би	5	5	1.0
че	5	5	1.0
ча	3	3	1.0
ръ	9	9	1.0
оби	3	3	1.0
мър	3	3	1.0
ка</w>	9	9	1.0
до	9	9	1.0
ъд	1	1	1.0
ува	5	5	1.0
те	4	4	1.0
сти	4	4	1.0
ст</w>	8	8	1.0
сле	5	5	1.0
ра</w>	8	8	1.0
правед	8	8	1.0
ниц	8	8	1.0
ма	5	5	1.0
да</w>	8	8	1.0
въз	8	8	1.0
ви</w>	8	8	1.0
хва	4	4	1.0
стта</w>	7	7	1.0
ств	3	3	1.0
пе	3	3	1.0
от	7	7	1.0
ност</w>	7	7	1.0
мъд	3	3	1.0
луд	0	0	0
ля	4	4	1.0
ли</w>	7	7	1.0
ето</w>	1	1	1.0
гла	7	7	1.0
благода	7	7	1.0
блуд	7	7	1.0
би</w>	7	7	1.0
сла	6	6	1.0
ск	6	6	1.0
си	3	3	1.0
се	6	6	1.0
све	6	6	1.0
пла	6	6	1.0
обича	6	6	1.0
нието</w>	6	6	1.0
не</w>	6	6	1.0
мърт	6	6	1.0
ми	6	6	1.0
ла</w>	6	6	1.0
ен</w>	6	6	1.0
дя	6	6	1.0
гре	2	2	1.0
гос	2	2	1.0
га	2	2	1.0
ата</w>	6	6	1.0
ът</w>	5	5	1.0
ща	2	2	1.0
чист	5	5	1.0
ух	1	1	1.0
уби	5	5	1.0
свя	5	5	1.0
пад	5	5	1.0
при	5	5	1.0
пр	2	2	1.0
ната</w>	5	5	1.0
ня	5	5	1.0
но	5	5	1.0
ме	5	5	1.0
йте</w>	5	5	1.0
жи	5	5	1.0
добр	5	5	1.0
ден</w>	5	5	1.0
ди</w>	5	5	1.0
веч	5	5	1.0
ват</w>	5	5	1.0
вър	5	5	1.0
ърпе	0	0	0
ще	4	4	1.0
ши	4	4	1.0
чести	4	4	1.0
це	4	4	1.0
ухо	0	0	0
тел	4	4	1.0
търпе	4	4	1.0
тъ	1	1	1.0
тре	4	4	1.0
тр	0	0	0
тру	4	4	1.0
ти</w>	4	4	1.0
ство</w>	4	4	1.0
сто	4	4	1.0
съ	4	4	1.0
сра	1	1	1.0
слу	4	4	1.0
прост	4	4	1.0
поко	4	4	1.0
обо	0	0	0
нищ	1	1	1.0
ните</w>	4	4	1.0
мъдр	4	4	1.0
жа	4	4	1.0
дале	4	4	1.0
духо	4	4	1.0
дни</w>	4	4	1.0
греш	4	4	1.0
госло	0	0	0
гу	4	4	1.0
гр	4	4	1.0
ге	4	4	1.0
вобо	1	1	1.0
бога	4	4	1.0
благосло	4	4	1.0
ан	4	4	1.0
ше</w>	3	3	1.0
хвал	3	3	1.0
хува	0	0	0
ху	3	3	1.0
унищ	0	0	0
унищо	3	3	1.0
уго	3	3	1.0
тъм	3	3	1.0
тост</w>	3	3	1.0
тите</w>	3	3	1.0
ти	3	3	1.0
та	3	3	1.0
страхува	3	3	1.0
страда	3	3	1.0
срам	3	3	1.0
слеп	3	3	1.0
сиро	0	0	0
сирома	3	3	1.0
сля	3	3	1.0
си</w>	3	3	1.0
свобо	3	3	1.0
рие</w>	3	3	1.0
разум	3	3	1.0
рад	3	3	1.0
проща	3	3	1.0
преда	3	3	1.0
прав	3	3	1.0
прос	3	3	1.0
