subword	prod	cum_freq	idiosyncrasy_index
st	2146	17476	8.143522833178006
ne	4288	22689	5.291277985074627
po	3280	23768	7.246341463414634
en	1583	6453	4.076437144662034
ra	1410	10022	7.107801418439716
ro	1247	7917	6.348837209302325
lo	1096	8191	7.473540145985401
do	1048	8730	8.330152671755725
ch	2189	11175	5.105070808588397
la	1099	4763	4.3339399454049135
od	896	4589	5.121651785714286
li	1267	9545	7.533543804262036
vě	693	6955	10.036075036075037
za	1598	8113	5.076971214017522
ní</w>	656	6310	9.61890243902439
ve	687	4336	6.311499272197962
il	1309	5740	4.385026737967914
va	1507	7063	4.686794956867949
sti</w>	147	1926	13.10204081632653
mo	846	5967	7.053191489361702
le	1320	7021	5.318939393939394
no	1128	9734	8.629432624113475
na	1551	8993	5.79819471308833
ení</w>	289	2617	9.055363321799309
ko	1302	9896	7.600614439324117
ch</w>	485	9423	19.42886597938144
ří	448	4889	10.912946428571429
vo	676	6471	9.572485207100591
st</w>	135	7370	54.592592592592595
lá	560	2350	4.196428571428571
ho</w>	243	10833	44.58024691358025
bo	539	6652	12.341372912801484
ře	745	7936	10.65234899328859
ého</w>	381	6210	16.299212598425196
ví</w>	142	2444	17.211267605633804
dě	647	5582	8.627511591962906
dob	135	1248	9.244444444444444
či	376	4520	12.02127659574468
ud	367	7992	21.77656675749319
pra	184	2462	13.380434782608695
zá	253	2291	9.055335968379447
tr	447	2133	4.771812080536913
ti</w>	1195	10986	9.193305439330544
pa	757	8725	11.525759577278732
sm	316	2328	7.367088607594937
li</w>	1692	12702	7.50709219858156
ví	486	3611	7.4300411522633745
vá	916	5751	6.278384279475983
te	1021	17614	17.251714005876593
il</w>	607	6258	10.30971993410214
roz	1053	3100	2.943969610636277
pe	234	936	4.0
ný</w>	246	1581	6.426829268292683
né</w>	329	2115	6.428571428571429
vy	1694	6274	3.7036599763872493
tě	365	2991	8.194520547945206
te</w>	1219	5133	4.210828547990156
ství</w>	59	1628	27.593220338983052
ně	637	6319	9.919937205651491
ka	679	3916	5.767304860088365
sta	618	4492	7.268608414239482
rá	687	8187	11.91703056768559
ně</w>	274	3689	13.463503649635037
ni	550	5267	9.576363636363636
mi	279	1145	4.103942652329749
lu	548	4449	8.11861313868613
vi	588	4797	8.158163265306122
uj	1262	2753	2.1814580031695723
sle	98	396	4.040816326530612
ní	833	6376	7.654261704681873
milo	38	669	17.605263157894736
ky</w>	263	3487	13.258555133079849
ých</w>	675	5218	7.730370370370371
