subword	prod	cum_freq	idiosyncrasy_index
ig	5	5	1.0
de	17	17	1.0
he	7	7	1.0
re	18	18	1.0
or	5	5	1.0
lig	7	7	1.0
st	26	26	1.0
de</w>	38	38	1.0
for	28	28	1.0
hed</w>	20	20	1.0
sk	22	22	1.0
ve	13	13	1.0
an	22	22	1.0
ls	8	8	1.0
en	22	22	1.0
in	14	14	1.0
be	25	25	1.0
ær	8	8	1.0
ig</w>	8	8	1.0
er</w>	20	20	1.0
en</w>	20	20	1.0
lse</w>	11	11	1.0
il	4	4	1.0
gt	7	7	1.0
gr	4	4	1.0
fr	3	3	1.0
un	9	9	1.0
mo	9	9	1.0
dig	0	0	0
tr	7	7	1.0
la	7	7	1.0
ne</w>	12	12	1.0
et</w>	16	16	1.0
aa	12	12	1.0
den</w>	15	15	1.0
lige</w>	10	10	1.0
er	13	13	1.0
tt	8	8	1.0
ge</w>	14	14	1.0
fa	4	4	1.0
ede</w>	13	13	1.0
ud	5	5	1.0
mm	6	6	1.0
ligt</w>	12	12	1.0
hel	12	12	1.0
ge	8	8	1.0
der</w>	12	12	1.0
den	5	5	1.0
ska	11	11	1.0
ret	4	4	1.0
ve</w>	10	10	1.0
sp	4	4	1.0
rø	10	10	1.0
re</w>	10	10	1.0
lighed</w>	10	10	1.0
lig</w>	10	10	1.0
ha	10	10	1.0
dø	10	10	1.0
br	6	6	1.0
æn	3	3	1.0
ta	6	6	1.0
ste</w>	9	9	1.0
sy	4	4	1.0
se	9	9	1.0
modig	1	1	1.0
lø	9	9	1.0
ga	9	9	1.0
fry	3	3	1.0
des</w>	9	9	1.0
vil	3	3	1.0
ren</w>	8	8	1.0
op	8	8	1.0
ne	8	8	1.0
li	8	8	1.0
jæ	8	8	1.0
is	5	5	1.0
forst	8	8	1.0
ba	4	4	1.0
vær	7	7	1.0
tro	4	4	1.0
til	2	2	1.0
te</w>	7	7	1.0
retf	0	0	0
retfær	2	2	1.0
kk	1	1	1.0
her	7	7	1.0
ho	4	4	1.0
gi	2	2	1.0
fri	7	7	1.0
dens</w>	7	7	1.0
dig</w>	7	7	1.0
øde	6	6	1.0
ægt	6	6	1.0
ven	6	6	1.0
spo	1	1	1.0
san	1	1	1.0
ret</w>	6	6	1.0
rm	2	2	1.0
mme</w>	6	6	1.0
lighe	6	6	1.0
ing</w>	6	6	1.0
ige</w>	6	6	1.0
hj	6	6	1.0
gra	6	6	1.0
gt</w>	6	6	1.0
go	2	2	1.0
frygt	6	6	1.0
fal	6	6	1.0
fæn	2	2	1.0
fre	6	6	1.0
ev	6	6	1.0
dy	3	3	1.0
bl	2	2	1.0
ør	5	5	1.0
vild	2	2	1.0
ul	5	5	1.0
tilgi	5	5	1.0
syn	5	5	1.0
ste	5	5	1.0
spott	5	5	1.0
sand	5	5	1.0
st</w>	5	5	1.0
sla	5	5	1.0
retfærdig	5	5	1.0
ræ	5	5	1.0
ra	5	5	1.0
om</w>	5	5	1.0
nå	5	5	1.0
ni	5	5	1.0
ligg	5	5	1.0
lsk	1	1	1.0
kær	5	5	1.0
jor	5	5	1.0
inde	5	5	1.0
ighed</w>	5	5	1.0
grun	5	5	1.0
gen</w>	5	5	1.0
forla	5	5	1.0
ens</w>	5	5	1.0
delse</w>	5	5	1.0
øre	4	4	1.0
år	4	4	1.0
ver</w>	4	4	1.0
ven</w>	4	4	1.0
vels	0	0	0
velsig	4	4	1.0
vre	4	4	1.0
vi	4	4	1.0
ut	1	1	1.0
ure	4	4	1.0
uk	4	4	1.0
stan	4	4	1.0
sa	4	4	1.0
rer</w>	4	4	1.0
ry	4	4	1.0
ner</w>	4	4	1.0
naa	4	4	1.0
modighed</w>	4	4	1.0
modige</w>	4	4	1.0
læ	4	4	1.0
le</w>	4	4	1.0
kj	4	4	1.0
ke</w>	4	4	1.0
hy	1	1	1.0
hun	4	4	1.0
græ	4	4	1.0
god	4	4	1.0
gud	4	4	1.0
fæng	4	4	1.0
forr	4	4	1.0
enge	4	4	1.0
elsk	4	4	1.0
dige</w>	4	4	1.0
der	4	4	1.0
delige</w>	4	4	1.0
ds</w>	4	4	1.0
ds	4	4	1.0
dne</w>	4	4	1.0
bry	4	4	1.0
blin	4	4	1.0
barm	4	4	1.0
øj	3	3	1.0
ækk	3	3	1.0
ån	3	3	1.0
åbe	3	3	1.0
yr	3	3	1.0
ym	3	3	1.0
vilddy	3	3	1.0
velse</w>	3	3	1.0
vel	3	3	1.0
vis	3	3	1.0
van	3	3	1.0
va	3	3	1.0
utu	3	3	1.0
udho	0	0	0
udhol	3	3	1.0
uhy	3	3	1.0
trofa	3	3	1.0
tro</w>	3	3	1.0
takk	3	3	1.0
