subword	prod	cum_freq	idiosyncrasy_index
er	1834	24420	13.31515812431843
en</w>	1932	81424	42.14492753623188
ge	1837	20424	11.118127381600436
ver	1196	10612	8.872909698996656
he	527	34427	65.32637571157495
ij	489	19549	39.97750511247444
aa	897	12798	14.267558528428093
st	1833	19368	10.566284779050736
on	919	14436	15.708378672470076
in	1095	9252	8.449315068493151
ch	236	2673	11.326271186440678
hei	49	387	7.8979591836734695
el	1137	10827	9.522427440633246
re	750	6367	8.489333333333333
oo	580	20498	35.34137931034483
heid</w>	120	1118	9.316666666666666
ig	345	2393	6.936231884057971
oe	703	12001	17.07112375533428
an	1059	20383	19.247403210576014
be	1277	11342	8.88175411119812
ing</w>	441	5874	13.319727891156463
ie	661	16299	24.65809379727685
de</w>	922	55426	60.11496746203905
den</w>	964	16969	17.602697095435683
ig</w>	245	2522	10.293877551020408
en	1302	11601	8.910138248847927
sch	510	3750	7.352941176470588
ro	409	7094	17.34474327628362
cht	582	5190	8.917525773195877
lij	102	1605	15.735294117647058
oor	389	4909	12.619537275064268
le	795	12853	16.167295597484276
igheid</w>	53	385	7.264150943396227
gen</w>	574	12369	21.548780487804876
rij	224	2585	11.540178571428571
al	552	15289	27.69746376811594
ui	416	8082	19.427884615384617
la	354	3795	10.720338983050848
er</w>	586	20154	34.39249146757679
ken</w>	522	6510	12.471264367816092
gen	345	4041	11.71304347826087
uw	247	1909	7.728744939271255
or	381	6897	18.10236220472441
aar	197	3178	16.131979695431472
ar	607	5180	8.533772652388798
oed	86	709	8.244186046511627
st</w>	290	4273	14.73448275862069
elij	45	303	6.733333333333333
der	338	5568	16.473372781065088
vre	51	795	15.588235294117647
ra	482	7420	15.394190871369295
ze	290	8394	28.944827586206898
we	502	8275	16.48406374501992
tro	96	1057	11.010416666666666
ster	159	2141	13.465408805031446
gev	152	2587	17.019736842105264
aard	46	259	5.630434782608695
ne	306	3982	13.013071895424837
lie	121	2111	17.446280991735538
cht</w>	240	4636	19.316666666666666
ou	207	3188	15.400966183574878
del	202	1344	6.653465346534653
ank	46	142	3.0869565217391304
aar</w>	97	15886	163.77319587628867
zen</w>	122	1558	12.770491803278688
vr	48	1430	29.791666666666668
trouw	49	677	13.816326530612244
ont	254	1387	5.460629921259843
over	268	1700	6.343283582089552
moed	63	489	7.761904761904762
lo	317	2512	7.924290220820189
eer	190	1378	7.252631578947368
te</w>	340	11463	33.71470588235294
sp	463	2757	5.954643628509719
recht	66	484	7.333333333333333
onge	71	531	7.47887323943662
ma	343	4722	13.7667638483965
lijk</w>	59	733	12.423728813559322
kw	101	1862	18.435643564356436
heil	42	945	22.5
elijk</w>	106	1084	10.226415094339623
ee	281	4054	14.427046263345195
dr	235	2005	8.53191489361702
zon	61	1830	30.0
za	171	9163	53.58479532163743
verst	52	199	3.826923076923077
vrij	46	479	10.41304347826087
ten</w>	702	9783	13.935897435897436
scha	131	1440	10.992366412213741
ol	151	1134	7.509933774834437
od	85	1220	14.352941176470589
men</w>	239	5125	21.443514644351463
lijk	101	947	9.376237623762377
lief	30	595	19.833333333333332
loo	105	924	8.8
ke</w>	40	853	21.325
igen</w>	100	1883	18.83
ige</w>	211	2364	11.203791469194313
god	43	975	22.674418604651162
dig</w>	56	468	8.357142857142858
de	314	4097	13.047770700636942
aan</w>	136	8213	60.38970588235294
wij	158	2104	13.316455696202532
vree	23	259	11.26086956521739
ven</w>	206	4951	24.033980582524272
vaard	20	38	1.9
ur	327	2741	8.382262996941895
te	302	5073	16.79801324503311
sheid</w>	18	362	20.11111111111111
rechtvaard	12	401	33.416666666666664
op	565	3711	6.568141592920354
ien	125	1318	10.544
ij</w>	62	27264	439.741935483871
ier	151	1314	8.701986754966887
gevan	1	163	163.0
ged	96	1476	15.375
ger	277	1828	6.59927797833935
ende</w>	228	963	4.223684210526316
do	126	3394	26.936507936507937
ding</w>	59	583	9.88135593220339
bel	133	1084	8.150375939849624
af	358	1837	5.131284916201118
zegen	10	305	30.5
zi	176	5459	31.017045454545453
ze</w>	66	4442	67.3030303030303
wel	78	507	6.5
wa	192	8542	44.489583333333336
verhe	9	45	5.0
vol	139	4350	31.294964028776977
vl	34	364	10.705882352941176
vloe	42	431	10.261904761904763
val	69	651	9.434782608695652
ul	135	5286	39.15555555555556
sla	130	1060	8.153846153846153
rui	144	974	6.763888888888889
roo	125	1208	9.664
roe	150	1330	8.866666666666667
raa	144	1055	7.326388888888889
lin	91	631	6.934065934065934
har	102	929	9.107843137254902
gevangen	16	198	12.375
goed	21	258	12.285714285714286
ft</w>	100	4179	41.79
ff	144	1861	12.92361111111111
elen</w>	109	1216	11.155963302752294
dank	17	177	10.411764705882353
beg	54	948	17.555555555555557
bre	113	1492	13.20353982300885
baar</w>	55	292	5.3090909090909095
zond	23	872	37.91304347826087
verstan	11	238	21.636363636363637
veroor	13	136	10.461538461538462
voor	245	2003	8.175510204081633
uw</w>	38	6444	169.57894736842104
tre	122	844	6.918032786885246
toor	4	342	85.5
sle	58	644	11.10344827586207
sc	166	1190	7.168674698795181
rein	31	191	6.161290322580645
raf</w>	6	248	41.333333333333336
ri	228	2272	9.964912280701755
pen</w>	220	2382	10.827272727272728
overw	21	194	9.238095238095237
onger	17	155	9.117647058823529
onder	164	1197	7.298780487804878
me</w>	37	343	9.27027027027027
liefhe	5	89	17.8
laster	5	7	1.4
le</w>	36	2812	78.11111111111111
keer	35	487	13.914285714285715
iet	57	1908	33.473684210526315
is</w>	77	6877	89.31168831168831
ha	346	4180	12.080924855491329
gelijk</w>	8	244	30.5
gee	34	1554	45.705882352941174
end</w>	222	920	4.1441441441441444
elijke</w>	82	664	8.097560975609756
eeuw	9	368	40.888888888888886
dor	39	297	7.615384615384615
