subword	prod	cum_freq	idiosyncrasy_index
in	677	13443	19.85672082717873
ed</w>	865	16700	19.30635838150289
es	281	5625	20.01779359430605
er	536	18929	35.315298507462686
en	460	4833	10.506521739130434
ing</w>	501	10602	21.161676646706585
ea	305	9846	32.281967213114754
or	299	13011	43.51505016722408
ou	192	12555	65.390625
an	524	64976	124.0
on	409	10402	25.43276283618582
ri	392	6315	16.10969387755102
st	393	5687	14.470737913486005
at	465	9362	20.133333333333333
re	513	10104	19.695906432748536
ess</w>	80	811	10.1375
ly</w>	227	3154	13.894273127753303
bl	144	2114	14.680555555555555
un	214	11922	55.71028037383178
on</w>	192	10006	52.114583333333336
ro	197	6802	34.52791878172589
li	386	6456	16.72538860103627
ion</w>	50	812	16.24
ar	543	9537	17.56353591160221
de	368	4897	13.307065217391305
is	292	5884	20.15068493150685
th	460	131815	286.55434782608694
ce</w>	72	3623	50.31944444444444
er</w>	417	16838	40.378896882494004
ur	147	3070	20.8843537414966
se	275	9175	33.36363636363637
ty</w>	49	1604	32.734693877551024
ra	317	6664	21.022082018927446
ness</w>	67	1164	17.37313432835821
il	288	10349	35.93402777777778
fu	59	693	11.745762711864407
em	195	2371	12.158974358974358
ble</w>	37	450	12.162162162162161
om	97	1948	20.082474226804123
fi	133	3577	26.894736842105264
al	409	25318	61.90220048899756
ru	104	1366	13.134615384615385
ov	50	2402	48.04
gh	129	5445	42.2093023255814
el	349	4709	13.492836676217765
con	181	2142	11.834254143646408
sh	551	17800	32.3049001814882
ent</w>	85	3651	42.95294117647059
ai	198	8741	44.14646464646464
lea	44	604	13.727272727272727
di	210	2908	13.847619047619048
se</w>	81	6240	77.03703703703704
ous</w>	53	539	10.169811320754716
ge</w>	47	951	20.23404255319149
for	136	5696	41.88235294117647
ch	499	6675	13.376753507014028
ol	199	4958	24.91457286432161
be	234	7806	33.35897435897436
ation</w>	84	1665	19.821428571428573
al</w>	86	652	7.5813953488372094
pro	123	1726	14.032520325203253
la	231	3997	17.303030303030305
es</w>	548	8795	16.0492700729927
ul	85	989	11.635294117647058
ti	259	3791	14.637065637065637
ful</w>	45	446	9.911111111111111
ex	96	741	7.71875
si	165	3100	18.78787878787879
per	133	1136	8.541353383458647
com	69	3965	57.46376811594203
ac	148	2929	19.79054054054054
th</w>	817	18514	22.6609547123623
ent	116	1610	13.879310344827585
en</w>	134	14126	105.41791044776119
am	298	7646	25.65771812080537
ted</w>	140	1744	12.457142857142857
st</w>	137	7096	51.7956204379562
oo	116	4449	38.35344827586207
est	82	1512	18.4390243902439
ev	78	5490	70.38461538461539
ed	173	1383	7.994219653179191
der	65	846	13.015384615384615
ast	87	889	10.218390804597702
ter	114	1253	10.991228070175438
sp	146	3407	23.335616438356166
im	106	1265	11.933962264150944
able</w>	34	416	12.235294117647058
ve</w>	52	7611	146.3653846153846
ff	64	1967	30.734375
ure</w>	34	546	16.058823529411764
tion</w>	56	574	10.25
qu	89	953	10.707865168539326
ic	75	5488	73.17333333333333
est</w>	304	2740	9.013157894736842
dis	102	686	6.7254901960784315
des	46	686	14.91304347826087
ate</w>	48	782	16.291666666666668
ance</w>	37	696	18.81081081081081
ver	70	1143	16.32857142857143
ting</w>	78	327	4.1923076923076925
sed</w>	64	1368	21.375
