subword	prod	cum_freq	idiosyncrasy_index
ان</w>	32	32	1.0
ان	18	18	1.0
ای	10	10	1.0
ار	11	11	1.0
اد	12	12	1.0
نا	10	10	1.0
ست	9	9	1.0
ار</w>	12	12	1.0
دو	15	15	1.0
نی	5	5	1.0
لا	7	7	1.0
را	11	11	1.0
ده</w>	10	10	1.0
بی	13	13	1.0
رو	13	13	1.0
مح	7	7	1.0
تر	8	8	1.0
بر	15	15	1.0
ید</w>	14	14	1.0
مان	7	7	1.0
اری</w>	7	7	1.0
ین</w>	9	9	1.0
وی	6	6	1.0
ند</w>	13	13	1.0
ری	7	7	1.0
ای</w>	6	6	1.0
ند	3	3	1.0
مت</w>	11	11	1.0
فت	3	3	1.0
ست</w>	9	9	1.0
می	3	3	1.0
شت	5	5	1.0
کو	4	4	1.0
مت	6	6	1.0
سو	6	6	1.0
دی	9	9	1.0
ال	6	6	1.0
اد</w>	6	6	1.0
اب	9	9	1.0
ور</w>	8	8	1.0
محب	1	1	1.0
مر	5	5	1.0
لی	8	8	1.0
در	3	3	1.0
خش	5	5	1.0
انی</w>	8	8	1.0
پی	6	6	1.0
ویی</w>	4	4	1.0
می</w>	7	7	1.0
مان</w>	7	7	1.0
زی	7	7	1.0
ران</w>	7	7	1.0
دی</w>	7	7	1.0
جا	4	4	1.0
تم	7	7	1.0
ایی</w>	7	7	1.0
ایمان	7	7	1.0
های</w>	6	6	1.0
نیك	6	6	1.0
نی</w>	6	6	1.0
مک	3	3	1.0
فر	3	3	1.0
سی	6	6	1.0
افت	2	2	1.0
گری	3	3	1.0
گر	3	3	1.0
گان</w>	5	5	1.0
پا	2	2	1.0
ندان</w>	5	5	1.0
نه</w>	5	5	1.0
مق	5	5	1.0
فه	5	5	1.0
شی</w>	5	5	1.0
شک	5	5	1.0
زل	3	3	1.0
رب	5	5	1.0
درست	5	5	1.0
حک	5	5	1.0
تو	5	5	1.0
تر</w>	5	5	1.0
به	5	5	1.0
انه</w>	5	5	1.0
آز	5	5	1.0
گین</w>	4	4	1.0
گنا	1	1	1.0
کاری</w>	4	4	1.0
کار</w>	4	4	1.0
پار	0	0	0
پارس	4	4	1.0
ود	1	1	1.0
نده</w>	4	4	1.0
محبت</w>	4	4	1.0
لای</w>	4	4	1.0
لع	4	4	1.0
كو	4	4	1.0
كش	1	1	1.0
فر</w>	4	4	1.0
سی</w>	4	4	1.0
ذا	4	4	1.0
دا	4	4	1.0
خو	4	4	1.0
حس	4	4	1.0
ترس</w>	4	4	1.0
تی</w>	4	4	1.0
تق	4	4	1.0
بین	4	4	1.0
ایش</w>	4	4	1.0
افتاد	4	4	1.0
امی	4	4	1.0
ام	4	4	1.0
از	4	4	1.0
یم</w>	3	3	1.0
یر</w>	3	3	1.0
یده</w>	3	3	1.0
گناه	3	3	1.0
گویی</w>	3	3	1.0
کش	3	3	1.0
کا	1	1	1.0
پاد	0	0	0
پادا	3	3	1.0
ول</w>	3	3	1.0
وح	3	3	1.0
هو	3	3	1.0
هلا	3	3	1.0
ها</w>	3	3	1.0
نیکو	3	3	1.0
نیک	3	3	1.0
ناپا	3	3	1.0
نج	3	3	1.0
میر	0	0	0
مکن</w>	0	0	0
مرد	3	3	1.0
محبو	3	3	1.0
متی</w>	3	3	1.0
مه	3	3	1.0
ممکن</w>	3	3	1.0
لای	3	3	1.0
كار</w>	3	3	1.0
فرشت	3	3	1.0
فق	3	3	1.0
عی	3	3	1.0
عط	3	3	1.0
عد	3	3	1.0
طل	3	3	1.0
شك	3	3	1.0
شر	3	3	1.0
شاد	3	3	1.0
سوخ	3	3	1.0
ستی</w>	3	3	1.0
سته</w>	3	3	1.0
سه</w>	3	3	1.0
زند	3	3	1.0
زنا	3	3	1.0
زش</w>	3	3	1.0
زر	3	3	1.0
زاری</w>	1	1	1.0
رام</w>	3	3	1.0
رح	3	3	1.0
دش	3	3	1.0
دز	3	3	1.0
دان	3	3	1.0
خط	3	3	1.0
خر	3	3	1.0
خال	3	3	1.0
خا	3	3	1.0
جاود	3	3	1.0
جو	3	3	1.0
جن	3	3	1.0
جلا	3	3	1.0
ثرو	3	3	1.0
ترس	3	3	1.0
تش	3	3	1.0
تس	3	3	1.0
بمیر	3	3	1.0
بكش	3	3	1.0
بخش	3	3	1.0
بت</w>	3	3	1.0
باد</w>	3	3	1.0
ایان</w>	3	3	1.0
اندو	3	3	1.0
ارت</w>	3	3	1.0
اح	3	3	1.0
آرا	3	3	1.0
یق	2	2	1.0
یز	2	2	1.0
یا</w>	2	2	1.0
گریست</w>	2	2	1.0
گرفت	2	2	1.0
گی</w>	2	2	1.0
گو	2	2	1.0
گم	2	2	1.0
گزاری</w>	2	2	1.0
گا	0	0	0
گاه</w>	2	2	1.0
کوچ	2	2	1.0
کشت	2	2	1.0
کر	0	0	0
کرکا	2	2	1.0
کت</w>	2	2	1.0
چن	2	2	1.0
