subword	prod	cum_freq	idiosyncrasy_index
en	1534	16706	10.890482398956975
an	977	17837	18.256908904810643
ai	1301	15931	12.245196003074557
ri	869	7642	8.794016110471807
es</w>	1486	32269	21.715343203230148
ti	996	8528	8.562248995983936
on	752	7173	9.538563829787234
er	1799	11229	6.241801000555864
eu	476	10815	22.720588235294116
ou	1245	32997	26.503614457831326
ent</w>	1376	9729	7.070494186046512
re</w>	515	16617	32.266019417475725
re	1218	8059	6.616584564860427
ch	1528	14177	9.278141361256544
er</w>	762	6106	8.013123359580053
ss	1177	7825	6.648258283772303
di	752	16001	21.277925531914892
on</w>	359	17383	48.420612813370475
in	1053	9360	8.88888888888889
or	539	7581	14.064935064935066
bl	327	1887	5.770642201834862
té</w>	237	4630	19.535864978902953
om	270	5381	19.92962962962963
te</w>	512	11414	22.29296875
ra	1142	9733	8.52276707530648
fi	275	8637	31.407272727272726
ll	334	5187	15.529940119760479
em	527	6544	12.417457305502847
ce</w>	168	9164	54.54761904761905
pa	396	13793	34.83080808080808
es	405	10550	26.049382716049383
tion</w>	100	617	6.17
dé	702	4667	6.648148148148148
ré	662	4886	7.380664652567976
li	624	5636	9.032051282051283
ro	309	7389	23.9126213592233
ran	171	2272	13.286549707602338
pu	210	2732	13.00952380952381
pl	267	6083	22.782771535580526
gn	264	2729	10.337121212121213
tu	254	1996	7.858267716535433
onn	252	2306	9.15079365079365
ma	438	4159	9.495433789954339
eur</w>	193	8341	43.21761658031088
rai	433	1814	4.189376443418014
és</w>	418	2759	6.600478468899522
vi	455	9580	21.054945054945055
pi	219	2294	10.474885844748858
im	227	839	3.696035242290749
eux</w>	95	6401	67.37894736842105
ts</w>	351	5835	16.623931623931625
ff	277	1607	5.8014440433212995
ement</w>	239	1471	6.154811715481172
ble</w>	92	1091	11.858695652173912
ar	645	6421	9.955038759689922
qu	663	22948	34.61236802413273
ge</w>	156	2631	16.865384615384617
end	451	3966	8.793791574279378
con	595	4830	8.117647058823529
rem	147	1462	9.945578231292517
ez</w>	719	4604	6.403337969401947
com	303	5221	17.231023102310232
ter	479	3231	6.745302713987474
si	481	3958	8.228690228690228
oi	425	9977	23.47529411764706
ci	313	2853	9.115015974440894
au	464	12280	26.46551724137931
ation</w>	103	1050	10.194174757281553
éri	159	1811	11.38993710691824
se</w>	177	6930	39.152542372881356
pr	296	3803	12.847972972972974
ons</w>	608	3842	6.319078947368421
ol	157	1910	12.165605095541402
ell	169	1719	10.171597633136095
du	163	1036	6.355828220858895
cou	345	3023	8.76231884057971
ain	64	2934	45.84375
tt	314	1163	3.7038216560509554
sou	147	1488	10.122448979591837
se	227	4441	19.56387665198238
ris	84	1135	13.511904761904763
de</w>	133	35575	267.4812030075188
sa	307	6485	21.123778501628664
omb	22	676	30.727272727272727
me</w>	161	10473	65.04968944099379
des	23	155	6.739130434782608
tomb	37	563	15.216216216216216
sse</w>	128	1154	9.015625
per	265	1673	6.313207547169811
ment</w>	74	672	9.08108108108108
le</w>	268	21096	78.71641791044776
ill	122	1758	14.40983606557377
gu	261	1806	6.919540229885057
ant</w>	460	6655	14.467391304347826
ance</w>	64	1200	18.75
sp	95	347	3.6526315789473682
par	301	5139	17.07308970099668
pro	327	2895	8.853211009174313
pri	135	2871	21.266666666666666
donn	147	2681	18.238095238095237
ces</w>	68	2369	34.838235294117645
tr	338	4207	12.446745562130177
po	259	3703	14.297297297297296
our	316	4527	14.325949367088608
mi	303	3981	13.138613861386139
ir	219	906	4.136986301369863
fai	76	3557	46.80263157894737
ction</w>	44	420	9.545454545454545
crai	18	354	19.666666666666668
ée</w>	370	3632	9.816216216216215
van	95	656	6.905263157894737
ta	298	2648	8.885906040268456
su	361	8773	24.301939058171744
san	34	1485	43.6764705882353
que</w>	86	11152	129.67441860465115
pleu	28	214	7.642857142857143
ort	156	1299	8.326923076923077
ni	192	922	4.802083333333333
inc	49	137	2.795918367346939
ent	398	3183	7.99748743718593
ett	106	869	8.19811320754717
desc	9	187	20.77777777777778
cti	31	465	15.0
bles</w>	66	383	5.803030303030303
am	351	3214	9.156695156695157
vain	18	119	6.611111111111111
us	112	500	4.464285714285714
tes</w>	292	5291	18.11986301369863
ssi	157	1244	7.923566878980892
sé	162	1067	6.58641975308642
rer</w>	82	671	8.182926829268293
lité</w>	30	209	6.966666666666667
lo	137	1163	8.489051094890511
il</w>	258	13696	53.08527131782946
era</w>	403	3828	9.498759305210918
enti	69	523	7.579710144927536
esse</w>	29	632	21.79310344827586
de	178	3961	22.252808988764045
che</w>	83	1686	20.313253012048193
chan	103	1007	9.776699029126213
ère</w>	69	3382	49.01449275362319
ui	152	2488	16.36842105263158
tra	151	653	4.324503311258278
souff	35	258	7.371428571428571
