subword	prod	cum_freq	idiosyncrasy_index
er	96	96	1.0
en</w>	78	78	1.0
ch	35	35	1.0
ei	34	34	1.0
ge	96	96	1.0
un	79	79	1.0
st	69	69	1.0
ver	111	111	1.0
li	21	21	1.0
sch	75	75	1.0
en	45	45	1.0
er</w>	72	72	1.0
an	56	56	1.0
re	33	33	1.0
au	32	32	1.0
be	64	64	1.0
eit</w>	8	8	1.0
ung</w>	48	48	1.0
ten</w>	38	38	1.0
te</w>	45	45	1.0
ig	10	10	1.0
ch</w>	23	23	1.0
rei	29	29	1.0
el	37	37	1.0
wi	31	31	1.0
ss	27	27	1.0
eh	29	29	1.0
or	26	26	1.0
ar	19	19	1.0
ig</w>	26	26	1.0
ie	16	16	1.0
ra	26	26	1.0
den</w>	34	34	1.0
te	26	26	1.0
keit</w>	12	12	1.0
la	21	21	1.0
gen</w>	23	23	1.0
lich</w>	30	30	1.0
le	29	29	1.0
ger	19	19	1.0
cht</w>	28	28	1.0
ro	17	17	1.0
nd	20	20	1.0
lo	20	20	1.0
al	26	26	1.0
cht	25	25	1.0
ber	11	11	1.0
üh	9	9	1.0
ni	16	16	1.0
her	14	14	1.0
chen</w>	24	24	1.0
tr	15	15	1.0
nen</w>	23	23	1.0
mm	16	16	1.0
lie	11	11	1.0
gef	23	23	1.0
hei	10	10	1.0
ol	21	21	1.0
ab	21	21	1.0
ur	20	20	1.0
igkeit</w>	20	20	1.0
de</w>	20	20	1.0
ür	11	11	1.0
zu	19	19	1.0
lei	19	19	1.0
heit</w>	19	19	1.0
den	19	19	1.0
tt	18	18	1.0
st</w>	18	18	1.0
se	18	18	1.0
reu	9	9	1.0
ff	18	18	1.0
ein	18	18	1.0
et</w>	18	18	1.0
to	8	8	1.0
ster	10	10	1.0
ken</w>	9	9	1.0
in	17	17	1.0
chten</w>	17	17	1.0
ben	17	17	1.0
aus	17	17	1.0
tz	9	9	1.0
schw	16	16	1.0
lich	16	16	1.0
igen</w>	16	16	1.0
es</w>	16	16	1.0
ühr	15	15	1.0
ör	8	8	1.0
men</w>	15	15	1.0
len</w>	15	15	1.0
dan	7	7	1.0
ah	15	15	1.0
über	14	14	1.0
ru	14	14	1.0
lu	14	14	1.0
gen	14	14	1.0
ge</w>	14	14	1.0
fer	14	14	1.0
verf	13	13	1.0
sp	13	13	1.0
sa	13	13	1.0
ho	13	13	1.0
go	13	13	1.0
fe	13	13	1.0
ter</w>	12	12	1.0
stan	12	12	1.0
ssen</w>	12	12	1.0
rie	12	12	1.0
lieb	12	12	1.0
lä	5	5	1.0
lau	3	3	1.0
heili	12	12	1.0
der	12	12	1.0
vor	11	11	1.0
um	11	11	1.0
sü	4	4	1.0
kr	11	11	1.0
ko	11	11	1.0
ha	11	11	1.0
ger</w>	11	11	1.0
geb	11	11	1.0
gn	11	11	1.0
gei	4	4	1.0
frei	11	11	1.0
tre	10	10	1.0
le</w>	10	10	1.0
kt</w>	10	10	1.0
kla	10	10	1.0
herr	10	10	1.0
gere	10	10	1.0
gt</w>	10	10	1.0
gro	10	10	1.0
ehr	10	10	1.0
es	10	10	1.0
da	10	10	1.0
ben</w>	10	10	1.0
bar	10	10	1.0
wei	9	9	1.0
tod	9	9	1.0
stä	9	9	1.0
schä	9	9	1.0
si	9	9	1.0
ne</w>	9	9	1.0
me</w>	9	9	1.0
ma	9	9	1.0
lt</w>	9	9	1.0
gr	9	9	1.0
glau	9	9	1.0
ft</w>	9	9	1.0
ft	9	9	1.0
freu	9	9	1.0
fre	9	9	1.0
fen</w>	9	9	1.0
ent	9	9	1.0
eu	9	9	1.0
dig</w>	9	9	1.0
chte</w>	9	9	1.0
vn	8	8	1.0
ungen</w>	8	8	1.0
trau	8	8	1.0
ta	8	8	1.0
stra	8	8	1.0
sen</w>	8	8	1.0
rein	8	8	1.0
nis</w>	8	8	1.0
lin	8	8	1.0
lig</w>	8	8	1.0
il	8	8	1.0
hun	8	8	1.0
gu	8	8	1.0
für	8	8	1.0
fr	8	8	1.0
eln</w>	8	8	1.0
dank	8	8	1.0
di	8	8	1.0
cken</w>	8	8	1.0
br	8	8	1.0
äh	7	7	1.0
zei	7	7	1.0
wil	7	7	1.0
wer	7	7	1.0
war	7	7	1.0
ul	7	7	1.0
tzen</w>	7	7	1.0
tet</w>	7	7	1.0
ter	7	7	1.0
sünd	7	7	1.0
sten</w>	7	7	1.0
ss</w>	7	7	1.0
sie	7	7	1.0
nung</w>	7	7	1.0
mmen</w>	7	7	1.0
mu	7	7	1.0
mp	7	7	1.0
läster	7	7	1.0
los</w>	7	7	1.0
ka	7	7	1.0
ige</w>	7	7	1.0
hör	7	7	1.0
geist	7	7	1.0
