subword	prod	cum_freq	idiosyncrasy_index
κα	831	59681	71.81829121540314
αρ	1327	7677	5.785229841748304
ος</w>	1842	33763	18.329533116178066
στ	1842	11123	6.038545059717698
ον</w>	2447	52036	21.26522272170004
ου	2547	23273	9.137416568511975
νε	1873	9964	5.319807794981314
απ	1739	10928	6.284071305347901
αν</w>	1086	12224	11.25598526703499
αγ	1075	6804	6.329302325581395
σε	1240	8328	6.716129032258064
αν	2363	17578	7.438848920863309
λα	1265	9774	7.726482213438735
ει	2264	47497	20.979240282685513
ατ	2083	12774	6.1325012001920305
ντ	1636	7313	4.4700488997555015
μο	543	8991	16.558011049723756
λο	599	4553	7.601001669449082
ας</w>	1845	24245	13.140921409214092
τε</w>	752	5625	7.480053191489362
ερ	2301	18089	7.861364624076488
κατ	1031	7328	7.1076624636275465
ησ	1682	8353	4.966111771700357
πο	1056	11926	11.293560606060606
δι	1829	20422	11.16566429743029
ιστ	278	2042	7.345323741007194
ελ	1124	22253	19.798042704626333
ης</w>	1285	20281	15.782879377431907
πε	713	5710	8.008415147265078
ευ	1983	9849	4.966717095310136
φο	334	2820	8.44311377245509
ασ	1681	10816	6.434265318262939
αι</w>	1148	13374	11.649825783972126
ρο	1775	10416	5.868169014084507
σει</w>	669	4805	7.18236173393124
ία</w>	0	0	0
υσ	425	2541	5.978823529411764
ισ	1617	8392	5.189857761286333
συ	1125	4563	4.056
αμ	831	4845	5.830324909747293
ός</w>	0	0	0
χαρ	91	670	7.362637362637362
ουν</w>	113	713	6.3097345132743365
αθ	409	2286	5.589242053789731
αγαπ	42	525	12.5
αι	1260	9764	7.749206349206349
φοβ	77	695	9.025974025974026
ρι	1300	16579	12.753076923076923
με	2990	13759	4.601672240802675
δο	526	4160	7.908745247148289
αρτ	138	1423	10.31159420289855
αλ	1167	10677	9.149100257069408
ἀγ	0	0	0
οι</w>	736	11660	15.842391304347826
ητ	871	5934	6.8128587830080365
ωρ	469	2878	6.136460554371002
παρ	767	3912	5.100391134289439
νι	474	2134	4.5021097046413505
εί	0	0	0
γχ	42	122	2.9047619047619047
ύν	0	0	0
ους</w>	813	18099	22.2619926199262
ιμ	370	1735	4.6891891891891895
ηθ	694	3755	5.410662824207493
τυ	185	558	3.016216216216216
συγχ	8	8	1.0
ην</w>	782	21547	27.553708439897697
σο	104	7767	74.6826923076923
ορ	643	3204	4.98289269051322
ημ	523	7605	14.54110898661568
ωσ	1802	5992	3.3251942286348504
τυφ	7	29	4.142857142857143
μοι	129	483	3.744186046511628
ει</w>	863	15764	18.26651216685979
ίαν</w>	0	0	0
καλ	301	1865	6.196013289036545
ιν</w>	1121	6351	5.665477252453167
ὸς</w>	0	0	0
ως</w>	393	9603	24.435114503816795
χρ	130	1176	9.046153846153846
υν	393	2172	5.526717557251908
πιστ	173	1365	7.890173410404624
πί	0	0	0
νο	885	4854	5.4847457627118645
κρ	462	1978	4.2813852813852815
ια</w>	354	3328	9.401129943502825
θη	326	1278	3.920245398773006
αδ	312	2690	8.621794871794872
άπ	0	0	0
υμ	487	3320	6.8172484599589325
ού	0	0	0
ολ	410	2236	5.453658536585366
μον	93	573	6.161290322580645
κλ	435	2299	5.285057471264368
θε	586	9509	16.226962457337883
εσ	950	5137	5.407368421052632
δοξ	76	669	8.802631578947368
έν	0	0	0
ότ	0	0	0
ων</w>	2167	34233	15.797415782187356
χρυσ	28	494	17.642857142857142
φυ	194	1160	5.979381443298969
φυλα	100	727	7.27
συγχωρ	25	124	4.96
μεγ	106	1219	11.5
μα</w>	195	3108	15.938461538461539
κατα	374	1282	3.427807486631016
και	139	1475	10.611510791366907
ιαν</w>	249	3167	12.718875502008032
θαν	49	387	7.8979591836734695
ειρ	240	2488	10.366666666666667
αμαρτ	62	795	12.82258064516129
αί	0	0	0
άρ	0	0	0
φυλακ	36	201	5.583333333333333
υρ	310	1379	4.448387096774193
σχ	60	336	5.6
σκ	294	1786	6.074829931972789
πλ	591	3853	6.519458544839256
ου</w>	647	41262	63.77434312210201
κλα	72	338	4.694444444444445
ικ	649	4870	7.503852080123266
εὐ	0	0	0
βλα	54	125	2.314814814814815
ίας</w>	0	0	0
όν</w>	0	0	0
ωντ	140	460	3.2857142857142856
ωλ	113	526	4.654867256637168
χαριστ	33	100	3.0303030303030303
φτ	1	1	1.0
τιμ	98	374	3.816326530612245
σουν</w>	1	1	1.0
πι	610	3103	5.086885245901639
θη</w>	802	4762	5.937655860349127
γι	240	860	3.5833333333333335
ωχ	49	256	5.224489795918367
τυφλ	14	69	4.928571428571429
σφ	106	516	4.867924528301887
πεσ	45	277	6.155555555555556
νί	0	0	0
μα	354	1758	4.966101694915254
λογ	261	2390	9.157088122605364
κε</w>	18	197	10.944444444444445
ηρ	646	3094	4.7894736842105265
ηγ	392	2207	5.630102040816326
ζωντ	27	173	6.407407407407407
εια</w>	76	710	9.342105263157896
ετε</w>	196	2191	11.178571428571429
ες</w>	796	5225	6.564070351758794
δυν	110	1305	11.863636363636363
δί	0	0	0
γελ	92	614	6.673913043478261
ήσει</w>	0	0	0
ῶν</w>	0	0	0
ἐλ	0	0	0
ἀγαπ	0	0	0
ύς</w>	0	0	0
ωτ	404	2385	5.903465346534653
ται</w>	429	1568	3.655011655011655
σοφ	23	377	16.391304347826086
πεθ	8	27	3.375
πό	0	0	0
ξι	92	423	4.5978260869565215
νται</w>	188	479	2.547872340425532
να</w>	332	11432	34.433734939759034
κτ	403	1891	4.6923076923076925
κρο	79	324	4.10126582278481
θανατ	69	760	11.014492753623188
θερ	181	700	3.867403314917127
εν	686	5357	7.809037900874635
