subword	prod	cum_freq	idiosyncrasy_index
રણ	4	4	1.0
સમ	1	1	1.0
રત</w>	6	6	1.0
સમજ	5	5	1.0
ડવ</w>	5	5	1.0
વવ</w>	4	4	1.0
રશ</w>	2	2	1.0
રવ</w>	4	4	1.0
કબ	4	4	1.0
સહ	3	3	1.0
સન</w>	3	3	1.0
સથ</w>	3	3	1.0
વળ	3	3	1.0
વચ	0	0	0
વચન</w>	3	3	1.0
રસ</w>	3	3	1.0
રમ</w>	3	3	1.0
રણ</w>	3	3	1.0
રડ</w>	3	3	1.0
મરણ	3	3	1.0
પન</w>	3	3	1.0
નન</w>	3	3	1.0
સહ</w>	2	2	1.0
શક</w>	2	2	1.0
વશ</w>	2	2	1.0
વત</w>	2	2	1.0
વણ</w>	2	2	1.0
ળન</w>	2	2	1.0
રજ	2	2	1.0
રક</w>	2	2	1.0
રક	2	2	1.0
યભ</w>	2	2	1.0
મય</w>	2	2	1.0
મમ</w>	2	2	1.0
મદ	2	2	1.0
મત</w>	2	2	1.0
મક	0	0	0
ભર</w>	2	2	1.0
બળ</w>	2	2	1.0
બદ	2	2	1.0
બડ</w>	2	2	1.0
પસ</w>	2	2	1.0
પર</w>	2	2	1.0
પડ	2	2	1.0
પક	2	2	1.0
નમ</w>	2	2	1.0
નક</w>	2	2	1.0
ધન	2	2	1.0
દર</w>	2	2	1.0
દન</w>	2	2	1.0
તરશ</w>	2	2	1.0
તર</w>	2	2	1.0
તથ</w>	2	2	1.0
ચમક	2	2	1.0
ગમ	2	2	1.0
ખશ</w>	2	2	1.0
ખત</w>	2	2	1.0
કર</w>	2	2	1.0
