subword	prod	cum_freq	idiosyncrasy_index
ha	9	9	1.0
ra	13	13	1.0
an	20	20	1.0
ee</w>	14	14	1.0
ch	8	8	1.0
ma	9	9	1.0
at	10	10	1.0
da	12	12	1.0
ya	7	7	1.0
vi	7	7	1.0
oo	6	6	1.0
va	11	11	1.0
sa	11	11	1.0
dha	12	12	1.0
pa	15	15	1.0
ka	9	9	1.0
ee	11	11	1.0
sha	13	13	1.0
sh	7	7	1.0
bh	13	13	1.0
ba	13	13	1.0
ta	2	2	1.0
na	11	11	1.0
la	8	8	1.0
tt	6	6	1.0
rat	5	5	1.0
dh	4	4	1.0
ra</w>	9	9	1.0
on</w>	9	9	1.0
रत</w>	6	6	1.0
ro	8	8	1.0
pra	8	8	1.0
ja	6	6	1.0
कर</w>	5	5	1.0
ma</w>	7	7	1.0
ata</w>	4	4	1.0
सह	2	2	1.0
vish	1	1	1.0
sh</w>	6	6	1.0
sa</w>	4	4	1.0
ni	2	2	1.0
na</w>	6	6	1.0
mi	6	6	1.0
dha</w>	6	6	1.0
dh</w>	0	0	0
ddh</w>	6	6	1.0
da</w>	6	6	1.0
सम	2	2	1.0
लन</w>	5	5	1.0
लत</w>	5	5	1.0
रन</w>	5	5	1.0
बद	5	5	1.0
अन	5	5	1.0
vishva	2	2	1.0
uta	5	5	1.0
sama	2	2	1.0
rata</w>	3	3	1.0
ne</w>	5	5	1.0
kar</w>	5	5	1.0
kh	5	5	1.0
hi	5	5	1.0
chh	2	2	1.0
cha	5	5	1.0
bu	2	2	1.0
bha	2	2	1.0
ai	5	5	1.0
हस</w>	4	4	1.0
रक</w>	4	4	1.0
बल</w>	4	4	1.0
तम</w>	4	4	1.0
टक</w>	4	4	1.0
गन</w>	4	4	1.0
कल</w>	4	4	1.0
vit	2	2	1.0
vat	4	4	1.0
tai</w>	4	4	1.0
san	4	4	1.0
nir	4	4	1.0
mai	4	4	1.0
la</w>	4	4	1.0
kh</w>	4	4	1.0
it</w>	4	4	1.0
ga	1	1	1.0
dhar	4	4	1.0
du	4	4	1.0
do	4	4	1.0
choo	4	4	1.0
boo	4	4	1.0
an</w>	4	4	1.0
समझ	3	3	1.0
सम</w>	3	3	1.0
सन</w>	3	3	1.0
वर</w>	3	3	1.0
लव</w>	3	3	1.0
लख</w>	3	3	1.0
रव</w>	3	3	1.0
रद</w>	3	3	1.0
मय</w>	3	3	1.0
मक</w>	3	3	1.0
भर	3	3	1.0
बह	3	3	1.0
पन</w>	3	3	1.0
पट</w>	3	3	1.0
दर</w>	3	3	1.0
दम	3	3	1.0
तर</w>	3	3	1.0
तर	3	3	1.0
तन</w>	3	3	1.0
टत</w>	3	3	1.0
गत</w>	3	3	1.0
कल	3	3	1.0
कम</w>	3	3	1.0
कत</w>	3	3	1.0
उठ	3	3	1.0
अप	3	3	1.0
ya</w>	3	3	1.0
vishvas</w>	3	3	1.0
vya	3	3	1.0
utt	3	3	1.0
ura	0	0	0
samaj	3	3	1.0
su	3	3	1.0
see</w>	3	3	1.0
ree</w>	3	3	1.0
pura	3	3	1.0
pi	3	3	1.0
maha	3	3	1.0
mee</w>	3	3	1.0
me	3	3	1.0
laj	3	3	1.0
lata</w>	3	3	1.0
jee	3	3	1.0
ira	3	3	1.0
in	3	3	1.0
gya	3	3	1.0
gra	3	3	1.0
ga</w>	3	3	1.0
dan</w>	3	3	1.0
dal	3	3	1.0
doo	3	3	1.0
chchh	0	0	0
bua	3	3	1.0
bhai	3	3	1.0
anga	3	3	1.0
and</w>	3	3	1.0
achchh	3	3	1.0
हल</w>	2	2	1.0
सहन</w>	2	2	1.0
सहन	2	2	1.0
सह</w>	2	2	1.0
सक</w>	2	2	1.0
शत</w>	2	2	1.0
शक</w>	2	2	1.0
लज</w>	2	2	1.0
लख	2	2	1.0
रण</w>	2	2	1.0
रज</w>	2	2	1.0
यभ</w>	2	2	1.0
यत</w>	2	2	1.0
मरत</w>	2	2	1.0
मर</w>	2	2	1.0
मन	2	2	1.0
मत</w>	2	2	1.0
मज</w>	2	2	1.0
भद</w>	2	2	1.0
भक</w>	2	2	1.0
बर</w>	2	2	1.0
बब</w>	2	2	1.0
बच	2	2	1.0
फस</w>	2	2	1.0
फल</w>	2	2	1.0
पत</w>	2	2	1.0
नन</w>	2	2	1.0
नत</w>	2	2	1.0
नक</w>	2	2	1.0
धर</w>	2	2	1.0
धम</w>	2	2	1.0
थर</w>	2	2	1.0
तव</w>	2	2	1.0
टकर</w>	2	2	1.0
जल	2	2	1.0
जन	2	2	1.0
चल</w>	2	2	1.0
चर</w>	2	2	1.0
चम	2	2	1.0
गव</w>	2	2	1.0
गर</w>	2	2	1.0
कह	2	2	1.0
कस</w>	2	2	1.0
कन</w>	2	2	1.0
कड</w>	2	2	1.0
कट	2	2	1.0
आव	2	2	1.0
yasa</w>	2	2	1.0
yaja	2	2	1.0
yu	1	1	1.0
yo	0	0	0
yog	0	0	0
yogy</w>	2	2	1.0
vitrata</w>	2	2	1.0
