subword	prod	cum_freq	idiosyncrasy_index
in	6	6	1.0
ei	3	3	1.0
ur</w>	16	16	1.0
an	5	5	1.0
el	6	6	1.0
ar</w>	13	13	1.0
ir</w>	15	15	1.0
au	5	5	1.0
sk	3	3	1.0
át	1	1	1.0
yr	3	3	1.0
ði</w>	12	12	1.0
tr	4	4	1.0
ll	2	2	1.0
ið</w>	12	12	1.0
nd	3	3	1.0
hr	4	4	1.0
hei	5	5	1.0
gr	5	5	1.0
lí	4	4	1.0
fr	6	6	1.0
eik	1	1	1.0
eg	2	2	1.0
dau	1	1	1.0
ar	4	4	1.0
ýr	0	0	0
ál	1	1	1.0
um</w>	9	9	1.0
leik	1	1	1.0
dauð	9	9	1.0
dýr	9	9	1.0
tt	0	0	0
st	5	5	1.0
ng	1	1	1.0
inn	1	1	1.0
ir	1	1	1.0
ður</w>	7	7	1.0
yrir	0	0	0
yg	2	2	1.0
st</w>	3	3	1.0
mi	0	0	0
jö	0	0	0
ill	7	7	1.0
fyrir	2	2	1.0
eng	5	5	1.0
ynd	1	1	1.0
un</w>	6	6	1.0
un	3	3	1.0
trú	6	6	1.0
san	0	0	0
sann	1	1	1.0
líf	2	2	1.0
la	3	3	1.0
jál	2	2	1.0
ja</w>	6	6	1.0
ins</w>	2	2	1.0
inn</w>	6	6	1.0
gó	3	3	1.0
fan	0	0	0
ey	2	2	1.0
bl	3	3	1.0
ða</w>	5	5	1.0
étt	0	0	0
éttl	0	0	0
æk	2	2	1.0
ygg	0	0	0
ví	3	3	1.0
sannleik	2	2	1.0
synd	5	5	1.0
réttl	1	1	1.0
ræ	2	2	1.0
na</w>	5	5	1.0
leg	5	5	1.0
la</w>	5	5	1.0
kk	2	2	1.0
ing	3	3	1.0
il	2	2	1.0
ge	0	0	0
ga	5	5	1.0
fyrirge	5	5	1.0
fn	3	3	1.0
elsk	5	5	1.0
els	1	1	1.0
dd	2	2	1.0
an</w>	5	5	1.0
ær	1	1	1.0
vo	2	2	1.0
ti</w>	4	4	1.0
sins</w>	4	4	1.0
réttlát	4	4	1.0
mik	4	4	1.0
li	0	0	0
ld	4	4	1.0
jálp	0	0	0
innar</w>	0	0	0
hræ	1	1	1.0
hjálp	1	1	1.0
hel	4	4	1.0
gjö	4	4	1.0
gels	0	0	0
fri	4	4	1.0
fangels	4	4	1.0
eilíf	4	4	1.0
dey	4	4	1.0
arinnar</w>	4	4	1.0
ast</w>	4	4	1.0
þyr	0	0	0
þyrst	3	3	1.0
þj	1	1	1.0
þa	0	0	0
þakk	3	3	1.0
ög	1	1	1.0
ótt	3	3	1.0
ðu	3	3	1.0
ðar</w>	3	3	1.0
ærleik	0	0	0
átæk	0	0	0
vi	3	3	1.0
veg	1	1	1.0
ull	3	3	1.0
ta</w>	3	3	1.0
skun	0	0	0
skil	3	3	1.0
sannleikan	3	3	1.0
ni</w>	3	3	1.0
miskun	3	3	1.0
lag	0	0	0
ll</w>	3	3	1.0
kærleik	3	3	1.0
kur</w>	3	3	1.0
inni</w>	3	3	1.0
inu</w>	3	3	1.0
ind	0	0	0
hrædd	3	3	1.0
hrygg	3	3	1.0
hjálpræ	3	3	1.0
heilag	3	3	1.0
heil	3	3	1.0
ha	3	3	1.0
góð	3	3	1.0
grát	3	3	1.0
gra	3	3	1.0
gl	3	3	1.0
fátæk	3	3	1.0
es	3	3	1.0
djö	3	3	1.0
blind	3	3	1.0
br	3	3	1.0
and	3	3	1.0
þjó	0	0	0
þjóf	2	2	1.0
þr	0	0	0
þreng	2	2	1.0
þo	2	2	1.0
ús	0	0	0
úsb	0	0	0
úsbó	0	0	0
úsbónd	2	2	1.0
ögn	0	0	0
ögnu	2	2	1.0
öl	0	0	0
ölv	2	2	1.0
öf	2	2	1.0
ós	2	2	1.0
ðr	2	2	1.0
ðir</w>	2	2	1.0
ðar	2	2	1.0
átt	0	0	0
áttm	0	0	0
áttmál	0	0	0
áh	0	0	0
áhygg	0	0	0
áhyggj	2	2	1.0
von	2	2	1.0
vegs	0	0	0
vegse	0	0	0
vegsem	2	2	1.0
vin	0	0	0
vinur</w>	2	2	1.0
van	2	2	1.0
ur	2	2	1.0
trú</w>	2	2	1.0
tý	2	2	1.0
tt</w>	2	2	1.0
sku</w>	2	2	1.0
sáttmál	2	2	1.0
sví	2	2	1.0
sau	0	0	0
saur	0	0	0
saurli	0	0	0
saurlifn	0	0	0
saurlifna	2	2	1.0
sa	2	2	1.0
rt</w>	2	2	1.0
rei	2	2	1.0
of	2	2	1.0
ná	2	2	1.0
ning	2	2	1.0
nd</w>	2	2	1.0
lifan	2	2	1.0
