subword	prod	cum_freq	idiosyncrasy_index
er	26	26	1.0
on	15	15	1.0
en	23	23	1.0
an	22	22	1.0
ri	30	30	1.0
to</w>	26	26	1.0
or	10	10	1.0
di	51	51	1.0
zi	11	11	1.0
in	34	34	1.0
ca	32	32	1.0
st	26	26	1.0
te</w>	18	18	1.0
ol	24	24	1.0
al	16	16	1.0
ar	17	17	1.0
one</w>	8	8	1.0
ti</w>	24	24	1.0
re	22	22	1.0
ci	19	19	1.0
za</w>	0	0	0
de	24	24	1.0
si	17	17	1.0
li	10	10	1.0
gi	12	12	1.0
pi	26	26	1.0
os	8	8	1.0
per	12	12	1.0
zione</w>	14	14	1.0
tà</w>	13	13	1.0
ra	7	7	1.0
ta</w>	19	19	1.0
mi	22	22	1.0
vi	20	20	1.0
am	20	20	1.0
ti	19	19	1.0
pa	18	18	1.0
et	14	14	1.0
gn	13	13	1.0
con	17	17	1.0
cc	17	17	1.0
te	6	6	1.0
om	6	6	1.0
fi	5	5	1.0
end	4	4	1.0
zza</w>	2	2	1.0
lo</w>	9	9	1.0
ss	13	13	1.0
sc	10	10	1.0
pr	4	4	1.0
tu	13	13	1.0
perd	6	6	1.0
ore</w>	9	9	1.0
ere</w>	13	13	1.0
ato</w>	13	13	1.0
se	12	12	1.0
men	5	5	1.0
im	12	12	1.0
gra	7	7	1.0
gli	12	12	1.0
ff	1	1	1.0
van	11	11	1.0
ter	11	11	1.0
sti	11	11	1.0
pu	11	11	1.0
ori	5	5	1.0
le	11	11	1.0
ann	5	5	1.0
sa	10	10	1.0
ro</w>	10	10	1.0
ra</w>	10	10	1.0
for	10	10	1.0
du	10	10	1.0
com	10	10	1.0
are</w>	10	10	1.0
azione</w>	10	10	1.0
san	9	9	1.0
pe	9	9	1.0
mor	9	9	1.0
le</w>	10	10	1.0
ente</w>	9	9	1.0
ben	3	3	1.0
zia</w>	8	8	1.0
ver	8	8	1.0
rin	4	4	1.0
pre	8	8	1.0
oni</w>	4	4	1.0
mon	8	8	1.0
mi</w>	8	8	1.0
mal	8	8	1.0
int	4	4	1.0
fe	4	4	1.0
ezza</w>	8	8	1.0
anza</w>	8	8	1.0
zz	7	7	1.0
va</w>	7	7	1.0
ser	7	7	1.0
ru	7	7	1.0
re</w>	8	8	1.0
ran	3	3	1.0
perdon	7	7	1.0
pri	3	3	1.0
pos	7	7	1.0
mento</w>	7	7	1.0
ità</w>	7	7	1.0
ia</w>	7	7	1.0
gl	1	1	1.0
fica	7	7	1.0
cid	2	2	1.0
cer	7	7	1.0
bi	3	3	1.0
ale</w>	7	7	1.0
ag	7	7	1.0
aff	7	7	1.0
tto</w>	6	6	1.0
tri	2	2	1.0
ssi	6	6	1.0
pro	6	6	1.0
osi</w>	6	6	1.0
ono</w>	6	6	1.0
mer	6	6	1.0
li</w>	6	6	1.0
hi</w>	6	6	1.0
glori	6	6	1.0
giu	6	6	1.0
gu	6	6	1.0
enza</w>	6	6	1.0
el	6	6	1.0
cad	6	6	1.0
cu	6	6	1.0
col	6	6	1.0
co</w>	6	6	1.0
bene	6	6	1.0
bu	6	6	1.0
bb	6	6	1.0
arlo</w>	6	6	1.0
anno</w>	6	6	1.0
ano</w>	6	6	1.0
ati</w>	6	6	1.0
vol	5	5	1.0
vin	5	5	1.0
vi</w>	5	5	1.0
ve	5	5	1.0
uc	0	0	0
uccid	1	1	1.0
tezza</w>	5	5	1.0
tem	5	5	1.0
tra	1	1	1.0
tor	5	5	1.0
so</w>	5	5	1.0
so	1	1	1.0
pp	5	5	1.0
po	5	5	1.0
oso</w>	5	5	1.0
lib	0	0	0
liber	5	5	1.0
grazi	1	1	1.0
gio	5	5	1.0
fa	5	5	1.0
do</w>	5	5	1.0
de</w>	5	5	1.0
cor	5	5	1.0
ce</w>	5	5	1.0
ate</w>	5	5	1.0
ari	5	5	1.0
ad	5	5	1.0
zioni</w>	4	4	1.0
vo</w>	4	4	1.0
ven	4	4	1.0
uccider	4	4	1.0
ul	4	4	1.0
trist	4	4	1.0
tradi	4	4	1.0
tta</w>	4	4	1.0
tore</w>	4	4	1.0
soff	4	4	1.0
sibi	4	4	1.0
scend	4	4	1.0
sto</w>	4	4	1.0
sor	4	4	1.0
sal	4	4	1.0
sa</w>	4	4	1.0
ringrazi	4	4	1.0
prigi	4	4	1.0
prend	4	4	1.0
pen	4	4	1.0
ni	4	4	1.0
ne	4	4	1.0
mo	4	4	1.0
lu	4	4	1.0
intend	4	4	1.0
ign	4	4	1.0
gg	4	4	1.0
fici	4	4	1.0
fede	4	4	1.0
fran	4	4	1.0
etto</w>	4	4	1.0
ero</w>	4	4	1.0
età</w>	4	4	1.0
ete</w>	4	4	1.0
