subword	prod	cum_freq	idiosyncrasy_index
ie	15	15	1.0
īb	0	0	0
ai	9	9	1.0
ne	23	23	1.0
īg	4	4	1.0
st	8	8	1.0
pa	11	11	1.0
as</w>	11	11	1.0
au	4	4	1.0
ību</w>	18	18	1.0
ās</w>	15	15	1.0
no	14	14	1.0
pr	4	4	1.0
la	3	3	1.0
ir	1	1	1.0
ības</w>	15	15	1.0
vē	2	2	1.0
ti	4	4	1.0
ība</w>	14	14	1.0
an	3	3	1.0
nā	6	6	1.0
mir	8	8	1.0
el	7	7	1.0
dz	6	6	1.0
šan	3	3	1.0
um	5	5	1.0
tai	0	0	0
tais	0	0	0
taisn	11	11	1.0
mī	5	5	1.0
lie	3	3	1.0
ap	2	2	1.0
ībā</w>	10	10	1.0
tie	0	0	0
od	0	0	0
god	10	10	1.0
cie	4	4	1.0
ar	6	6	1.0
žē	0	0	0
ūž	0	0	0
īj	2	2	1.0
ud	1	1	1.0
mūž	1	1	1.0
kā	2	2	1.0
kl	2	2	1.0
iek	3	3	1.0
is</w>	9	9	1.0
est	1	1	1.0
er	1	1	1.0
do	0	0	0
ag	0	0	0
vēt	0	0	0
tic	5	5	1.0
svēt	8	8	1.0
sm	3	3	1.0
mūžīg	8	8	1.0
liel	8	8	1.0
lab	8	8	1.0
iem</w>	5	5	1.0
gr	3	3	1.0
ais</w>	8	8	1.0
pie	2	2	1.0
īgs</w>	6	6	1.0
ēk	1	1	1.0
āt	0	0	0
uš	1	1	1.0
sp	6	6	1.0
sa	3	3	1.0
priek	6	6	1.0
mīl	2	2	1.0
du	1	1	1.0
ciet	0	0	0
bag	0	0	0
am	2	2	1.0
žēla	0	0	0
žēlast	5	5	1.0
šanu</w>	5	5	1.0
ēj	5	5	1.0
āj	5	5	1.0
zvē	0	0	0
zvēr	5	5	1.0
ve	2	2	1.0
udr	0	0	0
uz	2	2	1.0
ties</w>	5	5	1.0
ties	0	0	0
st</w>	5	5	1.0
ri	1	1	1.0
piedo	5	5	1.0
paz	2	2	1.0
paties	5	5	1.0
miruš	5	5	1.0
ies</w>	5	5	1.0
grēk	5	5	1.0
gudr	5	5	1.0
eņ	1	1	1.0
dusm	5	5	1.0
cer	5	5	1.0
bi	1	1	1.0
aun	2	2	1.0
aud	5	5	1.0
aps	2	2	1.0
at	5	5	1.0
am</w>	5	5	1.0
ai</w>	2	2	1.0
žēl	0	0	0
īgi</w>	4	4	1.0
īv	1	1	1.0
īst	4	4	1.0
īdz	0	0	0
āv	4	4	1.0
zā	4	4	1.0
zai	0	0	0
zaim	4	4	1.0
vi	4	4	1.0
us</w>	4	4	1.0
tā	4	4	1.0
pat	1	1	1.0
pest	0	0	0
pestī	1	1	1.0
os</w>	4	4	1.0
nodo	4	4	1.0
mīlest	4	4	1.0
mie	0	0	0
mier	4	4	1.0
me	4	4	1.0
līdz	4	4	1.0
lē	4	4	1.0
kār	4	4	1.0
kri	4	4	1.0
kap	4	4	1.0
inā	4	4	1.0
ie</w>	4	4	1.0
gu	1	1	1.0
eņģ	1	1	1.0
es</w>	1	1	1.0
dr	4	4	1.0
dar	0	0	0
darīj	4	4	1.0
bij	4	4	1.0
bai	4	4	1.0
aug	4	4	1.0
ams</w>	4	4	1.0
al	4	4	1.0
akl	4	4	1.0
aj	1	1	1.0
ļaun	3	3	1.0
ījum	0	0	0
īgu</w>	3	3	1.0
īgo</w>	3	3	1.0
ībai</w>	3	3	1.0
īs</w>	3	3	1.0
ēd	3	3	1.0
zag	3	3	1.0
vec	3	3	1.0
vel	3	3	1.0
uztic	3	3	1.0
ugu	0	0	0
ugun	3	3	1.0
tikl	0	0	0
tās</w>	3	3	1.0
ts</w>	3	3	1.0
ti</w>	3	3	1.0
ta</w>	3	3	1.0
sapr	3	3	1.0
prāt	3	3	1.0
pestīšan	3	3	1.0
pazud	3	3	1.0
pate	0	0	0
patei	0	0	0
pateic	3	3	1.0
paciet	3	3	1.0
oņ	3	3	1.0
ol	0	0	0
olījum	0	0	0
oj	1	1	1.0
nāv	3	3	1.0
netikl	3	3	1.0
ner	3	3	1.0
nek	3	3	1.0
neb	3	3	1.0
na	0	0	0
nabag	3	3	1.0
les</w>	3	3	1.0
lau	3	3	1.0
kāp	3	3	1.0
ib	3	3	1.0
eņģel	3	3	1.0
dzīv	3	3	1.0
der	3	3	1.0
cietum	3	3	1.0
bagāt	3	3	1.0
be	3	3	1.0
apsolījum	3	3	1.0
ajiem</w>	3	3	1.0
žēls	0	0	0
žēlsir	0	0	0
žēlsird	2	2	1.0
žēloj	2	2	1.0
ūst	2	2	1.0
