subword	prod	cum_freq	idiosyncrasy_index
ti	845	4353	5.151479289940829
as</w>	2785	21706	7.793895870736086
im	2288	9714	4.245629370629371
si	5678	20907	3.6821063754843255
pa	5184	30567	5.896412037037037
er	1211	4961	4.096614368290669
au	2569	11729	4.565589723627871
iš	2810	8384	2.983629893238434
ti</w>	1432	7787	5.437849162011173
an	2632	17815	6.7686170212765955
in	4205	14182	3.3726516052318667
ėj	1392	8996	6.462643678160919
nu	1827	9005	4.9288451012588945
ir	1319	5974	4.529188779378317
ei	998	4883	4.8927855711422845
ve	733	4096	5.587994542974079
lo	462	1806	3.909090909090909
ar	1834	14280	7.786259541984733
ne	4869	16253	3.3380570959129185
li	2069	16048	7.7564040599323345
ži	406	1870	4.605911330049261
ėjim	125	496	3.968
mir	192	1305	6.796875
ka	1124	13306	11.838078291814947
ės</w>	794	5948	7.491183879093199
st	2067	10115	4.893565553942913
dži	666	2809	4.217717717717718
us</w>	1693	16808	9.927938570584761
uo	1501	9656	6.433044636908727
tie	276	1070	3.8768115942028984
am	2601	11186	4.300653594771242
ger	253	1415	5.592885375494071
ai</w>	1742	14139	8.116532721010334
sm	355	1388	3.9098591549295776
ri	1528	12719	8.323952879581151
nt	226	1467	6.491150442477876
ni	1044	6660	6.379310344827586
il	647	2611	4.035548686244204
di	587	9021	15.367972742759795
šve	98	338	3.4489795918367347
tik	423	1867	4.41371158392435
su	2382	7745	3.2514693534844668
os</w>	1364	9829	7.206011730205279
el	1019	4261	4.181550539744848
dė	424	3232	7.622641509433962
kal	538	3726	6.925650557620818
ik	569	4126	7.251318101933216
gi	523	2645	5.0573613766730405
švent	88	1177	13.375
šlo	3	19	6.333333333333333
ver	401	1283	3.199501246882793
tin	766	2631	3.4347258485639687
rū	266	1103	4.146616541353383
pr	646	2667	4.128482972136223
oj	1235	5448	4.411336032388664
gel	100	412	4.12
džiau	76	365	4.802631578947368
dy	566	2136	3.7738515901060072
do	515	3107	6.033009708737864
de	770	4510	5.857142857142857
auk	722	4727	6.5470914127423825
at	2323	11702	5.037451571244081
ųj	9	38	4.222222222222222
ųjų</w>	162	691	4.265432098765432
šlov	70	498	7.114285714285714
var	390	2245	5.756410256410256
usi	473	1008	2.13107822410148
ui</w>	668	4550	6.811377245508982
ties	56	549	9.803571428571429
nuo	234	1116	4.769230769230769
na	520	2600	5.0
naš	41	216	5.2682926829268295
my	51	217	4.254901960784314
lei	309	1122	3.6310679611650487
gan	146	478	3.2739726027397262
bi	249	1268	5.092369477911647
ba	540	2870	5.314814814814815
ęs</w>	745	3937	5.284563758389262
ąj	110	317	2.881818181818182
yb	277	1677	6.054151624548736
varg	112	526	4.696428571428571
ug	74	346	4.675675675675675
ting	185	794	4.291891891891892
tikėjim	22	272	12.363636363636363
tis</w>	363	1261	3.4738292011019283
tu	629	2483	3.9475357710651826
tei	268	1665	6.212686567164179
sis</w>	214	970	4.5327102803738315
pra	526	2000	3.802281368821293
pik	45	80	1.7777777777777777
pikt	56	489	8.732142857142858
ojo</w>	281	1493	5.313167259786477
nuodė	2	3	1.5
nuodėm	35	524	14.971428571428572
mei	31	48	1.5483870967741935
meil	21	175	8.333333333333334
ma	643	3472	5.399688958009332
lon	55	461	8.381818181818181
gy	475	2901	6.107368421052632
gsm	0	0	0
gar	200	776	3.88
džiaugsm	14	187	13.357142857142858
be	997	5809	5.826479438314945
žv	77	226	2.935064935064935
žvė	15	163	10.866666666666667
žo	63	1134	18.0
žin	328	1899	5.789634146341464
ėti</w>	105	516	4.914285714285715
vel	108	518	4.796296296296297
vy	520	5221	10.040384615384616
vil	120	361	3.0083333333333333
va	1165	6918	5.938197424892704
udy	27	151	5.592592592592593
tį</w>	201	1525	7.587064676616915
te</w>	1684	5826	3.459619952494062
tas</w>	517	3177	6.145067698259187
stu	183	552	3.0163934426229506
si</w>	1192	5026	4.216442953020135
rie	329	2760	8.389057750759878
re	535	1812	3.3869158878504675
piktžo	22	45	2.0454545454545454
pag	184	1205	6.548913043478261
ok	589	3400	5.772495755517827
numir	30	100	3.3333333333333335
malon	22	308	14.0
mą</w>	178	1065	5.98314606741573
min	236	695	2.944915254237288
lis</w>	197	1386	7.035532994923858
išmin	44	478	10.863636363636363
imin	245	1525	6.224489795918367
gyv	88	979	11.125
ga	789	4488	5.688212927756654
do</w>	258	2535	9.825581395348838
bėjim	18	37	2.0555555555555554
aukš	122	727	5.959016393442623
atlei	43	196	4.558139534883721
angel	13	305	23.46153846153846
amžin	41	280	6.829268292682927
av	917	14134	15.413304252998909
au</w>	959	6384	6.656934306569343
žudy	86	262	3.046511627906977
žudyti</w>	6	116	19.333333333333332
že	251	2349	9.358565737051793
ąją</w>	53	272	5.132075471698113
velni	8	37	4.625
vi	843	18877	22.392645314353498
van	63	790	12.53968253968254
ugn	16	166	10.375
už	852	2227	2.613849765258216
tur	186	2025	10.887096774193548
ties</w>	60	2872	47.86666666666667
tim	196	817	4.168367346938775
timi</w>	18	144	8.0
teisu	26	343	13.192307692307692
ty	480	1917	3.99375
tar	394	4502	11.426395939086294
san	104	440	4.230769230769231
sando	0	0	0
sandor	8	297	37.125
ram	100	347	3.47
ramyb	13	196	15.076923076923077
piktžodži	0	0	0
piktžodžiav	7	26	3.7142857142857144
pavy	35	131	3.742857142857143
panaš	14	133	9.5
puo	134	415	3.0970149253731343
ner	161	542	3.3664596273291925
myl	59	356	6.033898305084746
mo</w>	180	1128	6.266666666666667
lie	403	1831	4.543424317617866
lė</w>	86	675	7.848837209302325
ly	483	2176	4.505175983436853
lk	45	258	5.733333333333333
lau	386	2004	5.191709844559585
lauž	65	182	2.8
la	995	5158	5.1839195979899495
kalėjim	6	78	13.0
kap	44	182	4.136363636363637
kl	303	1281	4.227722772277228
ke	511	2743	5.367906066536204
kent	50	125	2.5
išgel	44	409	9.295454545454545
išgelbėjim	10	155	15.5
išgan	0	0	0
išgany	0	0	0
išd	62	120	1.935483870967742
imo</w>	274	1165	4.251824817518248
is</w>	1209	12047	9.964433416046319
gis</w>	20	99	4.95
gail	115	559	4.860869565217391
gas</w>	89	677	7.606741573033708
dėk	75	296	3.9466666666666668
dovan	32	200	6.25
das</w>	122	1327	10.87704918032787
bij	116	523	4.508620689655173
blo	62	201	3.2419354838709675
aus</w>	181	3421	18.900552486187845
alk	36	70	1.9444444444444444
akl	10	53	5.3
aik	138	569	4.1231884057971016
