subword	prod	cum_freq	idiosyncrasy_index
पण</w>	7	7	1.0
सम	3	3	1.0
दर	5	5	1.0
सर	4	4	1.0
ळव	4	4	1.0
लत</w>	4	4	1.0
मर	2	2	1.0
पड	4	4	1.0
तत</w>	4	4	1.0
कल</w>	4	4	1.0
सह	3	3	1.0
सन</w>	3	3	1.0
शक</w>	3	3	1.0
रव	3	3	1.0
रड	3	3	1.0
मव</w>	3	3	1.0
अप	3	3	1.0
समज	2	2	1.0
वध</w>	2	2	1.0
वत</w>	2	2	1.0
वज	2	2	1.0
ळत</w>	2	2	1.0
लह</w>	2	2	1.0
लम</w>	2	2	1.0
रल</w>	2	2	1.0
रय</w>	2	2	1.0
रक</w>	2	2	1.0
यश</w>	2	2	1.0
यभ</w>	2	2	1.0
मरत</w>	2	2	1.0
मत</w>	2	2	1.0
मक	0	0	0
बद	2	2	1.0
बड	2	2	1.0
पर	2	2	1.0
पद</w>	2	2	1.0
पट	2	2	1.0
नव</w>	2	2	1.0
धर</w>	2	2	1.0
दय</w>	2	2	1.0
टपण</w>	2	2	1.0
टक</w>	2	2	1.0
चमक	2	2	1.0
घड	2	2	1.0
गड	2	2	1.0
कट</w>	2	2	1.0
आई	2	2	1.0
