subword	prod	cum_freq	idiosyncrasy_index
हर</w>	11	11	1.0
रह	5	5	1.0
रम	6	6	1.0
सम</w>	3	3	1.0
नक</w>	5	5	1.0
सम	3	3	1.0
सह</w>	5	5	1.0
सर	3	3	1.0
नम</w>	5	5	1.0
कर	3	3	1.0
हस	4	4	1.0
हक</w>	4	4	1.0
लत</w>	4	4	1.0
रह</w>	4	4	1.0
रव	4	4	1.0
मय</w>	4	4	1.0
मन	2	2	1.0
नसम</w>	4	4	1.0
नद</w>	4	4	1.0
जस</w>	4	4	1.0
अव	4	4	1.0
हर	3	3	1.0
समझ	3	3	1.0
सर</w>	3	3	1.0
सन</w>	3	3	1.0
सक</w>	3	3	1.0
वत	3	3	1.0
लम</w>	3	3	1.0
रहन</w>	3	3	1.0
रल</w>	3	3	1.0
रत</w>	3	3	1.0
यल</w>	3	3	1.0
भव	3	3	1.0
भए	3	3	1.0
बल	3	3	1.0
बन</w>	3	3	1.0
पर</w>	3	3	1.0
पन</w>	3	3	1.0
पत</w>	3	3	1.0
नर</w>	3	3	1.0
नन</w>	3	3	1.0
दर</w>	3	3	1.0
तर</w>	3	3	1.0
तर	3	3	1.0
णम</w>	1	1	1.0
गम	3	3	1.0
कल</w>	3	3	1.0
कप	3	3	1.0
अन</w>	3	3	1.0
अघ</w>	1	1	1.0
हस</w>	2	2	1.0
हल</w>	2	2	1.0
हन	2	2	1.0
हत</w>	2	2	1.0
सरम</w>	2	2	1.0
सव</w>	2	2	1.0
सल</w>	2	2	1.0
सङ</w>	2	2	1.0
वर	2	2	1.0
वत</w>	2	2	1.0
लम	2	2	1.0
लज</w>	2	2	1.0
लच</w>	2	2	1.0
लच	2	2	1.0
रहक</w>	2	2	1.0
रमम</w>	2	2	1.0
रव</w>	2	2	1.0
रल	2	2	1.0
रणम</w>	2	2	1.0
रक</w>	2	2	1.0
रक	0	0	0
यभ</w>	2	2	1.0
यन</w>	2	2	1.0
यत</w>	2	2	1.0
यअघ</w>	2	2	1.0
मनल</w>	2	2	1.0
मर</w>	2	2	1.0
मप</w>	2	2	1.0
मत	2	2	1.0
भव</w>	2	2	1.0
भन</w>	2	2	1.0
बल</w>	2	2	1.0
बम</w>	2	2	1.0
फस</w>	2	2	1.0
पव</w>	2	2	1.0
पत	2	2	1.0
नस</w>	2	2	1.0
नरक	2	2	1.0
नग	0	0	0
नगन</w>	2	2	1.0
नआ	2	2	1.0
धन</w>	2	2	1.0
धन	2	2	1.0
दल	2	2	1.0
दय</w>	2	2	1.0
दम</w>	2	2	1.0
दत</w>	2	2	1.0
थक</w>	2	2	1.0
तल</w>	2	2	1.0
डर</w>	2	2	1.0
टहर</w>	2	2	1.0
टल</w>	2	2	1.0
जनक</w>	2	2	1.0
छर	2	2	1.0
घम	2	2	1.0
गर</w>	2	2	1.0
गत	2	2	1.0
गड</w>	2	2	1.0
गइ	2	2	1.0
करण	2	2	1.0
कहर</w>	2	2	1.0
कर</w>	2	2	1.0
कन</w>	2	2	1.0
एक</w>	2	2	1.0
एक	2	2	1.0
उन</w>	2	2	1.0
अग</w>	2	2	1.0
