subword	prod	cum_freq	idiosyncrasy_index
el	1088	12222	11.233455882352942
et</w>	1224	30942	25.279411764705884
ig	352	2324	6.6022727272727275
en	1714	19299	11.259626604434072
st	1413	12660	8.959660297239916
or	707	9054	12.806223479490805
en</w>	1522	42881	28.17411300919842
er</w>	2017	50027	24.80267724343084
er	2013	17793	8.839046199701938
sk	672	6192	9.214285714285714
an	853	13665	16.019929660023447
re	760	7799	10.261842105263158
ig</w>	134	13736	102.50746268656717
het</w>	81	1172	14.469135802469136
els	225	1142	5.075555555555556
for	574	5982	10.421602787456447
in	1044	12951	12.405172413793103
ige</w>	171	2099	12.274853801169591
de</w>	342	24375	71.2719298245614
il	438	3128	7.141552511415525
kt	230	1644	7.147826086956521
tt	873	8246	9.445589919816724
fr	184	6289	34.17934782608695
else</w>	129	1110	8.604651162790697
lig	38	561	14.763157894736842
un	356	4238	11.904494382022472
tr	253	2655	10.494071146245059
mo	214	5019	23.453271028037385
ska	150	11286	75.24
et	568	4347	7.653169014084507
ed	677	9588	14.16248153618907
re</w>	143	6751	47.20979020979021
li	285	5044	17.698245614035088
gr	234	1718	7.3418803418803416
fa	249	3437	13.803212851405622
ev	250	2721	10.884
te</w>	338	9199	27.215976331360945
mm	497	5839	11.748490945674044
la	456	3455	7.576754385964913
ke</w>	191	12368	64.75392670157068
vil	85	1165	13.705882352941176
ul	315	3679	11.679365079365079
pp	131	778	5.938931297709924
kj	226	2137	9.455752212389381
hel	69	2556	37.04347826086956
ens</w>	345	4943	14.327536231884057
br	247	3280	13.279352226720647
ver	160	1748	10.925
tt</w>	143	7710	53.91608391608391
ta	294	3707	12.608843537414966
sy	172	2887	16.78488372093023
mod	41	228	5.560975609756097
lø	260	1723	6.626923076923077
ighet</w>	60	863	14.383333333333333
het	125	467	3.736
ha	561	29072	51.82174688057041
eng	198	2127	10.742424242424242
be	301	2796	9.289036544850498
ær	216	1981	9.171296296296296
ri	435	4361	10.025287356321838
nd	168	1008	6.0
dø	84	1646	19.595238095238095
av	343	3776	11.008746355685131
ør	258	4613	17.87984496124031
sp	240	1442	6.008333333333334
se	376	3461	9.204787234042554
rett	76	713	9.381578947368421
lig</w>	76	877	11.539473684210526
kt</w>	110	2039	18.536363636363635
kk	383	1900	4.960835509138382
her	124	8647	69.73387096774194
ge</w>	114	3643	31.95614035087719
es</w>	933	8859	9.495176848874598
ud	113	1303	11.530973451327434
til	179	1924	10.748603351955307
ste</w>	150	2485	16.566666666666666
st</w>	155	2256	14.55483870967742
ro	198	2949	14.893939393939394
opp	32	206	6.4375
mi	169	5211	30.83431952662722
le</w>	157	5111	32.554140127388536
gj	299	6694	22.387959866220736
fry	17	389	22.88235294117647
fer	177	1058	5.977401129943503
ene</w>	844	6253	7.408767772511848
ann	196	1841	9.392857142857142
ut	328	2108	6.426829268292683
tro	89	886	9.955056179775282
sl	208	1833	8.8125
rettfer	1	17	17.0
rø	165	1454	8.812121212121212
ne	298	3840	12.885906040268456
ld	200	1844	9.22
iv	62	147	2.370967741935484
herlig	17	303	17.823529411764707
enhet</w>	17	94	5.529411764705882
ang	167	1340	8.023952095808383
ål	84	1248	14.857142857142858
unn	94	1157	12.308510638297872
sv	154	1663	10.7987012987013
se</w>	119	3560	29.915966386554622
rettferd	30	749	24.966666666666665
red	150	1233	8.22
ra	311	4765	15.321543408360128
ner</w>	128	2534	19.796875
mme</w>	59	2252	38.16949152542373
lo	314	3510	11.178343949044587
hå	92	1764	19.17391304347826
hj	139	2160	15.53956834532374
go	59	593	10.05084745762712
ga	176	1869	10.619318181818182
frykt	14	284	20.285714285714285
fri	48	378	7.875
forst	29	421	14.517241379310345
