subword	prod	cum_freq	idiosyncrasy_index
ie	1570	16851	10.73312101910828
ni	2022	14897	7.367457962413452
cz	1362	9759	7.165198237885463
st	1466	15505	10.576398362892224
rz	1136	8178	7.198943661971831
nie	1245	10461	8.402409638554216
od	1237	6854	5.540824575586095
oś	462	2538	5.4935064935064934
sz	2647	24011	9.0710238005289
ch	2271	10989	4.83883751651255
wie	801	7853	9.803995006242197
wi	1566	14446	9.22477650063857
ob	1330	9333	7.0172932330827065
ar	1535	8955	5.833876221498372
ra	1483	10837	7.307484828051248
ci	1113	8301	7.45822102425876
rze	611	8156	13.34860883797054
ci</w>	226	3241	14.34070796460177
ła	805	2903	3.6062111801242236
dz	1229	12274	9.986981285598047
ro	1282	7179	5.59984399375975
wa	2080	11817	5.68125
nie</w>	773	16555	21.416558861578267
za	1989	10801	5.430367018602313
wy	1821	7341	4.031301482701812
po	2727	14124	5.17931793179318
ości</w>	88	1667	18.943181818181817
ch</w>	722	13650	18.905817174515235
li	1371	6544	4.773158278628738
prze	929	10197	10.97631862217438
pra	201	785	3.9054726368159205
ny</w>	493	2677	5.430020283975659
go</w>	178	6213	34.90449438202247
mi	924	10739	11.622294372294371
ego</w>	822	15646	19.034063260340634
ło	725	7025	9.689655172413794
na	1991	14078	7.070818684078352
dzi	731	9446	12.92202462380301
łu	272	2342	8.610294117647058
czy	1040	6974	6.7057692307692305
pa	753	11572	15.367861885790173
ość</w>	91	1372	15.076923076923077
mar	103	529	5.135922330097087
ko	1010	5917	5.858415841584159
cie	580	3427	5.908620689655172
roz	939	2845	3.0298189563365283
ni</w>	560	5413	9.666071428571428
li</w>	1524	13554	8.893700787401574
em</w>	1240	9986	8.053225806451612
cie</w>	1524	7312	4.797900262467191
ym</w>	335	2754	8.22089552238806
ych</w>	255	2879	11.290196078431373
ja	1238	9200	7.431340872374798
ba	604	2749	4.551324503311259
be	362	1454	4.016574585635359
odz	527	3194	6.060721062618596
liw	170	887	5.2176470588235295
pie	416	2401	5.771634615384615
nia</w>	443	4022	9.079006772009029
le	1058	6817	6.443289224952741
cze	333	1432	4.3003003003003
bo	386	4903	12.702072538860104
wię	121	1298	10.727272727272727
wo	542	9700	17.89667896678967
sty	51	489	9.588235294117647
dob	98	529	5.3979591836734695
stw	76	207	2.723684210526316
rzy	586	2637	4.5
praw	104	1311	12.60576923076923
pu	417	1849	4.434052757793765
ne</w>	689	3147	4.567489114658926
mie	596	6283	10.541946308724832
do	848	6253	7.373820754716981
wol	69	422	6.115942028985507
sk	1127	8549	7.585625554569654
bi	675	3908	5.78962962962963
ła</w>	768	4418	5.752604166666667
wiel	80	876	10.95
sła	167	1468	8.790419161676647
pad	120	420	3.5
mart	15	48	3.2
la	719	3208	4.461752433936022
ka	1040	7628	7.334615384615384
ży	509	3176	6.239685658153242
zg	264	1481	5.609848484848484
pod	399	1596	4.0
mo	912	8835	9.6875
gr	100	479	4.79
dobr	25	601	24.04
cier	60	231	3.85
świę	11	43	3.909090909090909
ąd	224	1281	5.71875
wier	109	442	4.055045871559633
wied	38	333	8.763157894736842
wiecz	40	680	17.0
wał	237	771	3.2531645569620253
spra	51	447	8.764705882352942
przeba	1	1	1.0
przy	997	7006	7.027081243731193
nym</w>	210	686	3.2666666666666666
miło	47	517	11.0
koch	3	24	8.0
ją</w>	571	3013	5.276707530647986
grze	91	860	9.45054945054945
da	873	6244	7.152348224513173
zł	69	1023	14.826086956521738
wielk	20	1080	54.0
uch	145	912	6.289655172413793
sprawied	36	173	4.805555555555555
podob	59	503	8.525423728813559
ow	1197	4613	3.853801169590643
nego</w>	294	1973	6.710884353741497
mi</w>	843	7807	9.26097271648873
