subword	prod	cum_freq	idiosyncrasy_index
en	23	23	1.0
ad	19	19	1.0
er	26	26	1.0
or	16	16	1.0
re	41	41	1.0
os</w>	35	35	1.0
an	18	18	1.0
ent	14	14	1.0
ão</w>	22	22	1.0
de	26	26	1.0
ri	22	22	1.0
ra	24	24	1.0
st	29	29	1.0
in	40	40	1.0
on	16	16	1.0
ci	22	22	1.0
di	26	26	1.0
ar</w>	36	36	1.0
am	19	19	1.0
per	15	15	1.0
es</w>	15	15	1.0
al	25	25	1.0
ção</w>	17	17	1.0
os	7	7	1.0
ei	19	19	1.0
ca	25	25	1.0
dad	2	2	1.0
mp	6	6	1.0
ados</w>	23	23	1.0
mor	17	17	1.0
dade</w>	12	12	1.0
ado</w>	18	18	1.0
ro	8	8	1.0
fi	15	15	1.0
es	17	17	1.0
do</w>	15	15	1.0
ar	20	20	1.0
to</w>	19	19	1.0
ente</w>	10	10	1.0
em</w>	19	19	1.0
as</w>	19	19	1.0
qu	11	11	1.0
con	18	18	1.0
or</w>	17	17	1.0
gr	4	4	1.0
li	16	16	1.0
ant	5	5	1.0
at	11	11	1.0
am</w>	16	16	1.0
perd	5	5	1.0
co	6	6	1.0
ce	9	9	1.0
ab	10	10	1.0
ur	5	5	1.0
ul	9	9	1.0
so	3	3	1.0
ta</w>	13	13	1.0
se	13	13	1.0
pro	8	8	1.0
pa	8	8	1.0
mi	13	13	1.0
des	13	13	1.0
agr	3	3	1.0
ça</w>	6	6	1.0
vi	12	12	1.0
ve	6	6	1.0
pre	12	12	1.0
ig	12	12	1.0
ação</w>	12	12	1.0
za</w>	7	7	1.0
te	6	6	1.0
ss	6	6	1.0
pe	7	7	1.0
oso</w>	11	11	1.0
ort	11	11	1.0
lh	11	11	1.0
cia</w>	3	3	1.0
cer	11	11	1.0
perdo	10	10	1.0
ment	5	5	1.0
ju	10	10	1.0
is</w>	4	4	1.0
idade</w>	10	10	1.0
ende	10	10	1.0
ex	10	10	1.0
agrad	10	10	1.0
ver	4	4	1.0
ui	9	9	1.0
ter	5	5	1.0
ra</w>	9	9	1.0
ori	2	2	1.0
ou	3	3	1.0
ens	9	9	1.0
end	9	9	1.0
comp	9	9	1.0
cu	9	9	1.0
cor	9	9	1.0
amente</w>	9	9	1.0
al</w>	9	9	1.0
ro</w>	8	8	1.0
re</w>	8	8	1.0
pi	8	8	1.0
ncia</w>	3	3	1.0
mo	8	8	1.0
imp	8	8	1.0
gl	1	1	1.0
gan	3	3	1.0
ch	2	2	1.0
ada</w>	8	8	1.0
tra	7	7	1.0
que	7	7	1.0
po	7	7	1.0
me	7	7	1.0
glori	7	7	1.0
da</w>	7	7	1.0
ac	7	7	1.0
ões</w>	2	2	1.0
ço	1	1	1.0
vel</w>	2	2	1.0
va</w>	6	6	1.0
tri	6	6	1.0
to	6	6	1.0
sti	6	6	1.0
sof	6	6	1.0
sant	6	6	1.0
rep	6	6	1.0
rem</w>	6	6	1.0
ram</w>	6	6	1.0
ran	6	6	1.0
pri	6	6	1.0
pr	6	6	1.0
ni	6	6	1.0
lou	6	6	1.0
ir	6	6	1.0
fic	6	6	1.0
fu	6	6	1.0
entes</w>	6	6	1.0
eis</w>	6	6	1.0
est	6	6	1.0
ece	6	6	1.0
dig	1	1	1.0
chor	6	6	1.0
ança</w>	6	6	1.0
ament	6	6	1.0
ale	6	6	1.0
ais</w>	6	6	1.0
ço</w>	5	5	1.0
ância</w>	5	5	1.0
verg	0	0	0
vergon	0	0	0
vergonh	5	5	1.0
vo</w>	5	5	1.0
ura</w>	5	5	1.0
ult	5	5	1.0
tem	5	5	1.0
sol	5	5	1.0
si	5	5	1.0
prov	5	5	1.0
paci	5	5	1.0
pu	1	1	1.0
pos	5	5	1.0
osos</w>	5	5	1.0
ou</w>	5	5	1.0
mento</w>	5	5	1.0
mat	5	5	1.0
jo	5	5	1.0
imor	5	5	1.0
im	5	5	1.0
fra	5	5	1.0
fer	5	5	1.0
enço	0	0	0
engan	5	5	1.0
dign	5	5	1.0
dos</w>	5	5	1.0
den	5	5	1.0
bi	5	5	1.0
ber	5	5	1.0
ante</w>	5	5	1.0
ando</w>	5	5	1.0
abenço	5	5	1.0
ass	4	4	1.0
ível</w>	4	4	1.0
ções</w>	4	4	1.0
ven	4	4	1.0
uro</w>	4	4	1.0
tern	4	4	1.0
tu	4	4	1.0
ti	4	4	1.0
tado</w>	4	4	1.0
su	4	4	1.0
so</w>	4	4	1.0
ser	4	4	1.0
rio</w>	4	4	1.0
ria</w>	4	4	1.0
reza</w>	4	4	1.0
puri	4	4	1.0
perdi	4	4	1.0
pec	4	4	1.0
pes	4	4	1.0
ores</w>	4	4	1.0
