subword	prod	cum_freq	idiosyncrasy_index
în	19	19	1.0
in	19	19	1.0
re	12	12	1.0
er	13	13	1.0
ar	13	13	1.0
ri	12	12	1.0
ni	14	14	1.0
ne	29	29	1.0
cu	22	22	1.0
or	15	15	1.0
iu	5	5	1.0
ul</w>	21	21	1.0
el	5	5	1.0
ân	9	9	1.0
st	12	12	1.0
de	17	17	1.0
te</w>	17	17	1.0
ră	20	20	1.0
ra	7	7	1.0
la	14	14	1.0
are</w>	16	16	1.0
ți</w>	14	14	1.0
te	9	9	1.0
ta	7	7	1.0
du	10	10	1.0
ţi</w>	17	17	1.0
sf	8	8	1.0
rea</w>	8	8	1.0
mîn	13	13	1.0
ii</w>	12	12	1.0
ve	10	10	1.0
ele	1	1	1.0
inţ	6	6	1.0
ul	2	2	1.0
nic	6	6	1.0
iub	1	1	1.0
bu	14	14	1.0
pl	8	8	1.0
ier	13	13	1.0
di	7	7	1.0
tă</w>	12	12	1.0
sp	12	12	1.0
ru	8	8	1.0
mân	12	12	1.0
mi	12	12	1.0
lo	4	4	1.0
co	12	12	1.0
mor	11	11	1.0
at</w>	11	11	1.0
as	6	6	1.0
ăc	4	4	1.0
rep	1	1	1.0
red	2	2	1.0
re</w>	10	10	1.0
pri	10	10	1.0
ei</w>	10	10	1.0
bo	6	6	1.0
ăt	5	5	1.0
vi	9	9	1.0
me	9	9	1.0
inț	5	5	1.0
drep	9	9	1.0
că</w>	4	4	1.0
al	9	9	1.0
ţele	0	0	0
înţele	4	4	1.0
ui	3	3	1.0
ro	3	3	1.0
mo	8	8	1.0
lă	3	3	1.0
le	3	3	1.0
iubi	8	8	1.0
ib	3	3	1.0
gă	3	3	1.0
cura	5	5	1.0
cred	8	8	1.0
ch	4	4	1.0
țele	0	0	0
înțele	3	3	1.0
vă	3	3	1.0
uf	0	0	0
ufer	0	0	0
tul</w>	7	7	1.0
sufer	7	7	1.0
po	7	7	1.0
ne</w>	1	1	1.0
ho	3	3	1.0
ge	7	7	1.0
fi	7	7	1.0
cin	4	4	1.0
an	7	7	1.0
ţi	6	6	1.0
ulu	0	0	0
ului</w>	6	6	1.0
tate</w>	6	6	1.0
să	6	6	1.0
sla	6	6	1.0
ri</w>	3	3	1.0
păc	6	6	1.0
nă</w>	6	6	1.0
mul	2	2	1.0
iune</w>	6	6	1.0
fă	6	6	1.0
ere</w>	6	6	1.0
ele</w>	6	6	1.0
ea</w>	6	6	1.0
dist	2	2	1.0
dă</w>	6	6	1.0
ci	6	6	1.0
am	6	6	1.0
ţii</w>	5	5	1.0
înt	1	1	1.0
vo	1	1	1.0
tem	5	5	1.0
tat</w>	5	5	1.0
tui	5	5	1.0
sfinţ	5	5	1.0
se	5	5	1.0
rii</w>	5	5	1.0
plân	5	5	1.0
pro	5	5	1.0
nie</w>	5	5	1.0
nea</w>	1	1	1.0
mâ	5	5	1.0
legă	5	5	1.0
lib	1	1	1.0
iube	5	5	1.0
ge</w>	5	5	1.0
fo	5	5	1.0
flă	5	5	1.0
dra	5	5	1.0
ască</w>	5	5	1.0
ară</w>	5	5	1.0
ari</w>	5	5	1.0
ați</w>	5	5	1.0
area</w>	5	5	1.0
ţă</w>	4	4	1.0
şt	4	4	1.0
ător	4	4	1.0
ăde	1	1	1.0
înțelep	4	4	1.0
înţelep	4	4	1.0
întri	0	0	0
întrist	4	4	1.0
îndu	4	4	1.0
vnic	0	0	0
vnice	0	0	0
vin	4	4	1.0
va</w>	4	4	1.0
tea</w>	4	4	1.0
tă	4	4	1.0
sfinț	4	4	1.0
sc</w>	4	4	1.0
sc	4	4	1.0
pre	4	4	1.0
ost	4	4	1.0
os</w>	4	4	1.0
oare</w>	4	4	1.0
nică</w>	4	4	1.0
mîni	4	4	1.0
mulţ	4	4	1.0
lori	0	0	0
lor</w>	4	4	1.0
liber	4	4	1.0
iunea</w>	4	4	1.0
inţă</w>	4	4	1.0
ic	4	4	1.0
hovnice	0	0	0
glori	4	4	1.0
fri	4	4	1.0
fe	4	4	1.0
erea</w>	4	4	1.0
duhovnice	4	4	1.0
distru	4	4	1.0
devă	0	0	0
de</w>	4	4	1.0
cur	4	4	1.0
chi	4	4	1.0
bog	4	4	1.0
bin	4	4	1.0
avo	4	4	1.0
au	4	4	1.0
adevă	4	4	1.0
șt	3	3	1.0
şin	3	3	1.0
ădej	3	3	1.0
ăp	3	3	1.0
ăni	3	3	1.0
ăd	3	3	1.0
îng	3	3	1.0
încura	0	0	0
încuraj	3	3	1.0
zi</w>	3	3	1.0
zi	3	3	1.0
veș	3	3	1.0
vecin	3	3	1.0
vă</w>	3	3	1.0
vîn	3	3	1.0
ut	3	3	1.0
uri</w>	3	3	1.0
