subword	prod	cum_freq	idiosyncrasy_index
ст	2809	12224	4.351726593093628
ни	2337	11184	4.785622593068036
ра	2915	14535	4.986277873070326
ве	1910	12096	6.332984293193717
ла	1273	6022	4.7305577376276515
ро	2126	14662	6.896519285042333
по	4328	28464	6.576709796672828
ре	2501	11457	4.580967612954818
во	2465	20137	8.169168356997972
до	1361	8988	6.603967670830272
ть</w>	1421	9588	6.747361013370866
ло	1629	8659	5.315531000613873
да	1570	8031	5.115286624203821
ер	824	4933	5.986650485436893
го	1582	19373	12.245891276864729
ко	1650	15568	9.435151515151516
ся</w>	1105	3553	3.2153846153846155
но	2232	11246	5.038530465949821
ли	1827	7339	4.016967706622879
ени	687	2025	2.947598253275109
бо	755	8369	11.08476821192053
бла	58	293	5.051724137931035
не	2275	12362	5.4338461538461535
ны	669	2114	3.1599402092675635
ле	1870	9442	5.0491978609625665
де	1663	16925	10.17739025856885
ва	2770	12501	4.512996389891697
доб	36	199	5.527777777777778
лю	316	1531	4.844936708860759
бе	930	3270	3.5161290322580645
па	569	1934	3.398945518453427
на	2916	18128	6.216735253772291
ви	1680	9775	5.818452380952381
ди	1285	6055	4.712062256809339
го</w>	1124	19216	17.09608540925267
сти	465	1757	3.778494623655914
благо	297	1118	3.7643097643097643
би	455	1334	2.9318681318681317
те	1216	8350	6.8667763157894735
со	1538	6899	4.485695708712614
про	1218	5062	4.155993431855501
ми	767	2648	3.452411994784876
сть</w>	184	3007	16.342391304347824
сти</w>	199	1697	8.527638190954773
сь</w>	813	2523	3.103321033210332
пре	933	4452	4.771704180064309
сла	229	1103	4.816593886462882
за	1720	10902	6.338372093023255
воз	748	3140	4.197860962566845
хо	818	4199	5.1332518337408315
пра	351	1569	4.47008547008547
мо	1263	11032	8.734758511480601
мер	184	822	4.467391304347826
уд	324	3473	10.719135802469136
раз	804	2379	2.958955223880597
но</w>	583	5904	10.126929674099486
ль	978	4706	4.811860940695296
ли</w>	1515	14778	9.754455445544554
ение</w>	276	1917	6.945652173913044
вер	725	2938	4.052413793103448
вели	119	846	7.109243697478991
те</w>	1052	4774	4.538022813688213
стра	189	743	3.931216931216931
пе	731	2914	3.9863201094391245
ка	1509	14450	9.575878064943671
ть	210	1150	5.476190476190476
св	4	22	5.5
свя	207	1712	8.270531400966183
ри	1026	6404	6.241715399610136
праве	5	39	7.8
правед	63	443	7.031746031746032
жа	626	1848	2.952076677316294
гре	156	1073	6.878205128205129
ых</w>	234	1964	8.393162393162394
ши	1246	4155	3.3346709470304976
ум	445	1436	3.2269662921348314
то	1277	16288	12.754894283476899
ны</w>	585	3153	5.38974358974359
мерт	67	605	9.029850746268657
жи	781	5442	6.967989756722151
благода	42	237	5.642857142857143
ым</w>	162	858	5.296296296296297
ще	770	2757	3.5805194805194804
че	776	5921	7.630154639175258
сто	676	3314	4.902366863905326
ста	948	5607	5.9145569620253164
сле	230	956	4.156521739130435
ру	749	5276	7.0440587449933245
ниц	152	597	3.9276315789473686
люб	42	324	7.714285714285714
ла</w>	782	3946	5.046035805626598
гла	191	1153	6.036649214659686
ти</w>	110	1487	13.518181818181818
тер	104	434	4.173076923076923
сво	137	5062	36.948905109489054
ние</w>	223	1216	5.452914798206278
ну	689	1636	2.374455732946299
мило	76	460	6.052631578947368
ми</w>	1225	6159	5.027755102040817
лу	620	3191	5.146774193548387
веч	76	758	9.973684210526315
ться</w>	340	1012	2.976470588235294
ти	894	4085	4.569351230425056
свобо	26	58	2.230769230769231
су	390	2777	7.12051282051282
ско	447	2150	4.809843400447427
ным</w>	293	676	2.3071672354948807
ния</w>	254	1238	4.874015748031496
на</w>	715	12799	17.9006993006993
муд	37	187	5.054054054054054
ки</w>	335	2529	7.549253731343284
исти	61	555	9.098360655737705
жд	201	2289	11.388059701492537
ения</w>	296	1559	5.266891891891892
ем</w>	574	3243	5.649825783972125
добро	33	199	6.03030303030303
добр	19	184	9.68421052631579
ва</w>	436	3311	7.594036697247707
ют</w>	507	1308	2.5798816568047336
ые</w>	171	1869	10.929824561403509
щи	1109	3093	2.788999098286745
ше	813	4482	5.512915129151292
хва	115	372	3.234782608695652
уби	96	509	5.302083333333333
страда	47	128	2.723404255319149
слеп	17	52	3.0588235294117645
свобод	20	62	3.1
сну	33	99	3.0
ск	871	3273	3.7577497129735935
преда	65	454	6.984615384615385
пог	102	416	4.078431372549019
пас	143	766	5.356643356643357
при	1264	6268	4.958860759493671
от	1058	5239	4.9517958412098295
наде	64	262	4.09375
нно	563	1311	2.3285968028419184
ма	942	3199	3.3959660297239913
люби	66	306	4.636363636363637
гро	57	213	3.736842105263158
га	821	2171	2.6443361753958587
ят</w>	269	1401	5.20817843866171
ща	484	1133	2.340909090909091
ху	119	306	2.5714285714285716
ус	331	2103	6.353474320241692
тся</w>	1026	2981	2.905458089668616
скор	63	306	4.857142857142857
свят	36	500	13.88888888888889
рад	112	651	5.8125
ный</w>	378	1085	2.8703703703703702
ник</w>	97	1060	10.927835051546392
ме	1095	8947	8.170776255707763
лись</w>	450	1742	3.871111111111111
ки	419	1934	4.615751789976134
зо	241	870	3.6099585062240664
же	747	4410	5.903614457831325
гроб	16	95	5.9375
ге	157	642	4.089171974522293
бой	14	169	12.071428571428571
ью</w>	142	686	4.830985915492958
ша</w>	41	433	10.560975609756097
хов	30	52	1.7333333333333334
слав	68	463	6.8088235294117645
сло	206	2143	10.402912621359222
сер	103	1171	11.368932038834952
се	1083	10162	9.383194829178208
радо	38	303	7.973684210526316
подоб	50	287	5.74
пло	101	677	6.702970297029703
пла	159	531	3.339622641509434
ог	65	380	5.846153846153846
обла	50	267	5.34
ные</w>	438	1225	2.7968036529680367
ное</w>	172	631	3.6686046511627906
нико	163	926	5.680981595092025
немо	41	110	2.682926829268293
ня	633	2056	3.2480252764612954
ни</w>	193	5692	29.492227979274613
мудро	16	244	15.25
му</w>	509	6836	13.430255402750491
ль</w>	152	972	6.394736842105263
лу</w>	92	514	5.586956521739131
косну	17	63	3.7058823529411766
ка</w>	278	2176	7.827338129496403
из	769	4675	6.079323797139142
золо	30	480	16.0
ден</w>	44	137	3.1136363636363638
боя	38	201	5.2894736842105265
бед	59	405	6.864406779661017
яво	7	7	1.0
ьяво	0	0	0
ый</w>	195	2395	12.282051282051283
ча	625	2853	4.5648
хро	13	37	2.8461538461538463
хи	296	671	2.266891891891892
умре	5	150	30.0
упа	142	596	4.197183098591549
терп	26	82	3.1538461538461537
тесь</w>	252	686	2.7222222222222223
тем	24	46	1.9166666666666667
темниц	5	72	14.4
