subword	prod	cum_freq	idiosyncrasy_index
ст	8	8	1.0
ра	9	9	1.0
ve	11	11	1.0
la	12	12	1.0
st	8	8	1.0
ве	9	9	1.0
ro	9	9	1.0
ra	12	12	1.0
ла	11	11	1.0
ро	14	14	1.0
до	9	9	1.0
ti</w>	19	19	1.0
en	9	9	1.0
lj	12	12	1.0
да	12	12	1.0
vo	16	16	1.0
ob	8	8	1.0
ne	12	12	1.0
re	10	10	1.0
ти</w>	13	13	1.0
ло	3	3	1.0
во	13	13	1.0
op	6	6	1.0
at	8	8	1.0
сти</w>	12	12	1.0
па	12	12	1.0
ни</w>	12	12	1.0
ни	6	6	1.0
не	8	8	1.0
мр	4	4	1.0
бо	9	9	1.0
ub	0	0	0
по	11	11	1.0
на	11	11	1.0
ми	6	6	1.0
ва	5	5	1.0
sti	6	6	1.0
sla	11	11	1.0
os	7	7	1.0
ni	11	11	1.0
li	5	5	1.0
da	11	11	1.0
ре	6	6	1.0
ли	5	5	1.0
vi	10	10	1.0
na	10	10	1.0
mr	5	5	1.0
as	6	6	1.0
уб	0	0	0
стра	5	5	1.0
сти	4	4	1.0
ст</w>	9	9	1.0
сла	9	9	1.0
про	5	5	1.0
ви	9	9	1.0
ri	9	9	1.0
je</w>	9	9	1.0
те</w>	8	8	1.0
но	8	8	1.0
li</w>	8	8	1.0
dob	8	8	1.0
уд	3	3	1.0
те	4	4	1.0
та	4	4	1.0
си	6	6	1.0
раз	2	2	1.0
ма</w>	3	3	1.0
ле	3	3	1.0
из	7	7	1.0
вер	7	7	1.0
št	1	1	1.0
či	7	7	1.0
va	7	7	1.0
te</w>	7	7	1.0
sti</w>	7	7	1.0
si	7	7	1.0
rad	7	7	1.0
opro	7	7	1.0
mi	7	7	1.0
bo	7	7	1.0
ње</w>	6	6	1.0
хва	6	6	1.0
пра	3	3	1.0
ог	6	6	1.0
ниц	3	3	1.0
ли</w>	6	6	1.0
доб	2	2	1.0
šten	6	6	1.0
ver	6	6	1.0
veli	0	0	0
velik	6	6	1.0
ubi	6	6	1.0
um	2	2	1.0
ud	6	6	1.0
po	6	6	1.0
no</w>	6	6	1.0
no	6	6	1.0
ne</w>	6	6	1.0
ljub	6	6	1.0
iz	6	6	1.0
љуб	2	2	1.0
ја	5	5	1.0
ђе	5	5	1.0
ум	0	0	0
сло	2	2	1.0
све	2	2	1.0
разум	1	1	1.0
ри	5	5	1.0
не</w>	5	5	1.0
мрт	5	5	1.0
мило	5	5	1.0
лик	0	0	0
исти	5	5	1.0
за	5	5	1.0
ду</w>	5	5	1.0
го	5	5	1.0
велик	5	5	1.0
ви</w>	5	5	1.0
ва</w>	5	5	1.0
бе	5	5	1.0
će</w>	5	5	1.0
za	5	5	1.0
vat	5	5	1.0
va</w>	5	5	1.0
ti	5	5	1.0
sve	5	5	1.0
sa	5	5	1.0
pro	5	5	1.0
pla	5	5	1.0
pa	5	5	1.0
od	5	5	1.0
ni</w>	5	5	1.0
mrt	5	5	1.0
mo	5	5	1.0
ma</w>	5	5	1.0
lu	1	1	1.0
le	5	5	1.0
ka	5	5	1.0
ju</w>	5	5	1.0
isti	5	5	1.0
an	5	5	1.0
ћу</w>	1	1	1.0
ња</w>	4	4	1.0
ју</w>	4	4	1.0
чи	4	4	1.0
уби	4	4	1.0
страда	4	4	1.0
сле	4	4	1.0
разуме	4	4	1.0
радо	4	4	1.0
опро	4	4	1.0
муд	4	4	1.0
ма	4	4	1.0
има</w>	4	4	1.0
добр	4	4	1.0
ди</w>	4	4	1.0
да</w>	4	4	1.0
гре	4	4	1.0
гне	4	4	1.0
бла	4	4	1.0
ао</w>	4	4	1.0
ži	4	4	1.0
žen	0	0	0
zum	4	4	1.0
zas	0	0	0
zaslu	0	0	0
zaslužen	0	0	0
več	4	4	1.0
vi</w>	4	4	1.0
stra	4	4	1.0
rom	4	4	1.0
pre	4	4	1.0
pra	4	4	1.0
ost</w>	4	4	1.0
om</w>	4	4	1.0
nezaslužen	4	4	1.0
lad	4	4	1.0
lo</w>	4	4	1.0
ja	4	4	1.0
gro	4	4	1.0
ће</w>	3	3	1.0
љуба	3	3	1.0
љи	0	0	0
ље</w>	3	3	1.0
ђа	3	3	1.0
шћу</w>	3	3	1.0
ште	3	3	1.0
ше</w>	3	3	1.0
там	0	0	0
тамниц	3	3	1.0
та</w>	3	3	1.0
стр	0	0	0
стрп	0	0	0
стрпљи	3	3	1.0
слобо	3	3	1.0
свет	3	3	1.0
смр	3	3	1.0
се	3	3	1.0
са	3	3	1.0
праве	3	3	1.0
