subword	prod	cum_freq	idiosyncrasy_index
st	7	7	1.0
en	13	13	1.0
od	13	13	1.0
ra	4	4	1.0
ob	11	11	1.0
ne	28	28	1.0
os	6	6	1.0
ch	18	18	1.0
ie	5	5	1.0
ve	5	5	1.0
sl	2	2	1.0
iv	5	5	1.0
ost	4	4	1.0
il	0	0	0
po	15	15	1.0
mil	6	6	1.0
la	7	7	1.0
eni	3	3	1.0
ch</w>	9	9	1.0
ou</w>	9	9	1.0
lá	5	5	1.0
va	5	5	1.0
tr	4	4	1.0
rav	0	0	0
prav	0	0	0
pr	15	15	1.0
osti</w>	15	15	1.0
liv	3	3	1.0
vä	1	1	1.0
dob	3	3	1.0
za	9	9	1.0
osť</w>	13	13	1.0
iť</w>	12	12	1.0
zá	11	11	1.0
il</w>	11	11	1.0
ľk	0	0	0
ých</w>	10	10	1.0
éh	0	0	0
ého</w>	10	10	1.0
veľk	10	10	1.0
vie	3	3	1.0
uj	1	1	1.0
ro	6	6	1.0
ož	6	6	1.0
li</w>	10	10	1.0
ia	7	7	1.0
el	6	6	1.0
vät	3	3	1.0
vy	6	6	1.0
va</w>	6	6	1.0
rad	6	6	1.0
om</w>	9	9	1.0
ný</w>	9	9	1.0
ni	9	9	1.0
na	9	9	1.0
mr	4	4	1.0
enie</w>	9	9	1.0
trp	4	4	1.0
sprav	0	0	0
spravod	0	0	0
spravodliv	8	8	1.0
sk	0	0	0
pa	4	4	1.0
lásk	8	8	1.0
ko	8	8	1.0
hr	3	3	1.0
ep	2	2	1.0
dobr	8	8	1.0
ar	4	4	1.0
ťou</w>	1	1	1.0
či	2	2	1.0
ým</w>	7	7	1.0
áv	3	3	1.0
vier	7	7	1.0
pravd	7	7	1.0
ova	3	3	1.0
né</w>	7	7	1.0
ha	7	7	1.0
bo	7	7	1.0
ťa	6	6	1.0
úd	1	1	1.0
zl	6	6	1.0
ver	6	6	1.0
vá	1	1	1.0
te</w>	6	6	1.0
slep	6	6	1.0
svät	6	6	1.0
pos	6	6	1.0
osťou</w>	6	6	1.0
odp	2	2	1.0
ní</w>	6	6	1.0
ná	2	2	1.0
miluj	2	2	1.0
men	6	6	1.0
la</w>	6	6	1.0
hla	6	6	1.0
enia</w>	6	6	1.0
ez	2	2	1.0
do	6	6	1.0
ak	3	3	1.0
ab	1	1	1.0
čist	5	5	1.0
údr	0	0	0
zla	0	0	0
zlat	5	5	1.0
vo</w>	2	2	1.0
vi	5	5	1.0
ut	5	5	1.0
ust	1	1	1.0
slab	5	5	1.0
smr	2	2	1.0
rú	5	5	1.0
pá	2	2	1.0
pod	1	1	1.0
obod	1	1	1.0
ov	5	5	1.0
ok</w>	5	5	1.0
múdr	5	5	1.0
lu	2	2	1.0
ieť</w>	5	5	1.0
hrie	5	5	1.0
hne	5	5	1.0
ení</w>	5	5	1.0
ej</w>	5	5	1.0
chvá	1	1	1.0
chu</w>	5	5	1.0
živ	4	4	1.0
ža	1	1	1.0
šel	0	0	0
šelm	4	4	1.0
ŕt	0	0	0
úž	1	1	1.0
ém	1	1	1.0
zab	4	4	1.0
zost	4	4	1.0
zm	1	1	1.0
väz	4	4	1.0
vn	4	4	1.0
trpez	0	0	0
trpezliv	4	4	1.0
te	4	4	1.0
stra	4	4	1.0
star	4	4	1.0
sláv	4	4	1.0
slobod	4	4	1.0
roz	4	4	1.0
podob	4	4	1.0
pok	4	4	1.0
pad	4	4	1.0
odpust	4	4	1.0
oh	4	4	1.0
nád	4	4	1.0
ny</w>	4	4	1.0
miluje	4	4	1.0
milova	4	4	1.0
mŕt	4	4	1.0
lož	4	4	1.0
le	4	4	1.0
ky</w>	4	4	1.0
ku</w>	4	4	1.0
ka</w>	4	4	1.0
ili</w>	4	4	1.0
ho	4	4	1.0
ej	4	4	1.0
chvál	4	4	1.0
bá	4	4	1.0
žalá	0	0	0
žalár	3	3	1.0
žia	3	3	1.0
ší</w>	3	3	1.0
ňa	3	3	1.0
ľú	0	0	0
ľúb	3	3	1.0
ďak	3	3	1.0
úp	3	3	1.0
émo	3	3	1.0
zmlu	3	3	1.0
zrad	3	3	1.0
zo	3	3	1.0
vytr	0	0	0
vytrva	0	0	0
vytrval	3	3	1.0
več	3	3	1.0
uje</w>	3	3	1.0
ur	3	3	1.0
udob	3	3	1.0
ub	3	3	1.0
tí</w>	3	3	1.0
tra	3	3	1.0
stvo</w>	3	3	1.0
stva</w>	3	3	1.0
smrt	3	3	1.0
slúž	3	3	1.0
sť</w>	3	3	1.0
spá	0	0	0
spás	3	3	1.0
smil	3	3	1.0
sm	3	3	1.0
rn	3	3	1.0
re	3	3	1.0
