subword	prod	cum_freq	idiosyncrasy_index
ve	6	6	1.0
st	11	11	1.0
lj	6	6	1.0
ra	2	2	1.0
re	8	8	1.0
po	21	21	1.0
ob	6	6	1.0
en	9	9	1.0
ne	11	11	1.0
la	10	10	1.0
od	7	7	1.0
ub	7	7	1.0
vi	11	11	1.0
ni	10	10	1.0
li</w>	17	17	1.0
za	10	10	1.0
os	3	3	1.0
li	5	5	1.0
sti</w>	5	5	1.0
nj	5	5	1.0
va	6	6	1.0
ljub	7	7	1.0
ga</w>	4	4	1.0
dob	8	8	1.0
ča	8	8	1.0
ti</w>	14	14	1.0
mi	9	9	1.0
je	8	8	1.0
ri	9	9	1.0
ost</w>	8	8	1.0
osti</w>	7	7	1.0
mr	5	5	1.0
mo	9	9	1.0
iv	0	0	0
en</w>	11	11	1.0
raz	12	12	1.0
bo	9	9	1.0
veli	2	2	1.0
ni</w>	11	11	1.0
il</w>	11	11	1.0
sl	1	1	1.0
pre	10	10	1.0
ljiv	4	4	1.0
ljen	7	7	1.0
či	2	2	1.0
tr	2	2	1.0
pu	2	2	1.0
pra	3	3	1.0
pa	2	2	1.0
ov	5	5	1.0
no</w>	7	7	1.0
lo	7	7	1.0
ko	9	9	1.0
jo</w>	9	9	1.0
je</w>	6	6	1.0
ver	5	5	1.0
sla	3	3	1.0
mrt	8	8	1.0
el</w>	8	8	1.0
ega</w>	8	8	1.0
ši	1	1	1.0
čist	2	2	1.0
vič	1	1	1.0
več	7	7	1.0
um	7	7	1.0
trp	3	3	1.0
ro	7	7	1.0
odpu	7	7	1.0
ka	3	3	1.0
hva	7	7	1.0
šč	1	1	1.0
ves	2	2	1.0
už	1	1	1.0
te</w>	3	3	1.0
te	6	6	1.0
ta	3	3	1.0
sra	6	6	1.0
pravič	6	6	1.0
na</w>	6	6	1.0
mod	6	6	1.0
lo</w>	6	6	1.0
jez	6	6	1.0
da	6	6	1.0
ža	3	3	1.0
velik	5	5	1.0
vet	0	0	0
užen	1	1	1.0
us	0	0	0
usmi	2	2	1.0
ud	1	1	1.0
sta	2	2	1.0
slav	5	5	1.0
sle	1	1	1.0
svet	5	5	1.0
sk	5	5	1.0
res	1	1	1.0
ri</w>	5	5	1.0
og	5	5	1.0
nje</w>	5	5	1.0
nic	1	1	1.0
nečist	5	5	1.0
neza	1	1	1.0
nost</w>	5	5	1.0
na	5	5	1.0
me	5	5	1.0
ljubi	5	5	1.0
jo	1	1	1.0
ga	2	2	1.0
žljiv	2	2	1.0
ži	2	2	1.0
šj	1	1	1.0
zave	1	1	1.0
vese	1	1	1.0
veliča	1	1	1.0
vo	4	4	1.0
upa	4	4	1.0
trpe	4	4	1.0
stra	4	4	1.0
slep	4	4	1.0
služen	0	0	0
sov	0	0	0
sovra	4	4	1.0
sa	4	4	1.0
resnic	4	4	1.0
pog	4	4	1.0
podob	4	4	1.0
pri	4	4	1.0
nja	4	4	1.0
nezaslužen	4	4	1.0
nosti</w>	4	4	1.0
mot	4	4	1.0
le	4	4	1.0
la</w>	4	4	1.0
joka	4	4	1.0
iz	4	4	1.0
im</w>	4	4	1.0
hud	4	4	1.0
gre	4	4	1.0
go	4	4	1.0
žni	3	3	1.0
živ	3	3	1.0
ščen	1	1	1.0
šib	1	1	1.0
če</w>	3	3	1.0
zavez	3	3	1.0
zve	3	3	1.0
višj	3	3	1.0
veselj	3	3	1.0
veri</w>	3	3	1.0
veličast	3	3	1.0
val</w>	3	3	1.0
vre	0	0	0
vred	3	3	1.0
vob	0	0	0
vobod	0	0	0
vo</w>	3	3	1.0
ve</w>	3	3	1.0
va</w>	3	3	1.0
usmiljen	3	3	1.0
uje</w>	3	3	1.0
uh	3	3	1.0
tak	3	3	1.0
to	3	3	1.0
star	3	3	1.0
svobod	3	3	1.0
reši	3	3	1.0
pad	3	3	1.0
obla	3	3	1.0
nja</w>	3	3	1.0
nič	3	3	1.0
nega</w>	3	3	1.0
ng	0	0	0
ma	3	3	1.0
ljube	0	0	0
ljubez	3	3	1.0
lju	3	3	1.0
lil</w>	3	3	1.0
lač	3	3	1.0
ko</w>	3	3	1.0
ju</w>	3	3	1.0
jte</w>	3	3	1.0
ja	3	3	1.0
ili</w>	3	3	1.0
gos	3	3	1.0
er</w>	3	3	1.0
dobr	3	3	1.0
dr	3	3	1.0
do	3	3	1.0
boga	3	3	1.0
bre	3	3	1.0
ang	3	3	1.0
žljivosti</w>	2	2	1.0
žive	2	2	1.0
žalo	2	2	1.0
žen</w>	2	2	1.0
ščeno</w>	2	2	1.0
ščljiv	2	2	1.0
šibk	2	2	1.0
šča	2	2	1.0
šno</w>	2	2	1.0
