subword	prod	cum_freq	idiosyncrasy_index
en	1563	13347	8.539347408829174
er	1915	25951	13.551436031331592
ci	922	10858	11.776572668112799
ar	2722	13810	5.073475385745775
an	1243	10553	8.48994368463395
re	1605	11290	7.034267912772585
os</w>	2197	57574	26.20573509330906
ent	679	9190	13.53460972017673
ad	1140	7176	6.294736842105263
or	928	11828	12.745689655172415
os	532	6330	11.898496240601503
on	892	10694	11.988789237668161
al	1166	11068	9.492281303602057
am	1136	10746	9.459507042253522
in	1210	9550	7.892561983471074
di	1072	18831	17.566231343283583
es	1432	22045	15.394553072625698
ón</w>	209	4112	19.67464114832536
ri	744	6679	8.977150537634408
es</w>	982	21303	21.69348268839104
vi	551	7674	13.927404718693285
ti	978	9981	10.205521472392638
da	354	4493	12.692090395480227
ción</w>	96	1053	10.96875
do</w>	800	13354	16.6925
bl	226	4434	19.61946902654867
as</w>	1716	23699	13.81060606060606
si	613	7199	11.743882544861338
per	470	5646	12.012765957446808
mp	227	2318	10.211453744493392
tr	635	12531	19.733858267716535
em	591	3774	6.385786802030457
el	611	9743	15.945990180032734
ca	675	7554	11.19111111111111
pr	234	1486	6.35042735042735
fi	331	2669	8.06344410876133
dad</w>	113	2581	22.84070796460177
ant	265	3269	12.335849056603774
pe	226	1262	5.584070796460177
gr	252	3190	12.658730158730158
ar</w>	537	4922	9.165735567970206
end	362	2728	7.535911602209945
cia</w>	40	1315	32.875
ado</w>	778	8008	10.29305912596401
con	978	7797	7.97239263803681
ver	190	1559	8.205263157894738
st	816	6925	8.486519607843137
ente</w>	159	1777	11.176100628930818
co	470	13800	29.361702127659573
an</w>	1033	7879	7.62729912875121
za</w>	112	1636	14.607142857142858
ur	467	3412	7.3062098501070665
en</w>	537	19563	36.43016759776536
des	811	5384	6.638717632552405
uer	94	1823	19.393617021276597
or</w>	199	11240	56.482412060301506
mi	495	5970	12.06060606060606
li	477	2908	6.09643605870021
ec	659	5070	7.693474962063733
su	398	8137	20.444723618090453
lor	27	65	2.4074074074074074
ac	684	6550	9.576023391812866
on</w>	258	5390	20.891472868217054
bi	442	6853	15.504524886877828
ación</w>	122	1563	12.811475409836065
ul	355	2275	6.408450704225352
to</w>	221	6716	30.38914027149321
perd	12	53	4.416666666666667
pi	302	2812	9.311258278145695
oso</w>	80	556	6.95
ju	159	3290	20.69182389937107
gn	53	233	4.39622641509434
ble</w>	75	389	5.1866666666666665
aj	180	998	5.544444444444444
ía</w>	371	6174	16.641509433962263
ter	242	1696	7.008264462809917
se</w>	213	7744	36.35680751173709
sa	286	3066	10.72027972027972
pro	392	2584	6.591836734693878
lo</w>	208	6345	30.504807692307693
ir	274	1642	5.992700729927007
comp	187	751	4.016042780748663
aci	113	1354	11.982300884955752
se	394	6795	17.246192893401016
pre	443	2430	5.485327313769751
glor	7	21	3.0
ej	240	2392	9.966666666666667
eg	234	3376	14.427350427350428
eci	249	1727	6.93574297188755
cu	475	7364	15.503157894736843
cel	63	310	4.920634920634921
br	410	4917	11.992682926829268
amente</w>	125	907	7.256
as	430	4184	9.730232558139535
