subword	prod	cum_freq	idiosyncrasy_index
ig	342	2120	6.1988304093567255
ör	420	5864	13.961904761904762
för	1316	10130	7.697568389057751
st	2019	19423	9.620108964834076
he	407	13565	33.32923832923833
nd	650	6765	10.407692307692308
är	646	11240	17.39938080495356
li	588	4848	8.244897959183673
sk	1154	11951	10.356152512998268
en</w>	1706	38328	22.466588511137164
iga</w>	124	1092	8.806451612903226
rä	673	6559	9.745913818722139
ra	1119	13238	11.830205540661305
in	875	12858	14.694857142857144
el	700	7638	10.911428571428571
il	331	2001	6.045317220543807
het</w>	152	1340	8.81578947368421
re	793	7512	9.472887767969736
er	1579	10480	6.637112096263458
tr	154	1741	11.305194805194805
er</w>	1076	31768	29.524163568773233
ta	1006	9723	9.665009940357853
ri	555	5091	9.172972972972973
de</w>	794	29558	37.22670025188917
ta</w>	369	7242	19.6260162601626
lig	172	2071	12.040697674418604
ar	1260	10356	8.219047619047618
ng	409	3396	8.30317848410758
äl	488	5081	10.41188524590164
ska	323	10254	31.74613003095975
mo	320	5090	15.90625
ka</w>	213	3511	16.483568075117372
ju	377	4537	12.03448275862069
förl	36	168	4.666666666666667
els	216	970	4.4907407407407405
da</w>	312	4579	14.676282051282051
vil	111	3588	32.32432432432432
va	573	11323	19.760907504363
st</w>	200	2834	14.17
pp	240	1466	6.108333333333333
et</w>	621	16549	26.648953301127214
br	248	2628	10.596774193548388
ärd	47	305	6.48936170212766
tt	553	5260	9.511754068716094
nd</w>	57	3988	69.96491228070175
na</w>	1177	10427	8.858963466440102
lö	225	1133	5.035555555555556
la</w>	214	8862	41.41121495327103
ka	745	5215	7.0
en	640	6587	10.2921875
tro	121	1131	9.347107438016529
sy	115	1120	9.73913043478261
or	916	11732	12.807860262008735
na	1109	7837	7.066726780883679
la	883	9700	10.985277463193658
fa	303	3834	12.653465346534654
else</w>	117	1178	10.068376068376068
and	218	2866	13.146788990825687
ut	491	2701	5.5010183299389
uk	84	767	9.130952380952381
sa	944	12953	13.721398305084746
nin	333	1581	4.747747747747748
ne	309	3530	11.423948220064725
ig</w>	117	13655	116.7094017094017
här	117	893	7.632478632478633
gra	79	595	7.531645569620253
et	516	8130	15.755813953488373
åt	186	2723	14.63978494623656
äng	144	1169	8.118055555555555
synd	62	650	10.483870967741936
rätt	57	299	5.245614035087719
räd	100	870	8.7
ot	166	1149	6.921686746987952
